שם הרשות,שנה,סמל הרשות,מחוז,מרחק מגבול מחוז תל אביב,שנת קבלת מעמד מוניציפלי,מספר חברי מועצה,רמה חברתית-כלכלית (10 הגבוה ביותר),"סה""כ אוכלוסייה בסוף (אלפים)",יהודים ואחרים (אחוז),ערבים (אחוז),"סה""כ גברים בסוף (אלפים)","סה""כ נשים בסוף (אלפים)",יחס תלות (אחוזים),ריבוי טבעי לאלף תושבים,"מאזן הגירה - סה""כ",אחוז עולי 1990+ מסך האוכלוסייה,אחוז גידול האוכלוסייה,"נכנסים מיישובים אחרים - סה""כ",נכנסים מיישובים אחרים - גברים,נכנסים מיישובים אחרים - נשים,נכנסים מיישובים אחרים - גיל 29-15,"יוצאים ליישובים אחרים - סה""כ",יוצאים ליישובים אחרים - גברים,יוצאים ליישובים אחרים - נשים,יוצאים ליישובים אחרים - גיל 29-15,"מקבלי דמי אבטלה - סה""כ (ממוצע חודשי)",מקבלי דמי אבטלה - גברים,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)","שכר חודשי ממוצע של שכיר במשך השנה (ש""ח)","שכר חודשי ממוצע של גברים שכירים במשך השנה (ש""ח)","שכר חודשי ממוצע של נשים שכירות במשך השנה (ש""ח)",אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של שכיר במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של גברים שכירים במשך השנה,אחוז שינוי ראלי שנה קודמת של שכר חודשי ממוצע של נשים שכירות במשך השנה,מספר השכירים,אחוז השכירים המשתכרים עד שכר מינימום,מספר העצמאים,"הכנסה חודשית ממוצעת של עצמאי במשך השנה (ש""ח)",אחוז שינוי ראלי של הכנסה חודשית ממוצעת של עצמאי במשך השנה,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון - שכירים (מדד ג'יני, 0 שוויון מלא)","בתי ספר - סה""כ -","כיתות - סה""כ","תלמידים - סה""כ","ממוצע תלמידים לכיתה - סה""כ",אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,"תקבולי מים (אלפי מ""ק)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","התחלה של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","התחלה של הנחת צינורות מים (ק""מ)","התחלה של הנחת צינורות ביוב (ק""מ)","התחלה של הנחת צינורות תיעול (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - אורך (ק""מ)","גמר של סלילת כבישים חדשים, הרחבה ושיקום של כבישים - שטח (אלפי מ""ר)","גמר של הנחת צינורות מים (ק""מ)","גמר של הנחת צינורות ביוב (ק""מ)","גמר של הנחת צינורות תיעול (ק""מ)","מכוניות פרטיות - סה""כ",גיל ממוצע של רכב פרטי (שנים),"תאונות דרכים עם נפגעים - שיעור ל-1,000 תושבים","תאונות דרכים עם נפגעים - שיעור ל-1,000 כלי רכב","מדד קומפקטיות אשכול (מ-1 עד 10, 1 הגבוה ביותר)",אשכול פריפריאליות,מדדים סובייקטיביים - שביעות רצון משירות שקיבלו מהעירייה- מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מתפקוד העירייה - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון כללית מאזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מהניקיון באזור המגורים - מרוצים - סך הכל (באחוזים),מדדים סובייקטיביים - שביעות רצון מפרקים ושטחים ירוקים באזור המגורים - מרוצים - סך הכל (באחוזים),"אחוז התושבים בני 20 ומעלה המרגישים ""בטוח"" ו""בטוח מאוד"" ללכת בחשכה באזור המגורים",פונים לרשות המקומית (אחוזים),"סך כולל הכנסות של הרשות (אלפי ש""ח)",סך כולל הכנסות של הרשות - אחוז שינוי ראלי,"סה""כ הכנסות של הרשות מן התקציב הרגיל (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות (אלפי ש""ח)","סה""כ השתתפות הממשלה בהכנסות של הרשות - אחוז שינוי ראלי","סה""כ הכנסות של הרשות מתקציב בלתי רגיל (אלפי ש""ח)","סך כולל הוצאות של הרשות (אלפי ש""ח)",סך כולל הוצאות של הרשות - אחוז שינוי ראלי,"הוצאות של הרשות לפעולות (אלפי ש""ח)","הוצאות של הרשות לפירעון מלוות (אלפי ש""ח)","הוצאות מימון של הרשות (אלפי ש""ח)","סה""כ הוצאות של הרשות בתקציב בלתי רגיל (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - תקציבי (אלפי ש""ח)","עודף / גירעון בתקציב הרגיל - שנתי (אלפי ש""ח)","גירעון מצטבר בסוף שנה (אלפי ש""ח)","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה קודמת","חיוב ארנונה סך הכל (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה למגורים (שטח באלפי מ""ר) שנה נוכחית","חיוב ארנונה לעסקים (שטח באלפי מ""ר) שנה נוכחית","סה""כ שטח שיפוט בקמ""ר",מגורים - אחוז משטח השיפוט,חינוך והשכלה - אחוז משטח השיפוט,בריאות ורווחה - אחוז משטח השיפוט,שירותים ציבוריים - אחוז משטח השיפוט,"תרבות, פנאי, נופש וספורט - אחוז משטח השיפוט",מסחר - אחוז משטח השיפוט,תעשייה ותשתיות - אחוז משטח השיפוט,תחבורה - אחוז משטח השיפוט,מבנים חקלאיים - אחוז משטח השיפוט,שטח פתוח ציבורי - אחוז משטח השיפוט,יער וחורש - אחוז משטח השיפוט,"מטעים, פרדסים ועצי זית - אחוז משטח השיפוט",שדות מעובדים - אחוז משטח השיפוט,שטח פתוח אחר - אחוז משטח השיפוט,"צפיפות אוכלוסייה לשטח בנוי למגורים (נפשות לקמ""ר)"
אום אל-פחם,1999,2710,חיפה,,1984,17,3,34.4,..,,17.5,16.8,,36.4967823063836,-36,..,3.55261177178986,182,80,102,88,233,85,148,106,833,740,33,3443,2821.4610751652,3135.41944006539,1668.79978563773,-4.73636864933459,-4.53205223254302,-2.08401333332583,7264,59.3,1054,4735.6491144845,-9.74235184175642,46.7,0.349978876781173,17,290,8737,30.1275862068965,,,2412.184,-,-,-,2.3,-,-,-,-,-,-,3877,9.7,0.9,6.1,,,,,,,,,,123829,18.4282184732604,96590,72667,14.3778895499971,27239,122468,6.76992164684227,35778,6557,3024,29055,"3,177","1,177",,,,,,,,22.256,,,,,,,-,,,,,,,,5623
אופקים,1999,0031,הדרום,,1995,15,2,23.0,94.7,,11.2,11.8,,19.4249341527656,-91,344,1.51655834107088,859,426,433,360,1242,620,622,511,716,361,38,3560,3475.26945997646,4328.21531419634,2501.35744300872,2.97375395052122,1.3191745004014,8.02022781664142,6796,49.7,324,4692.22813786008,7.68817979701082,50.9,0.36036925529923,17,199,4494,22.5829145728643,,,2610.57,-,-,-,-,-,-,-,-,-,-,2526,7.5,1.9,13.8,,,,,,,,,,126467,11.6821466427111,110302,73272,2.21630483426538,16165,141303,19.0460263448571,49496,5931,2656,22297,"-8,704","-18,404",,,,,,,,9.537,,,,,,,15,,,,,,,,6875
אור יהודה,1999,2400,תל אביב,,1988,17,4,26.3,98.8,,13.2,13.1,,14.0410696498353,89,130,1.67368868617371,"1,054",491,563,364,1062,481,581,368,671,322,36,1425,4307.62781244507,5379.13678509532,3205.16583452211,3.46666856688369,4.15398646739962,5.33267413242611,11378,41.1,992,5721.34492607527,-0.399614816857252,38.3,0.406337303788844,11,192,4772,24.8541666666667,,,3390.3,-,-,-,-,-,0.2,2.4,-,-,-,5661,7.4,2.4,8.1,,,,,,,,,,172005,37.2900604662126,137723,43219,3.90687343763434,34282,167119,-3.02279163725573,67123,17683,8076,12624,"-16,772","-32,772",,,,,,,,4.69,,,,,,,9.4,,,,,,,,10963
אילת,1999,2600,הדרום,,1959,19,7,39.9,93.0,,20.2,19.7,,18.4744200337994,1000,439,4.41107215739626,"5,620",2959,2661,3954,5034,2706,2328,3266,474,217,40,1758,4707.89924954507,5689.28266143372,3562.29715624351,2.89559042187384,2.65883199999068,4.05752996570399,24363,38.9,1573,6632.94400296673,-3.80440610913557,34,0.397163392416766,17,252,6315,25.0595238095238,,,13353.477,-,-,0.8,0.5,-,0.7,17.1,0.8,0.4,-,7832,8.1,6.2,21.6,,,,,,,,,,319850,-0.990962067463008,260340,64480,4.32812879216893,59510,330127,-6.94126750770523,130086,19079,8405,59247,"-10,540","-10,540",,,,,,,,84.188,,,,,,,12.5,,,,,,,,8430
אריאל,1999,3570,-,,1998,11,6,15.1,88.9,,7.5,7.7,,13.6823923866292,485,443,4.93201997780244,"1,179",620,559,475,1092,564,528,358,386,184,40,550,4625.28084231773,5749.61724751733,3380.21737213404,1.44040671772652,1.79221546681356,2.13494761037838,6771,36.3,363,4556.24334251607,-0.4419272129496,47.9,0.361631681589904,7,118,3414,28.9322033898305,,,1641.422,-,-,-,-,-,-,-,-,-,-,2818,6.6,..,..,,,,,,,,,,107702,8.26353262996249,81035,53821,4.31793811111207,26667,105487,3.84938656138709,42112,5852,555,25184,732,"-2,449",,,,,,,,5.536,,,,,,,3.7,,,,,,,,7338
אשדוד,1999,0070,הדרום,,1968,25,5,165.9,92.8,,81.1,84.8,,14.804615135955,7737,"4,536",6.51926891743544,"7,402",3645,3757,2806,3910,1998,1912,1630,4251,1970,38,14727,4563.8374343886,5959.70077650096,3012.46908331598,1.61972638267192,2.17501017516963,0.85144883811179,60838,41.5,3476,5334.43169831224,-4.09075907599021,46,0.415543542388041,77,1103,30307,27.4768812330009,,,19376.787,-,-,3.1,6.3,-,-,-,-,1.9,-,25037,6.4,2.7,14.7,,,,,,,,,,713658,-5.77607209243097,578489,174678,13.5333954884011,135169,697132,-10.6455700804477,270111,21734,2318,117832,-811,-811,,,,,,,,43.984,,,,,,,49.5,,,,,,,,12478
אשקלון,1999,7100,הדרום,,1955,23,4,96.2,91.5,,46.9,49.3,,8.80143454364111,3099,"2,821",4.21103948865173,"3,235",1549,1686,1150,2808,1384,1424,1301,2670,1274,39,13974,4253.42852587923,5396.68514124585,2945.18180163696,2.94670753493091,3.25054710955932,4.3814021061044,36329,44.4,2548,5816.29974489796,-2.84663814412635,44.8,0.416147836039508,37,568,16700,29.4014084507042,,,11174.259,0.9,9,8.2,5.4,1.7,2.2,29,4.7,7.8,2.7,16421,6.8,4.1,19.6,,,,,,,,,,442171,5.95223588065348,364010,112487,7.24102227892745,78161,438078,2.87127610174469,184293,17469,3378,75911,"1,843","1,843",,,,,,,,45.141,,,,,,,17.9,,,,,,,,7774
באקה אל-גרביה,1999,6000,חיפה,,1996,13,3,18.0,..,,9.3,8.7,,31.6936189427934,38,..,3.38244568021555,131,49,82,69,110,36,74,66,378,270,34,1201,3370.61440109927,3926.78782956686,1996.67585484997,-0.870230106803316,0.964909251807677,-1.38576944675374,4973,48.4,603,5101.58001658375,-2.55267275242887,35.8,0.337442867432989,9,147,4453,30.2925170068027,,,1503.27,-,-,1.7,-,-,-,-,1.7,-,-,2655,9.8,2.1,10.1,,,,,,,,,,61556,5.91985950218286,55937,36007,6.5106155649201,5619,61709,1.21953555899415,25191,3316,2293,4786,-986,-986,,,,,,,,9.447,,,,,,,8.3,,,,,,,,3561
באר שבע,1999,9000,הדרום,,1877,27,5,168.9,92.9,,82.0,86.9,,9.98502696949471,3462,"4,686",3.14759624780146,"4,525",2185,2340,2008,5556,2769,2787,2213,4474,2313,37,22191,4838.50965437577,6128.22902191837,3431.60705371128,0.0788395547305143,0.384306527592315,1.11162014305994,68967,40.4,3097,6120.76130125928,-2.79253582000047,42.1,0.421363252954651,78,1228,32432,26.4104234527687,,,19802.643,-,-,0.4,-,-,-,-,0.4,-,-,28431,6.3,6.8,32.1,,,,,,,,,,845523,5.02487177190834,682544,232581,3.21843623702969,162979,929546,2.93148446072609,332301,43425,10474,187851,"-59,151","-82,151",,,,,,,,54.585,,,,,,,22.7,,,,,,,,8527
בית שאן,1999,9200,הצפון,,1999,15,3,15.6,98.4,,7.8,7.8,,17.5171609895091,26,59,1.95616617598952,379,187,192,152,404,211,193,158,492,243,37,1210,3963.48988009974,4900.5179910045,2903.45299072818,1.6331576003831,1.05298433606129,6.68858374089547,6283,41.7,342,5792.05458089669,19.0233474445502,38.6,0.343613804318587,15,163,3899,23.920245398773,,,2764.75,0.7,7,-,0.4,1.6,0.5,10.5,-,0.4,-,2798,7.2,0.5,2.2,,,,,,,,,,103854,-4.66021640682245,88858,54666,-6.58850900250554,14996,113485,-6.48554029216164,37060,14479,3321,17841,"-6,786","-17,586",,,,,,,,6.73,,,,,,,12,,,,,,,,6130
