year,authority_code,district,distance_from_tel_aviv,year_of_municipal_status,council_members_number,socioeconomic_level,total_population,jews_and_others,total_men,total_women,dependency_ratio,natural_increase_per_1000,total_migration_balance,immigrants_post_1990,population_growth_rate,total_in_migration,male_in_migration,female_in_migration,in_migration_age_15_29,total_out_migration,male_out_migration,female_out_migration,out_migration_age_15_29,unemployment_benefits_total,male_unemployment_benefits,avg_age_unemployment_recipients,income_support_recipients_yearly,avg_salary_employees,avg_salary_male,avg_salary_female,change_salary_emp_yoy,change_salary_male_yoy,change_salary_female_yoy,employees_total,percent_earning_min_wage,self_employed_total,avg_income_self_employed,change_income_self_employed_yoy,percent_earning_half_avg_salary,inequality_index_gini,"בתי ספר - סה""כ -",total_classes,total_students,avg_students_per_class,percent_bagrut_eligible,percent_university_bagrut,water_receipts,start_roads_length_km,start_roads_area_sqm,start_water_pipes_km,start_sewage_pipes_km,start_drainage_pipes_km,complete_roads_length_km,complete_roads_area_sqm,complete_water_pipes_km,complete_sewage_pipes_km,complete_drainage_pipes_km,total_private_cars,avg_car_age,accidents_per_1000_residents,accidents_per_1000_vehicles,compactness_cluster,peripheral_cluster,satisfaction_municipal_services,satisfaction_municipal_performance,satisfaction_residential_area,satisfaction_cleanliness,satisfaction_parks_green_spaces,feeling_safe_dark,contacting_local_authority,total_revenues,revenues_change,regular_budget_revenues,gov_participation,gov_participation_change,special_budget_revenues,total_expenditures,expenditures_change,operations_expenditures,loan_repayment_expenditures,financing_expenditures,special_budget_expenditures,budget_surplus_deficit,annual_surplus_deficit,cumulative_deficit,property_tax_total_prev_year,property_tax_residential_prev_year,property_tax_business_prev_year,property_tax_total_current_year,property_tax_residential_current_year,property_tax_business_current_year,total_jurisdiction_area,residential_percent_area,education_percent_area,health_welfare_percent_area,public_services_percent_area,culture_leisure_sports_percent_area,commerce_percent_area,industry_infrastructure_percent_area,transportation_percent_area,agricultural_buildings_percent_area,public_open_space_percent_area,forest_woodland_percent_area,orchards_citrus_olive_percent_area,cultivated_fields_percent_area,other_open_space_percent_area,population_density,authority_name,incident_year,incident_type,is_treatment
1999,26,4.0,134.37861763222375,1949.0,7.0,9.0,2.1,96.6,1.0,1.1,64.8,9.99025341130604,45.0,3.720052305682002,3.2,127.0,67.0,60.0,41.0,87.0,39.0,48.0,33.0,41.0,22.0,37.0,44.0,7941.539871514724,10276.84359341893,5777.767851682325,1.3893172490567545,1.1797124756460113,1.9637318195531985,962.0,42.57826086956521,125.0,6351.701387524009,2.443960330703154,54.252173913043485,0.4302,,16.0,474.0,30.0,67.65401008620103,59.11407696750414,812.0,,,,,,,,,,,632.0,7.1,1.6172691004536122,3.2118285476851427,7.0,3.0,,,,,,,,23005.0,33.7,16192.0,4056.0,13.5,6813.0,22876.0,29.5,8470.0,,129.0,,261.0,261.0,,91500.79,19540.52333333333,2183.2533333333336,41378.44167368422,8802.270210526316,2012.8411052631575,11.475,4.17019066582036,0.131424409172376,0.0240274771615073,0.194503324063869,0.24160822118262,0.205516804718207,4.96100070670493,0.00355787657791264,0.0499534181409041,0.228277652774533,6.600174038163,23.331259965722,16.502610886911,43.3558945528868,3096.84852601406,ראש פינה,,,0
2000,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.1,99.4,1.0,1.1,64.8,7.58833293810766,-7.0,3.720052305682002,0.23741690408356,79.0,37.0,42.0,21.0,81.0,33.0,48.0,40.0,37.0,19.0,38.0,52.0,5487.68434612651,7121.32526276276,4019.39170040486,-2.78456536110614,-4.34694627071611,0.428349864101518,938.0,41.7,113.0,4790.25073746313,-5.39265819049941,46.9,0.446404142729751,,16.0,462.0,29.0,67.65401008620103,59.11407696750414,765.82,,,,,,,,,,,639.0,7.0,1.6172691004536122,3.2118285476851427,7.0,3.0,,,,,,,,20737.0,-10.9,15810.0,3366.0,-17.9,4927.0,20864.0,-9.8,9657.0,,31.0,,-75.0,-75.0,,91500.79,19540.52333333333,2183.2533333333336,41378.44167368422,8802.270210526316,2012.8411052631575,11.475,4.17019066582036,0.131424409172376,0.0240274771615073,0.194503324063869,0.24160822118262,0.205516804718207,4.96100070670493,0.00355787657791264,0.0499534181409041,0.228277652774533,6.600174038163,23.331259965722,16.502610886911,43.3558945528868,3096.84852601406,ראש פינה,,,0
2001,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.1,100.0,1.1,1.1,64.8,9.4,-4.0,3.720052305682002,1.1,92.0,46.0,46.0,23.0,99.0,56.0,43.0,27.0,37.0,16.0,39.0,59.0,5752.0,7779.14608555287,3647.59422110553,3.62748281184144,8.00606795732053,-10.2729812372525,811.0,45.1,119.0,5317.85714285714,9.7628741891741,49.6,0.4646,,16.0,454.0,28.0,67.65401008620103,59.11407696750414,648.41,,,,,,,,,,,654.0,7.1,0.0,0.0,7.0,3.0,,,,,,,,21705.0,3.5,16018.0,3569.0,4.9,5687.0,19626.0,-7.0,4273.0,,200.0,,-275.0,-692.0,645.0,91500.79,19540.52333333333,2183.2533333333336,41378.44167368422,8802.270210526316,2012.8411052631575,11.475,4.17019066582036,0.131424409172376,0.0240274771615073,0.194503324063869,0.24160822118262,0.205516804718207,4.96100070670493,0.00355787657791264,0.0499534181409041,0.228277652774533,6.600174038163,23.331259965722,16.502610886911,43.3558945528868,3096.84852601406,ראש פינה,,,0
2002,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.2,99.2,1.1,1.1,64.8,11.5127791848952,51.0,3.720052305682002,3.4192037470726,129.0,52.0,77.0,30.0,82.0,46.0,36.0,37.0,31.0,16.0,43.7,74.0,6074.74363057325,8029.6762962963,4286.69546070461,4.46956296278871,2.09746403147348,16.2425039699042,942.0,42.6,133.0,5963.30200501253,10.9172216035635,53.4,0.435320550646231,,13.0,323.0,25.0,83.6,78.7,641.0,,,,,,,,,,,691.0,6.9,1.4,3.1,7.0,3.0,,,,,,,,21282.0,-7.2,17902.0,3239.0,-2.7,3380.0,22893.0,10.4,4839.0,1230.0,162.0,5069.0,78.0,-562.0,723.0,91500.79,19540.52333333333,2183.2533333333336,41378.44167368422,8802.270210526316,2012.8411052631575,11.475,4.17019066582036,0.131424409172376,0.0240274771615073,0.194503324063869,0.24160822118262,0.205516804718207,4.96100070670493,0.00355787657791264,0.0499534181409041,0.228277652774533,6.600174038163,23.331259965722,16.502610886911,43.3558945528868,3096.84852601406,ראש פינה,,,0
2003,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.3,99.3,1.1,1.2,64.8,8.04109895018986,43.0,3.720052305682002,2.8,130.0,61.0,69.0,32.0,82.0,41.0,41.0,20.0,23.0,10.0,40.7,75.0,6386.0,8260.0,4673.0,-0.5,-2.6,3.2,1026.0,40.4,137.0,5783.0,-8.2,48.2,0.4257,,12.0,287.0,24.0,73.7,65.8,661.0,,,,,,,,,,,738.0,6.9,0.9,2.0,7.0,3.0,,,,,,,,26066.0,21.6,19165.0,2786.0,-28.7,6901.0,25956.0,12.6,6129.0,1061.0,122.0,7154.0,363.0,23.0,,91500.79,19540.52333333333,2183.2533333333336,41378.44167368422,8802.270210526316,2012.8411052631575,17.56946837,4.17019066582036,0.131424409172376,0.0240274771615073,0.194503324063869,0.24160822118262,0.205516804718207,4.96100070670493,0.00355787657791264,0.0499534181409041,0.228277652774533,6.600174038163,23.331259965722,16.502610886911,43.3558945528868,3096.84852601406,ראש פינה,,,0
2004,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.3,99.3,1.1,1.2,64.8,9.63433326034596,7.0,2.5,1.3,155.0,70.0,85.0,29.0,139.0,64.0,75.0,49.0,22.0,9.0,42.8,96.0,6047.79031091829,8242.84779464931,3852.73282718727,-5.95622359649727,-0.905345424432913,-18.1221802470746,922.0,48.0,141.0,4733.53368794326,-18.711292459318,53.2,0.466798815658895,,10.0,243.0,24.0,61.8,60.0,725.0,,,,,,,,,,,760.0,7.1,1.3,2.8,7.0,3.0,,,,,,,,29402.0,15.9,24205.0,2794.0,0.7,5197.0,28359.0,12.3,8033.0,1233.0,52.0,4708.0,554.0,554.0,,442856.0,95392.0,9472.0,10493.0,2662.0,1101.0,17.569,4.2,0.1,0.0240274771615073,0.2,0.2,0.2,5.0,0.00355787657791264,0.0499534181409041,0.2,6.6,23.3,16.5,43.4,3097.0,ראש פינה,,,0
2005,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.4,99.3,1.2,1.2,64.8,10.6428267347808,77.0,2.8,4.40000000000001,180.0,81.0,99.0,36.0,109.0,51.0,58.0,31.0,20.0,9.0,41.3,110.0,6312.87974358974,8498.57852564103,4295.31163708087,4.80245425910768,3.51652214944749,11.9351400176839,975.0,45.0,140.0,4678.41964285714,-0.767401556084546,55.7,0.445483520705534,,8.0,203.0,25.0,67.5,65.0,717.0,,,,,,,,,,,779.0,7.39409499358152,4.3,9.2,7.0,3.0,,,,,,,,26476.0,-11.1,21964.0,2249.0,-20.6,4512.0,25419.0,-11.5,6619.0,1310.0,50.0,3586.0,131.0,131.0,131.0,466475.0,99039.0,12165.0,490606.0,104755.0,21392.0,17.569,4.2,0.1,0.0,0.2,0.2,0.2,5.0,0.0,0.0,0.2,6.6,23.3,16.5,43.4,3097.0,ראש פינה,,,0
2006,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.5,99.3,1.2,1.3,64.8,12.7519539284245,31.0,3.0,2.59999999999999,137.0,74.0,63.0,28.0,103.0,52.0,51.0,25.0,14.0,6.0,44.2,121.0,6374.93263425485,8579.99663299663,4404.70397111913,-0.309136326463733,-0.333753917028401,1.23468185916087,1049.0,43.4,151.0,4610.06567328918,-2.72187011808247,55.6,0.452203194431695,,8.0,207.0,26.0,64.65,62.50000000000001,667.0,,,,,,,,,,,785.0,7.71592356687898,0.8,1.8,7.0,3.0,,,,,,,,27939.0,3.8,23084.5,2521.5,55.7,4854.5,,12.1,,,41.0,,29.0,29.0,,454665.5,97215.5,10818.5,250549.5,53708.5,11246.5,17.569,4.2,0.1,0.0,0.2,0.2,0.2,5.0,0.0,0.0,0.2,6.6,23.3,16.5,43.4,3097.0,ראש פינה,,,0
2007,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.5,99.2,1.2,1.3,65.7,15.7,20.0,3.3,2.40000000000001,144.0,62.0,82.0,28.0,126.0,65.0,61.0,29.0,18.0,7.0,42.6,114.0,6742.98846761453,9523.41701680672,4457.17846862407,4.42009696963075,8.64302384546878,-0.95342592963904,1055.0,43.8,148.0,5938.37331081081,26.1,46.6,0.4606,,8.0,228.0,29.0,58.5,51.2,631.0,,,,,,,,,,,845.0,7.6,1.2,2.6,7.0,3.0,,,,,,,,39060.0,38.4,28287.0,2496.0,-30.6,10773.0,33780.0,15.2,7662.0,1335.0,175.0,6671.0,1178.0,1178.0,1178.0,620.1,107.6,20.6,615.9,109.9,19.5,17.569,4.2,0.1,0.0,0.2,0.2,0.2,5.0,0.0,0.0,0.2,6.6,23.3,16.5,43.4,3097.0,ראש פינה,,,0
2008,26,4.0,134.37861763222375,1949.0,7.0,7.0,2.5,99.3,1.2,1.3,681.0,14.2095914742451,-11.0,3.3,1.0,131.0,58.0,73.0,21.0,136.0,57.0,79.0,43.0,19.0,7.0,42.2,95.0,7290.40625,9649.62035286704,5089.30526161082,7.5804238280953,0.821084222871638,13.6141478422648,1096.0,40.7,178.0,5477.34035580524,-8.22251109825003,55.1,0.460677660656599,,8.0,232.0,29.0,56.3,50.0,670.0,,,,,,,,,,,903.0,7.73532668881506,2.0,4.2,7.0,3.0,,,,,,,,39060.0,-18.2,28287.0,2496.0,-1.7,10773.0,,-0.6,,,127.0,,797.0,797.0,,615.9,109.9,19.5,815.0,113.3,20.0,17.569,4.2,0.1,0.0,0.2,0.2,0.2,5.0,0.0,0.0,0.2,6.6,23.3,16.5,43.4,3097.0,ראש פינה,,,0
