auth_id,auth_name
26,ראש פינה
28,מזכרת בתיה
29,יסוד המעלה
31,אופקים
41,אליכין
43,מטולה
46,יבנאל
47,כפר תבור
65,מגדל
70,אשדוד
99,מצפה רמון
122,רמת ישי
154,תל מונד
166,גן יבנה
168,כפר יונה
171,פרדסייה
182,אבן יהודה
195,קדימה-צורן
229,גני תקווה
240,יקנעם עילית
246,נתיבות
267,כפר שמריהו
466,בית דגן
469,קריית עקרון
565,אזור
587,סביון
666,עומר
681,גבעת שמואל
812,שלומי
831,ירוחם
874,מגדל העמק
922,רכסים
1015,מבשרת ציון
1020,אור עקיבא
1031,שדרות
1034,קריית מלאכי
1061,נצרת עילית/נוף הגליל
1063,מעלות-תרשיחא
1066,"בני עי""ש"
1137,קריית יערים
1139,כרמיאל
1200,מודיעין-מכבים-רעות
1224,כוכב יאיר
1247,חריש
1263,כפר ורדים
1268,מיתר
1271,להבים
1304,שוהם
1309,אלעד
2034,חצור הגלילית
2100,טירת כרמל
2200,דימונה
2300,קריית טבעון
2400,אור יהודה
2500,נשר
2530,באר יעקב
2550,גדרה
2560,ערד
2600,אילת
2610,בית שמש
2620,קריית אונו
2630,קריית גת
2640,ראש העין
2650,רמת השרון
2660,יבנה
2800,קריית שמונה
3000,ירושלים
3557,קדומים
3560,אלקנה
3570,אריאל
3574,בית אל
3608,מעלה אפרים
3611,קריית ארבע
3616,מעלה אדומים
3640,קרני שומרון
3650,אפרת
3652,בית אריה
3660,עמנואל
3730,גבעת זאב
3750,אלפי מנשה
3760,אורנית
3769,הר אדר
3780,ביתר עילית
3797,מודיעין עילית
4000,חיפה
4100,קצרין
5000,תל אביב-יפו
6100,בני ברק
6200,בת ים
6300,גבעתיים
6400,הרצלייה
6500,חדרה
6600,חולון
6700,טבריה
6800,קריית אתא
6900,כפר סבא
7000,לוד
7100,אשקלון
7200,נס ציונה
7400,נתניה
7600,עכו
7700,עפולה
7800,פרדס חנה-כרכור
7900,פתח תקווה
8000,צפת
8200,קריית מוצקין
8300,ראשון לציון
8400,רחובות
8500,רמלה
8600,רמת גן
8700,רעננה
9000,באר שבע
9100,נהרייה
9200,בית שאן
9300,זכרון יעקב
9400,יהוד
9500,קריית ביאליק
9600,קריית ים
9700,הוד השרון
9800,בנימינה-גבעת עדה
