year,is_treatment,incident_year,incident_type,authority_code,total_in_migration,male_in_migration,female_in_migration,in_migration_age_15_29,total_out_migration,male_out_migration,female_out_migration,out_migration_age_15_29,start_roads_length_km,start_roads_area_sqm,start_water_pipes_km,start_sewage_pipes_km,start_drainage_pipes_km,complete_roads_length_km,complete_roads_area_sqm,complete_water_pipes_km,complete_sewage_pipes_km,complete_drainage_pipes_km,total_expenditures,expenditures_change,operations_expenditures,loan_repayment_expenditures,financing_expenditures,special_budget_expenditures,budget_surplus_deficit,annual_surplus_deficit,cumulative_deficit
1999,1,2012.0,arrest,1034,546.0,267.0,279.0,228.0,953.0,47.0,906.0,389.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,131211.0,-8.3892519327619,45087.0,12581.0,2381.0,18593.0,-6822.55,-8376.95,-56543.0
2000,1,2012.0,arrest,1034,454.0,231.0,223.0,222.0,837.0,414.0,423.0,360.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,129228.0,-2.62142200583785,43577.0,13265.0,1777.0,22722.0,-6822.55,-8376.95,-56543.0
2001,1,2012.0,arrest,1034,530.0,265.0,265.0,217.0,1057.0,547.0,510.0,379.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,127896.0,-2.10755328676782,17803.0,12923.0,2010.0,16270.0,-6822.55,-8376.95,-56543.0
2002,1,2012.0,arrest,1034,492.0,248.0,244.0,219.5,947.0,480.5,466.5,369.5,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,128562.0,-2.10755328676782,30690.0,13265.0,1893.5,19496.0,-6822.55,-8376.95,-56543.0
2003,1,2012.0,arrest,1034,588.0,301.0,287.0,185.0,709.0,354.0,355.0,309.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,135914.0,6.92155356134665,40738.0,14982.0,4102.0,16560.0,-19856.0,-19856.0,-56543.0
2004,1,2012.0,arrest,1034,766.0,377.0,389.0,256.0,914.0,459.0,455.0,407.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,145692.0,7.62475420761286,19889.0,14438.0,2636.0,18814.0,-13849.0,-13849.0,-67096.0
2005,1,2012.0,arrest,1034,578.0,284.0,294.0,240.0,841.0,409.0,432.0,317.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,148972.0,0.943002457554631,26758.0,11584.0,2646.0,27301.0,-4336.0,-4336.0,-51200.0
2006,1,2012.0,arrest,1034,553.0,283.0,270.0,241.0,784.0,389.0,395.0,322.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,147332.0,15.6,23323.5,13011.0,2641.0,23057.5,44.0,-9092.5,-51200.0
2007,1,2012.0,arrest,1034,518.0,262.0,256.0,230.0,709.0,362.0,347.0,307.0,5.0,30.0,1.1,1.3,0.3,1.5,18.0,1.1,0.1,1.8,153521.0,-13.2,32477.0,13198.0,1771.0,29225.0,29.0,-3171.0,-26838.0
2008,1,2012.0,arrest,1034,591.0,334.0,257.0,283.0,764.0,379.0,385.0,277.0,5.0,30.0,1.1,1.3,0.3,5.0,30.0,1.1,0.1,1.8,153521.0,-0.3,32477.0,13198.0,1771.0,29225.0,36.5,-3171.0,-26838.0
2009,1,2012.0,arrest,1034,609.0,303.0,306.0,233.0,976.0,516.0,460.0,395.0,5.0,30.0,1.1,1.3,0.3,5.0,30.0,1.1,0.1,1.8,142570.0,-13.7,42184.0,10290.0,528.0,9157.0,-145.0,-145.0,-19857.0
2010,1,2012.0,arrest,1034,556.0,273.0,283.0,225.0,774.0,396.0,378.0,319.0,5.0,30.0,1.1,1.3,0.3,5.0,30.0,1.1,0.1,1.8,162344.0,10.9,48164.0,10006.0,1026.0,18977.0,-10042.0,-10042.0,-29899.0
2011,1,2012.0,arrest,1034,549.0,266.0,283.0,201.0,639.0,313.0,326.0,242.0,1.6,14.9,1.1,1.3,0.3,5.0,30.0,1.1,1.1,0.3,174005.0,3.6,49400.0,8651.0,1104.0,21253.0,-5603.0,-5603.0,-35502.0
2012,1,2012.0,arrest,1034,566.0,269.0,297.0,195.0,887.0,462.0,425.0,301.0,1.9,23.0,3.1,4.5,1.5,3.6,37.9,1.1,3.3,1.5,181806.0,2.8,57273.0,7922.0,954.0,15928.0,-14504.0,-14504.0,-44706.0
1999,1,2010.0,arrest,3000,10514.954545454546,5066.0,4949.0,4962.0,18011.0,9174.0,8837.0,7239.0,0.5,7.0,5.6,20.5,5.2,3.0,23.4,5.6,5.3,0.8,2510973.0,-10.9518146896062,672160.0,240263.0,36566.0,450284.0,-10464.5625,-10464.5625,-534147.0
2000,1,2010.0,arrest,3000,8849.0,4577.0,4272.0,4425.0,17058.0,8677.0,8381.0,7154.0,6.1,64.9,5.6,6.7,0.6,3.0,23.4,5.6,6.7,0.6,2640320.0,5.50784956950134,688146.0,245726.0,28696.0,515668.0,-10464.5625,-10464.5625,-534147.0
2001,1,2010.0,arrest,3000,10064.0,5151.0,4913.0,4941.0,15969.0,8225.0,7744.0,7095.0,2.1,25.9,62.6,10.6,0.9,3.9,64.2,62.6,5.6,2.6,3116131.0,16.736854184626,662714.0,242994.5,22325.0,774295.0,-10464.5625,-10464.5625,-534147.0
2002,1,2010.0,arrest,3000,9456.5,4864.0,4592.5,4683.0,16513.5,8451.0,8062.5,7124.5,4.1,45.400000000000006,62.6,8.649999999999999,0.75,3.45,43.8,62.6,6.15,1.6,2878225.5,16.736854184626,675430.0,245726.0,25510.5,644981.5,-10464.5625,-10464.5625,-534147.0
2003,1,2010.0,arrest,3000,8242.0,4359.0,3883.0,4019.0,13257.0,6778.0,6479.0,5761.0,7.9,79.7,40.1,14.3,4.3,19.8,268.1,39.1,8.9,2.7,3607414.0,-2.2519594412736,630867.0,255947.0,20065.0,828716.0,-112356.0,-112356.0,-534147.0
2004,1,2010.0,arrest,3000,11392.0,5953.0,5439.0,5484.0,18083.0,9165.0,8918.0,7905.0,12.9,179.5,16.3,5.1,5.6,20.8,329.0,16.3,12.9,3.7,3125393.0,-13.0140100604903,664805.0,229103.0,12193.0,557550.0,-22623.0,-22623.0,-556770.0
2005,1,2010.0,arrest,3000,10371.0,5417.0,4954.0,5006.0,16202.0,8276.0,7926.0,6711.0,20.8,310.1,15.8,2.1,0.8,8.3,79.8,14.4,7.3,1.8,3795941.0,19.9008035251044,745797.0,214438.0,4952.0,667847.0,14191.0,14191.0,-541341.0
2006,1,2010.0,arrest,3000,10922.0,5685.0,5237.0,5306.0,17263.0,8759.0,8504.0,7097.0,13.3,182.1,10.6,1.4,3.1999999999999997,15.8,223.7,10.1,1.4,2.7500000000000004,3460667.0,-7.3,705301.0,221770.5,8572.5,612698.5,186.0,186.0,-541341.0
2007,1,2010.0,arrest,3000,11209.0,5844.0,5365.0,5337.0,17598.0,8949.0,8649.0,7120.0,10.6,149.9,10.6,1.4,0.8,31.0,529.9,10.1,1.4,1.8,3994265.0,10.6,897987.0,230262.0,13828.0,647492.0,18883.0,18883.0,-326513.0
