year,auth_id,cumulative_deficit
1999,26,
2000,26,
2001,26,645.0
2002,26,723.0
2003,26,
2004,26,
2005,26,131.0
2006,26,
2007,26,1178.0
2008,26,
2009,26,756.0
2010,26,96.0
2011,26,248.0
2012,26,80.0
2013,26,-176.0
2014,26,-484.0
2015,26,
2016,26,120.0
2017,26,176.0
2018,26,0.013
2019,26,-1.27
2020,26,-1.938
2021,26,-1.922
2022,26,-1.893
1999,28,
2000,28,
2001,28,
2002,28,-10354.0
2003,28,-17117.0
2004,28,-22794.0
2005,28,-23994.0
2006,28,
2007,28,-15893.0
2008,28,
2009,28,-9894.0
2010,28,-11429.0
2011,28,-13418.0
2012,28,-13586.0
2013,28,-14989.0
2014,28,-19313.0
2015,28,-22321.0
2016,28,-21452.0
2017,28,-15037.0
2018,28,-14.988
2019,28,-11.382
2020,28,-9.693
2021,28,-5.985
2022,28,-4.306
1999,29,
2000,29,
2001,29,
2002,29,-5695.0
2003,29,-6000.0
2004,29,-6634.0
2005,29,-8392.0
2006,29,
2007,29,-5137.0
2008,29,
2009,29,-3345.0
2010,29,-3112.0
2011,29,-2798.0
2012,29,-2096.0
2013,29,-1870.0
2014,29,-1673.0
2015,29,-1675.0
2016,29,-1873.0
2017,29,-1870.0
2018,29,-2.228
2019,29,-3.666
2020,29,-4.273
2021,29,-2.956
2022,29,-1.678
1999,31,
2000,31,
2001,31,
2002,31,
2003,31,-30474.0
2004,31,-33699.0
2005,31,-36588.0
2006,31,
2007,31,-20126.0
2008,31,
2009,31,-16906.0
2010,31,-21592.0
2011,31,-22293.0
2012,31,-19671.0
2013,31,-12518.0
2014,31,-14196.0
2015,31,-13156.0
2016,31,-15666.0
2017,31,-20725.0
2018,31,-19.031
2019,31,-15.24
2020,31,-14.326
2021,31,-14.39
2022,31,-14.396
1999,41,
2000,41,
2001,41,
2002,41,-6035.0
2003,41,-9097.0
2004,41,-10443.0
2005,41,-9491.0
2006,41,
2007,41,-9377.0
2008,41,
2009,41,-3947.0
2010,41,-562.0
2011,41,-29.0
2012,41,-243.0
2013,41,-417.0
2014,41,-558.0
2015,41,-759.0
2016,41,-958.0
2017,41,-1885.0
2018,41,-6.041
2019,41,-7.59
2020,41,-9.893
2021,41,-10.977
2022,41,-12.811
1999,43,
2000,43,59.0
2001,43,
2002,43,-3210.0
2003,43,-4337.0
2004,43,-4322.0
2005,43,-3547.0
2006,43,
2007,43,-2724.0
2008,43,
2009,43,-4040.0
2010,43,-4239.0
2011,43,-3883.0
2012,43,-3660.0
2013,43,-5059.0
2014,43,-3011.0
2015,43,-3402.0
2016,43,-1890.0
2017,43,-360.0
2018,43,0.069
2019,43,0.073
2020,43,0.077
2021,43,0.083
2022,43,0.101
1999,46,
2000,46,
2001,46,
2002,46,-5654.0
2003,46,-6478.0
2004,46,-9952.0
2005,46,-9964.0
2006,46,
2007,46,-5586.0
2008,46,
2009,46,-4042.0
2010,46,-2679.0
2011,46,-2143.0
2012,46,-87.0
2013,46,-221.0
2014,46,43.0
2015,46,160.0
2016,46,-1110.0
2017,46,-1012.0
2018,46,-0.984
2019,46,-0.843
2020,46,0.879
2021,46,1.03
2022,46,1.069
1999,47,
2000,47,
2001,47,
2002,47,-6.0
2003,47,-23.0
2004,47,-6.0
2005,47,-14.0
2006,47,
2007,47,772.0
2008,47,
2009,47,326.0
2010,47,2014.0
2011,47,2571.0
2012,47,2571.0
2013,47,1345.0
2014,47,952.0
2015,47,12.0
2016,47,9.0
2017,47,2.0
2018,47,0.006
2019,47,0.011
2020,47,0.043
2021,47,0.048
2022,47,0.002
1999,65,
2000,65,
2001,65,
2002,65,-5010.0
2003,65,-3562.0
2004,65,-6018.0
2005,65,-9819.0
2006,65,
2007,65,-11016.0
2008,65,
2009,65,-5052.0
2010,65,-4838.0
2011,65,-4537.0
2012,65,-4887.0
2013,65,-3807.0
2014,65,-3276.0
2015,65,-3272.0
2016,65,-2678.0
2017,65,-2559.0
2018,65,-1.124
2019,65,-9.113
2020,65,-8.092
2021,65,-2.537
2022,65,-2.467
1999,70,
2000,70,
2001,70,
2002,70,
2003,70,-47022.0
2004,70,-47123.0
2005,70,1617.0
2006,70,
2007,70,40424.0
2008,70,
2009,70,34597.0
2010,70,18344.0
2011,70,25037.0
2012,70,28224.0
2013,70,29463.0
2014,70,30859.0
2015,70,32210.0
2016,70,33279.0
2017,70,36412.0
2018,70,37.114
2019,70,37.325
2020,70,37.486
2021,70,67.781
2022,70,46.208
1999,99,
2000,99,
2001,99,
2002,99,-6741.0
2003,99,-11609.0
2004,99,-14976.0
2005,99,-14528.0
2006,99,
2007,99,-13893.0
2008,99,
2009,99,-13654.0
2010,99,-12420.0
2011,99,-15479.0
2012,99,-15390.0
2013,99,-12993.0
