target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,annual_surplus_deficit,264,215,True,0.4558731546067697,0.6318662805096384,0.040752548063364286,0.51
1034,קריית מלאכי,2013.0,conviction,annual_surplus_deficit,264,215,True,0.19404858544876744,0.2417637657987141,0.004862817148970754,0.35
2630,קריית גת,2009.0,conviction,annual_surplus_deficit,264,212,False,,,,
2650,רמת השרון,2003.0,conviction,annual_surplus_deficit,264,241,False,,,,
2650,רמת השרון,2013.0,indictment filed,annual_surplus_deficit,264,241,True,0.1347730780893232,0.0823336870567889,0.00010269803036779722,0.23
2650,רמת השרון,2014.0,conviction,annual_surplus_deficit,264,241,True,0.12543145695080193,0.07936724136460856,6.053712758182374e-06,0.11
3000,ירושלים,2010.0,arrest,annual_surplus_deficit,264,207,True,0.4647419333948696,0.45765902916642875,0.07157372432178064,0.62
3000,ירושלים,2012.0,indictment filed,annual_surplus_deficit,264,207,True,0.4383472223493421,0.4366490077713612,0.10696768867631962,0.51
3000,ירושלים,2014.0,conviction,annual_surplus_deficit,264,207,True,0.5321311595090668,0.5301728375411447,0.27719691386527234,0.59
6200,בת ים,2009.0,arrest,annual_surplus_deficit,264,205,False,,,,
6200,בת ים,2013.0,indictment filed,annual_surplus_deficit,264,205,True,0.17185027267444683,0.13671747458431774,0.010052402511099878,0.17
6200,בת ים,2014.0,conviction,annual_surplus_deficit,264,205,True,0.4675053625952035,0.4452119586014357,0.1625681237974824,0.65
6500,חדרה,2005.0,conviction,annual_surplus_deficit,264,224,True,0.0011347497975485255,0.0009426840536664805,1.4964153598959404e-05,0.12
6700,טבריה,2007.0,arrest,annual_surplus_deficit,264,211,False,,,,
6700,טבריה,2010.0,indictment filed,annual_surplus_deficit,264,211,False,,,,
6700,טבריה,2011.0,indictment filed,annual_surplus_deficit,264,211,False,,,,
6700,טבריה,2015.0,conviction,annual_surplus_deficit,264,211,True,0.6304267071236254,0.5136630909220827,0.1375519473196808,0.74
6900,כפר סבא,2017.0,arrest,annual_surplus_deficit,264,222,True,0.17424435902999985,0.10322744829085019,0.022045138411446733,0.28
6900,כפר סבא,2018.0,indictment filed,annual_surplus_deficit,264,222,True,0.28967067247565076,0.20436919558065428,0.06549137650476723,0.21
6900,כפר סבא,2021.0,conviction,annual_surplus_deficit,264,222,False,,,,
7000,לוד,2006.0,arrest,annual_surplus_deficit,264,208,False,,,,
7000,לוד,2006.0,indictment filed,annual_surplus_deficit,264,208,False,,,,
7000,לוד,2010.0,conviction,annual_surplus_deficit,264,208,False,,,,
7100,אשקלון,2016.0,arrest,annual_surplus_deficit,264,217,True,0.1088228793803499,0.060087706633572775,0.0005420843473063705,0.28
7100,אשקלון,2017.0,indictment filed,annual_surplus_deficit,264,217,True,0.23964610463881655,0.16728488384102416,0.007643310382406774,0.38
7100,אשקלון,2019.0,conviction,annual_surplus_deficit,264,217,True,0.8191515883963549,0.7762882429624443,0.4071668220385696,0.77
8000,צפת,2016.0,conviction,annual_surplus_deficit,264,232,True,0.5871452201867329,0.3938693437971297,0.00017558625061275633,0.23
8400,רחובות,2008.0,conviction,annual_surplus_deficit,264,222,False,,,,
8600,רמת גן,2013.0,indictment filed,annual_surplus_deficit,264,214,True,0.9062699990488254,0.914600659979156,0.8164011345090861,0.92
8600,רמת גן,2015.0,conviction,annual_surplus_deficit,264,214,True,0.964423282074262,0.9255442894344417,0.9428198128644656,0.89
9100,נהרייה,2008.0,conviction,annual_surplus_deficit,264,225,False,,,,
