target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,budget_surplus_deficit,264,223,True,0.6848523298866229,0.8926885237511399,0.22048934380766005,0.53
1034,קריית מלאכי,2013.0,conviction,budget_surplus_deficit,264,223,True,0.3271995731555647,0.38466725529293333,0.01922964524762199,0.32
2630,קריית גת,2009.0,conviction,budget_surplus_deficit,264,221,False,,,,
2650,רמת השרון,2003.0,conviction,budget_surplus_deficit,264,245,False,,,,
2650,רמת השרון,2013.0,indictment filed,budget_surplus_deficit,264,245,True,0.19511342914545382,0.14529599929698675,0.005080964529214591,0.31
2650,רמת השרון,2014.0,conviction,budget_surplus_deficit,264,245,True,0.18085582854995302,0.13862009482032436,0.002646488426159507,0.29
3000,ירושלים,2010.0,arrest,budget_surplus_deficit,264,209,True,0.5986497512368435,0.39503992604240656,0.24227907103859844,0.89
3000,ירושלים,2012.0,indictment filed,budget_surplus_deficit,264,209,True,0.8386341905658767,0.6964298061553974,0.6321080988228716,1.0
3000,ירושלים,2014.0,conviction,budget_surplus_deficit,264,209,True,0.8476656834419375,0.725981545156501,0.666041560933089,1.0
6200,בת ים,2009.0,arrest,budget_surplus_deficit,264,210,False,,,,
6200,בת ים,2013.0,indictment filed,budget_surplus_deficit,264,210,True,0.5326105408651832,0.37697528556308724,0.23868327506645784,0.53
6200,בת ים,2014.0,conviction,budget_surplus_deficit,264,210,True,0.2840152624378359,0.1628123593262015,0.08451212094503206,0.55
6500,חדרה,2005.0,conviction,budget_surplus_deficit,264,236,True,0.00010078785983227214,9.593893424807959e-05,2.7600583819522283e-06,0.1
6700,טבריה,2007.0,arrest,budget_surplus_deficit,264,221,False,,,,
6700,טבריה,2010.0,indictment filed,budget_surplus_deficit,264,221,False,,,,
6700,טבריה,2011.0,indictment filed,budget_surplus_deficit,264,221,False,,,,
6700,טבריה,2015.0,conviction,budget_surplus_deficit,264,221,True,0.11025505978917913,0.045128457441537935,0.001182429409983323,0.15
6900,כפר סבא,2017.0,arrest,budget_surplus_deficit,264,223,True,0.8906859734670516,0.9498745232288257,0.8340516435291503,0.94
6900,כפר סבא,2018.0,indictment filed,budget_surplus_deficit,264,223,True,0.74577013992032,0.740608641454424,0.6529579734938946,1.0
6900,כפר סבא,2021.0,conviction,budget_surplus_deficit,264,223,False,,,,
7000,לוד,2006.0,arrest,budget_surplus_deficit,264,212,False,,,,
7000,לוד,2006.0,indictment filed,budget_surplus_deficit,264,212,False,,,,
7000,לוד,2010.0,conviction,budget_surplus_deficit,264,212,False,,,,
7100,אשקלון,2016.0,arrest,budget_surplus_deficit,264,228,True,0.4933957371716694,0.35526019601326053,0.008982934280841456,0.36
7100,אשקלון,2017.0,indictment filed,budget_surplus_deficit,264,228,True,0.5054973271969798,0.37433519688969585,0.010246312700144167,0.26
7100,אשקלון,2019.0,conviction,budget_surplus_deficit,264,228,True,0.5084151069627763,0.3914622580611756,0.019550781651281025,0.26
8000,צפת,2016.0,conviction,budget_surplus_deficit,264,241,True,0.04736508297844685,0.017445555382613852,8.020187990458843e-06,0.13
8400,רחובות,2008.0,conviction,budget_surplus_deficit,264,224,False,,,,
8600,רמת גן,2013.0,indictment filed,budget_surplus_deficit,264,216,True,0.7584740110133821,0.7662043593022482,0.5475816016536361,0.9
8600,רמת גן,2015.0,conviction,budget_surplus_deficit,264,216,True,0.9714974503354512,0.965806649346331,0.9564609885152395,1.0
9100,נהרייה,2008.0,conviction,budget_surplus_deficit,264,233,False,,,,
