target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,budget_surplus_deficit,264,264,True,0.7422406464106734,0.6749269676303686,0.22376844350972308,0.7
1034,קריית מלאכי,2013.0,conviction,budget_surplus_deficit,264,264,True,0.3294519703383032,0.21985189638993943,0.007383611206865384,0.26
2630,קריית גת,2009.0,conviction,budget_surplus_deficit,264,264,True,0.10422331128061392,0.05341690623516951,0.00014263938419297603,0.14
2650,רמת השרון,2003.0,conviction,budget_surplus_deficit,264,264,True,0.22066772087620262,0.18535868197982044,0.009131856311567885,0.35
2650,רמת השרון,2014.0,conviction,budget_surplus_deficit,264,264,True,0.10337901382581395,0.0827473858299655,0.001101702935227011,0.34
2650,רמת השרון,2013.0,indictment filed,budget_surplus_deficit,264,264,True,0.10759176398010181,0.08849146373265547,0.0024881233432046145,0.2
3000,ירושלים,2010.0,arrest,budget_surplus_deficit,264,264,True,0.5485911406711923,0.44772663459959516,0.25010891629522347,0.94
3000,ירושלים,2014.0,conviction,budget_surplus_deficit,264,264,True,0.862775782176192,0.8308712481108265,0.7293992738626683,1.0
3000,ירושלים,2012.0,indictment filed,budget_surplus_deficit,264,264,True,0.8448153087566905,0.8116475973493896,0.6909955794554602,1.0
6200,בת ים,2009.0,arrest,budget_surplus_deficit,264,264,True,0.17943433670939718,0.10054277862892524,0.0030181294853062037,0.31
6200,בת ים,2014.0,conviction,budget_surplus_deficit,264,264,True,0.26948865210472533,0.17731133455268536,0.0857229142485702,0.32
6200,בת ים,2013.0,indictment filed,budget_surplus_deficit,264,264,True,0.5269238078307732,0.43935181374026033,0.24519813519545572,0.37
6500,חדרה,2005.0,conviction,budget_surplus_deficit,264,264,True,7.555277488841487e-09,2.4998703136846423e-11,1.371292995492117e-07,0.13
6700,טבריה,2007.0,arrest,budget_surplus_deficit,264,264,True,0.12381247917426143,0.06101042620187022,0.002038666497434312,0.27
6700,טבריה,2015.0,conviction,budget_surplus_deficit,264,264,True,0.1874564691807467,0.08703769915385816,0.002113188146757393,0.31
6700,טבריה,2010.0,indictment filed,budget_surplus_deficit,264,264,True,0.3548358374699032,0.2613202023978705,0.00384864010628278,0.4
6700,טבריה,2011.0,indictment filed,budget_surplus_deficit,264,264,True,0.8973673504319044,0.8759840499981975,0.6418431789498379,0.87
6900,כפר סבא,2017.0,arrest,budget_surplus_deficit,264,264,True,0.9301945026965935,0.9035889502143628,0.8917158761954198,1.0
6900,כפר סבא,2021.0,conviction,budget_surplus_deficit,264,264,True,0.9235735078651715,0.8931501083883528,0.7994511217560034,0.71
6900,כפר סבא,2018.0,indictment filed,budget_surplus_deficit,264,264,True,0.786577748420408,0.7108854598010026,0.6996624912408719,1.0
7000,לוד,2006.0,arrest,budget_surplus_deficit,264,264,True,1.094851417555253e-34,5.632346928347783e-41,4.84807114713714e-11,0.06
7000,לוד,2010.0,conviction,budget_surplus_deficit,264,264,True,7.735011241601347e-21,9.923899094650246e-28,6.186982888282437e-12,0.11
7000,לוד,2006.0,indictment filed,budget_surplus_deficit,264,264,True,1.094851417555253e-34,5.632346928347783e-41,4.84807114713714e-11,0.11
7100,אשקלון,2016.0,arrest,budget_surplus_deficit,264,264,True,0.46069345766133396,0.378858632582335,0.007572398265145126,0.41
7100,אשקלון,2019.0,conviction,budget_surplus_deficit,264,264,True,0.47878396435363046,0.3984677897896254,0.017427740371003864,0.28
7100,אשקלון,2017.0,indictment filed,budget_surplus_deficit,264,264,True,0.47385350359377487,0.3928800335227095,0.008981820812538885,0.3
8000,צפת,2016.0,conviction,budget_surplus_deficit,264,264,True,0.042383284068994324,0.017017640629081354,1.3375346225493889e-05,0.06
8400,רחובות,2008.0,conviction,budget_surplus_deficit,264,264,True,0.08812593267226443,0.02325546971482333,0.0004491025463635775,0.28
8600,רמת גן,2015.0,conviction,budget_surplus_deficit,264,264,True,0.8944893045080917,0.859945040864464,0.8386204591163349,1.0
8600,רמת גן,2013.0,indictment filed,budget_surplus_deficit,264,264,True,0.9066763049034662,0.874894073030558,0.8124893604927116,0.86
9100,נהרייה,2008.0,conviction,budget_surplus_deficit,264,264,True,0.5404147382648605,0.4703213889801585,0.06190005828149323,0.54
