target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,complete_roads_area_sqm,192,73,False,,,,
31,אופקים,2013,conviction,complete_roads_area_sqm,192,73,False,,,,
1031,שדרות,2009,conviction,complete_roads_area_sqm,192,100,False,,,,
587,סביון,2003,conviction,complete_roads_area_sqm,264,38,False,,,,
587,סביון,2013,indictment filed,complete_roads_area_sqm,264,38,False,,,,
587,סביון,2014,conviction,complete_roads_area_sqm,264,38,False,,,,
70,אשדוד,2010,arrest,complete_roads_area_sqm,264,208,False,,,,
70,אשדוד,2012,indictment filed,complete_roads_area_sqm,264,208,False,,,,
70,אשדוד,2014,conviction,complete_roads_area_sqm,264,208,True,0.24139090148383435,0.1032035256038462,0.0003629972434357342,0.18
9600,קריית ים,2009,arrest,complete_roads_area_sqm,216,105,False,,,,
9600,קריית ים,2013,indictment filed,complete_roads_area_sqm,216,105,False,,,,
9600,קריית ים,2014,conviction,complete_roads_area_sqm,216,105,False,,,,
7700,עפולה,2005,conviction,complete_roads_area_sqm,168,102,False,,,,
9200,בית שאן,2007,arrest,complete_roads_area_sqm,192,81,False,,,,
9200,בית שאן,2010,indictment filed,complete_roads_area_sqm,192,81,False,,,,
9200,בית שאן,2011,indictment filed,complete_roads_area_sqm,192,81,False,,,,
9200,בית שאן,2015,conviction,complete_roads_area_sqm,192,81,False,,,,
9700,הוד השרון,2017,arrest,complete_roads_area_sqm,216,92,False,,,,
9700,הוד השרון,2018,indictment filed,complete_roads_area_sqm,216,92,False,,,,
9700,הוד השרון,2021,conviction,complete_roads_area_sqm,216,92,False,,,,
8500,רמלה,2006,arrest,complete_roads_area_sqm,240,139,False,,,,
8500,רמלה,2006,indictment filed,complete_roads_area_sqm,240,139,False,,,,
8500,רמלה,2010,conviction,complete_roads_area_sqm,240,139,False,,,,
7800,פרדס חנה-כרכור,2016,arrest,complete_roads_area_sqm,168,74,False,,,,
7800,פרדס חנה-כרכור,2017,indictment filed,complete_roads_area_sqm,168,74,False,,,,
7800,פרדס חנה-כרכור,2019,conviction,complete_roads_area_sqm,168,74,False,,,,
3660,עמנואל,2016,conviction,complete_roads_area_sqm,240,39,False,,,,
7200,נס ציונה,2008,conviction,complete_roads_area_sqm,192,76,False,,,,
8700,רעננה,2013,indictment filed,complete_roads_area_sqm,216,124,False,,,,
8700,רעננה,2015,conviction,complete_roads_area_sqm,216,124,False,,,,
2800,קריית שמונה,2008,conviction,complete_roads_area_sqm,216,100,False,,,,
