target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,complete_roads_length_km,264,98,0.34078229666515514,0.7078112425972789,,0.21
1034,קריית מלאכי,2013.0,conviction,complete_roads_length_km,264,98,0.3032720708669544,0.7078112425972798,,0.17
2630,קריית גת,2009.0,conviction,complete_roads_length_km,264,136,0.17976281341108954,0.5620912953306579,,0.25
2650,רמת השרון,2003.0,conviction,complete_roads_length_km,264,47,0.8198652085732063,0.7341064216247373,,0.4
2650,רמת השרון,2013.0,indictment filed,complete_roads_length_km,264,47,0.4349710262351848,0.8263871756667864,,0.2
2650,רמת השרון,2014.0,conviction,complete_roads_length_km,264,47,0.4796613077897717,0.783819917565706,,0.16
3000,ירושלים,2010.0,arrest,complete_roads_length_km,264,208,0.3750035769254635,0.338317806642222,,0.49
3000,ירושלים,2012.0,indictment filed,complete_roads_length_km,264,208,0.16271244531129012,0.09458818525485424,,0.2
3000,ירושלים,2014.0,conviction,complete_roads_length_km,264,208,0.0722276353052205,0.029156544802217722,,0.15
6200,בת ים,2009.0,arrest,complete_roads_length_km,264,130,0.2693649574480127,0.36447339930340683,,0.26
6200,בת ים,2013.0,indictment filed,complete_roads_length_km,264,130,0.5098288014616397,0.41458607466820907,,0.52
6200,בת ים,2014.0,conviction,complete_roads_length_km,264,130,0.4923708575206508,0.41458607466820685,,0.55
6500,חדרה,2005.0,conviction,complete_roads_length_km,264,136,0.6460125579555567,0.4373326449771112,,0.72
6700,טבריה,2007.0,arrest,complete_roads_length_km,264,116,0.15711497542196473,0.12659135394295318,,0.2
6700,טבריה,2010.0,indictment filed,complete_roads_length_km,264,116,0.3047436275533495,0.1580493856473593,,0.24
6700,טבריה,2011.0,indictment filed,complete_roads_length_km,264,116,0.26607341463137824,0.15804938564735832,,0.27
6700,טבריה,2015.0,conviction,complete_roads_length_km,264,116,0.4275715853149049,0.15262842688352846,,0.35
6900,כפר סבא,2017.0,arrest,complete_roads_length_km,264,134,0.15892987577444437,0.056911711308785785,,0.21
6900,כפר סבא,2018.0,indictment filed,complete_roads_length_km,264,134,0.3597569440708912,0.11022025489844729,,0.22
6900,כפר סבא,2021.0,conviction,complete_roads_length_km,264,134,,,,1.0
7000,לוד,2006.0,arrest,complete_roads_length_km,264,141,0.45851862203902705,0.4146170447794867,,0.39
7000,לוד,2006.0,indictment filed,complete_roads_length_km,264,141,0.45851862203902705,0.4146170447794867,,0.47
7000,לוד,2010.0,conviction,complete_roads_length_km,264,141,0.7692344074992233,0.7746158215128317,,0.48
7100,אשקלון,2016.0,arrest,complete_roads_length_km,264,159,2.830977498526178e-10,8.472016753159743e-09,,0.06
7100,אשקלון,2017.0,indictment filed,complete_roads_length_km,264,159,1.1140922597203625e-14,3.2936855757284084e-13,,0.08
7100,אשקלון,2019.0,conviction,complete_roads_length_km,264,159,2.677322479913053e-18,3.379400752559059e-17,,0.07
8000,צפת,2016.0,conviction,complete_roads_length_km,264,68,0.29566034115305473,0.6933540486130056,,0.27
8400,רחובות,2008.0,conviction,complete_roads_length_km,264,122,0.8714137939740921,0.7549522537192433,,0.87
8600,רמת גן,2013.0,indictment filed,complete_roads_length_km,264,160,0.3435094980789357,0.26704278303767937,,0.39
8600,רמת גן,2015.0,conviction,complete_roads_length_km,264,160,0.10163838151323003,0.06832996996781499,,0.33
9100,נהרייה,2008.0,conviction,complete_roads_length_km,264,131,0.49823439537697156,0.24259306951073722,,0.27
