target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data
1034,קריית מלאכי,2012.0,arrest,complete_sewage_pipes_km,264,65,False
1034,קריית מלאכי,2013.0,conviction,complete_sewage_pipes_km,264,65,False
2630,קריית גת,2009.0,conviction,complete_sewage_pipes_km,264,80,False
2650,רמת השרון,2003.0,conviction,complete_sewage_pipes_km,264,46,False
2650,רמת השרון,2013.0,indictment filed,complete_sewage_pipes_km,264,46,False
2650,רמת השרון,2014.0,conviction,complete_sewage_pipes_km,264,46,False
3000,ירושלים,2010.0,arrest,complete_sewage_pipes_km,264,202,False
3000,ירושלים,2012.0,indictment filed,complete_sewage_pipes_km,264,202,False
3000,ירושלים,2014.0,conviction,complete_sewage_pipes_km,264,202,False
6200,בת ים,2009.0,arrest,complete_sewage_pipes_km,264,101,False
6200,בת ים,2013.0,indictment filed,complete_sewage_pipes_km,264,101,False
6200,בת ים,2014.0,conviction,complete_sewage_pipes_km,264,101,False
6500,חדרה,2005.0,conviction,complete_sewage_pipes_km,264,114,False
6700,טבריה,2007.0,arrest,complete_sewage_pipes_km,264,92,False
6700,טבריה,2010.0,indictment filed,complete_sewage_pipes_km,264,92,False
6700,טבריה,2011.0,indictment filed,complete_sewage_pipes_km,264,92,False
6700,טבריה,2015.0,conviction,complete_sewage_pipes_km,264,92,False
6900,כפר סבא,2017.0,arrest,complete_sewage_pipes_km,264,128,False
6900,כפר סבא,2018.0,indictment filed,complete_sewage_pipes_km,264,128,False
6900,כפר סבא,2021.0,conviction,complete_sewage_pipes_km,264,128,False
7000,לוד,2006.0,arrest,complete_sewage_pipes_km,264,108,False
7000,לוד,2006.0,indictment filed,complete_sewage_pipes_km,264,108,False
7000,לוד,2010.0,conviction,complete_sewage_pipes_km,264,108,False
7100,אשקלון,2016.0,arrest,complete_sewage_pipes_km,264,126,False
7100,אשקלון,2017.0,indictment filed,complete_sewage_pipes_km,264,126,False
7100,אשקלון,2019.0,conviction,complete_sewage_pipes_km,264,126,False
8000,צפת,2016.0,conviction,complete_sewage_pipes_km,264,66,False
8400,רחובות,2008.0,conviction,complete_sewage_pipes_km,264,116,False
8600,רמת גן,2013.0,indictment filed,complete_sewage_pipes_km,264,144,False
8600,רמת גן,2015.0,conviction,complete_sewage_pipes_km,264,144,False
9100,נהרייה,2008.0,conviction,complete_sewage_pipes_km,264,106,False
