target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data
31,אופקים,2012,arrest,complete_water_pipes_km,192,60,False
31,אופקים,2013,conviction,complete_water_pipes_km,192,60,False
1031,שדרות,2009,conviction,complete_water_pipes_km,192,80,False
587,סביון,2003,conviction,complete_water_pipes_km,264,41,False
587,סביון,2013,indictment filed,complete_water_pipes_km,264,41,False
587,סביון,2014,conviction,complete_water_pipes_km,264,41,False
70,אשדוד,2010,arrest,complete_water_pipes_km,264,202,False
70,אשדוד,2012,indictment filed,complete_water_pipes_km,264,202,False
70,אשדוד,2014,conviction,complete_water_pipes_km,264,202,False
9600,קריית ים,2009,arrest,complete_water_pipes_km,216,98,False
9600,קריית ים,2013,indictment filed,complete_water_pipes_km,216,98,False
9600,קריית ים,2014,conviction,complete_water_pipes_km,216,98,False
7700,עפולה,2005,conviction,complete_water_pipes_km,168,76,False
9200,בית שאן,2007,arrest,complete_water_pipes_km,192,83,False
9200,בית שאן,2010,indictment filed,complete_water_pipes_km,192,83,False
9200,בית שאן,2011,indictment filed,complete_water_pipes_km,192,83,False
9200,בית שאן,2015,conviction,complete_water_pipes_km,192,83,False
9700,הוד השרון,2017,arrest,complete_water_pipes_km,216,89,False
9700,הוד השרון,2018,indictment filed,complete_water_pipes_km,216,89,False
9700,הוד השרון,2021,conviction,complete_water_pipes_km,216,89,False
8500,רמלה,2006,arrest,complete_water_pipes_km,240,130,False
8500,רמלה,2006,indictment filed,complete_water_pipes_km,240,130,False
8500,רמלה,2010,conviction,complete_water_pipes_km,240,130,False
7800,פרדס חנה-כרכור,2016,arrest,complete_water_pipes_km,168,61,False
7800,פרדס חנה-כרכור,2017,indictment filed,complete_water_pipes_km,168,61,False
7800,פרדס חנה-כרכור,2019,conviction,complete_water_pipes_km,168,61,False
3660,עמנואל,2016,conviction,complete_water_pipes_km,240,41,False
7200,נס ציונה,2008,conviction,complete_water_pipes_km,192,89,False
8700,רעננה,2013,indictment filed,complete_water_pipes_km,216,132,False
8700,רעננה,2015,conviction,complete_water_pipes_km,216,132,False
2800,קריית שמונה,2008,conviction,complete_water_pipes_km,216,96,False
