target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,cumulative_deficit,264,204,True,0.29246947903833737,0.1853628071452914,0.003122423823668002,0.36
1034,קריית מלאכי,2013.0,conviction,cumulative_deficit,264,204,True,0.1599764505526894,0.06121681049927681,0.00044410749569737183,0.29
2630,קריית גת,2009.0,conviction,cumulative_deficit,264,198,False,,,,
2650,רמת השרון,2003.0,conviction,cumulative_deficit,264,212,False,,,,
2650,רמת השרון,2013.0,indictment filed,cumulative_deficit,264,212,True,0.08004458940562706,0.0003692073096092848,0.0004992687780030623,0.18
2650,רמת השרון,2014.0,conviction,cumulative_deficit,264,212,True,0.06752199443833168,0.00020753069858251745,0.0001482024500877422,0.16
3000,ירושלים,2010.0,arrest,cumulative_deficit,264,198,True,0.375539525371254,0.022257540176688885,0.051663747727050305,0.43
3000,ירושלים,2012.0,indictment filed,cumulative_deficit,264,198,True,0.5319637515272626,0.10533218490028323,0.1305563881864211,0.44
3000,ירושלים,2014.0,conviction,cumulative_deficit,264,198,True,0.661471841588597,0.25506796040551943,0.2194186489473651,0.52
6200,בת ים,2009.0,arrest,cumulative_deficit,264,197,False,,,,
6200,בת ים,2013.0,indictment filed,cumulative_deficit,264,197,True,0.6116857225658123,0.41172540285551595,0.26741660135475015,0.66
6200,בת ים,2014.0,conviction,cumulative_deficit,264,197,True,0.778992866766389,0.6605379322805989,0.5635690616327031,0.87
6500,חדרה,2005.0,conviction,cumulative_deficit,264,201,False,,,,
6700,טבריה,2007.0,arrest,cumulative_deficit,264,200,False,,,,
6700,טבריה,2010.0,indictment filed,cumulative_deficit,264,200,True,0.15289758043837384,0.07151775711593096,0.00019328134929862373,0.08
6700,טבריה,2011.0,indictment filed,cumulative_deficit,264,200,True,0.7606986332874726,0.6611184917915429,0.20656844550956305,0.67
6700,טבריה,2015.0,conviction,cumulative_deficit,264,200,True,0.11142215334185655,0.06227703734205691,0.0009952929172601104,0.27
6900,כפר סבא,2017.0,arrest,cumulative_deficit,264,198,False,,,,
6900,כפר סבא,2018.0,indictment filed,cumulative_deficit,264,198,False,,,,
6900,כפר סבא,2021.0,conviction,cumulative_deficit,264,198,False,,,,
7000,לוד,2006.0,arrest,cumulative_deficit,264,198,False,,,,
7000,לוד,2006.0,indictment filed,cumulative_deficit,264,198,False,,,,
7000,לוד,2010.0,conviction,cumulative_deficit,264,198,True,3.120805844643091e-33,5.433144757850763e-49,4.00119857324166e-13,0.09
7100,אשקלון,2016.0,arrest,cumulative_deficit,264,198,True,0.9575621546323763,0.9205832640878431,0.8357987088752925,1.0
7100,אשקלון,2017.0,indictment filed,cumulative_deficit,264,198,True,0.9382966904086852,0.8801300161447788,0.7298744918776505,0.9
7100,אשקלון,2019.0,conviction,cumulative_deficit,264,198,True,0.872344874954808,0.745286128462213,0.3536973495037262,0.82
8000,צפת,2016.0,conviction,cumulative_deficit,264,211,True,0.0012654807198899409,1.6750897565469124e-05,1.6643072548326016e-05,0.1
8400,רחובות,2008.0,conviction,cumulative_deficit,264,205,False,,,,
8600,רמת גן,2013.0,indictment filed,cumulative_deficit,264,194,True,0.16786290758512487,0.01777345592323656,0.00514723885358169,0.3
8600,רמת גן,2015.0,conviction,cumulative_deficit,264,194,True,0.30691301768543094,0.07477849932378682,0.052823945592541666,0.56
9100,נהרייה,2008.0,conviction,cumulative_deficit,264,199,False,,,,
