target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,cumulative_deficit,264,264,True,0.08657650127004908,0.010442152312332214,0.0004179059913502467,0.19
1034,קריית מלאכי,2013.0,conviction,cumulative_deficit,264,264,True,0.04604684393147881,0.0028867654254129587,2.3436322227645148e-05,0.11
2630,קריית גת,2009.0,conviction,cumulative_deficit,264,264,True,0.0013368309117151058,0.0001942947185465615,0.00031221716043463904,0.19
2650,רמת השרון,2003.0,conviction,cumulative_deficit,264,264,True,0.6881862690076512,0.42756746173146065,0.4117289341596744,0.8
2650,רמת השרון,2014.0,conviction,cumulative_deficit,264,264,True,0.10229971917503618,0.0012217573363961824,0.0019145909973430724,0.2
2650,רמת השרון,2013.0,indictment filed,cumulative_deficit,264,264,True,0.12548601620360267,0.0024112050464431206,0.005184865617580495,0.4
3000,ירושלים,2010.0,arrest,cumulative_deficit,264,264,True,0.19157456308466525,0.0017738054604121555,0.023400639048392343,0.27
3000,ירושלים,2014.0,conviction,cumulative_deficit,264,264,True,0.4142146300192422,0.0553431578909441,0.07177354651061205,0.39
3000,ירושלים,2012.0,indictment filed,cumulative_deficit,264,264,True,0.2982019615032563,0.013230988784965803,0.04656019947174724,0.54
6200,בת ים,2009.0,arrest,cumulative_deficit,264,264,True,0.016097070685792896,6.279169684569791e-05,0.00034011973946132496,0.16
6200,בת ים,2014.0,conviction,cumulative_deficit,264,264,True,0.2590842730803883,0.06193682801590868,0.062142335843985146,0.3
6200,בת ים,2013.0,indictment filed,cumulative_deficit,264,264,True,0.15640878499223168,0.018855782627499162,0.01923199094426679,0.17
6500,חדרה,2005.0,conviction,cumulative_deficit,264,264,True,1.0533785809353444e-11,4.05418021644068e-19,9.550169988701436e-07,0.05
6700,טבריה,2007.0,arrest,cumulative_deficit,264,264,True,0.0006896167025054574,3.249739791902963e-05,8.058320715906689e-05,0.21
6700,טבריה,2015.0,conviction,cumulative_deficit,264,264,True,0.5372148797535599,0.5456265782440164,0.031686632072183286,0.55
6700,טבריה,2010.0,indictment filed,cumulative_deficit,264,264,True,0.009168408087324461,0.0015517121992926599,5.426154250025843e-05,0.1
6700,טבריה,2011.0,indictment filed,cumulative_deficit,264,264,True,0.12167416307908077,0.06047834410482856,0.0005047018629521558,0.15
6900,כפר סבא,2017.0,arrest,cumulative_deficit,264,264,True,0.03826086088995431,0.00763059781122398,0.005621113207018117,0.34
6900,כפר סבא,2021.0,conviction,cumulative_deficit,264,264,True,0.23678766630607503,0.11478411118413392,0.0024575243971246773,0.36
6900,כפר סבא,2018.0,indictment filed,cumulative_deficit,264,264,True,0.07393067633351237,0.021367629563673572,0.011011903071688405,0.29
7000,לוד,2006.0,arrest,cumulative_deficit,264,264,True,6.834492351824239e-46,2.5349672937386884e-57,1.147033857743797e-12,0.08
7000,לוד,2010.0,conviction,cumulative_deficit,264,264,True,2.489440239293912e-55,3.805788584968189e-79,3.2965353719808694e-13,0.09
7000,לוד,2006.0,indictment filed,cumulative_deficit,264,264,True,6.834492351824239e-46,2.5349672937386884e-57,1.147033857743797e-12,0.09
7100,אשקלון,2016.0,arrest,cumulative_deficit,264,264,True,0.8243428794269245,0.664231614401418,0.46651151714441697,0.69
7100,אשקלון,2019.0,conviction,cumulative_deficit,264,264,True,0.8043617226297595,0.6268266672181151,0.24909896173935847,0.67
7100,אשקלון,2017.0,indictment filed,cumulative_deficit,264,264,True,0.8248128791051494,0.6646223591893652,0.4059713765785079,0.75
8000,צפת,2016.0,conviction,cumulative_deficit,264,264,True,0.0006420911241781699,4.781227018868352e-06,2.7645096823002994e-07,0.07
8400,רחובות,2008.0,conviction,cumulative_deficit,264,264,True,0.00046254925507905687,7.476736760521803e-05,0.00613581546363113,0.23
8600,רמת גן,2015.0,conviction,cumulative_deficit,264,264,True,0.09173272665058042,0.0076903238670181315,0.01115633441917967,0.53
8600,רמת גן,2013.0,indictment filed,cumulative_deficit,264,264,True,0.03345637161640916,0.0007574301140510405,0.0019400605270791177,0.47
9100,נהרייה,2008.0,conviction,cumulative_deficit,264,264,True,0.00011902932705148166,7.712726480319019e-09,0.00017714111784202543,0.19
