target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,cumulative_deficit,192,146,True,0.17868497377128065,0.015776441711704194,0.0074421480951510285,0.4
31,אופקים,2013,conviction,cumulative_deficit,192,146,True,0.2777633338782083,0.05378264331528289,0.016649651838678472,0.28
1031,שדרות,2009,conviction,cumulative_deficit,192,144,False,,,,
587,סביון,2003,conviction,cumulative_deficit,264,215,False,,,,
587,סביון,2013,indictment filed,cumulative_deficit,264,215,True,0.5609453590191629,0.07184042566373378,0.04987662017335833,0.7
587,סביון,2014,conviction,cumulative_deficit,264,215,True,0.7795861794854154,0.38981142361461796,0.2933803601041274,0.82
70,אשדוד,2010,arrest,cumulative_deficit,264,198,True,0.6910004513261729,0.28213201898780244,0.341882974900773,0.62
70,אשדוד,2012,indictment filed,cumulative_deficit,264,198,True,0.7379607511943227,0.3635586311060969,0.39964247148669574,0.73
70,אשדוד,2014,conviction,cumulative_deficit,264,198,True,0.7511337840684158,0.38818862380096,0.36838682286946267,0.84
9600,קריית ים,2009,arrest,cumulative_deficit,216,159,False,,,,
9600,קריית ים,2013,indictment filed,cumulative_deficit,216,159,True,0.07836889739504437,0.0023238048793779082,0.001556521763880237,0.47
9600,קריית ים,2014,conviction,cumulative_deficit,216,159,True,0.06299633930206346,0.001261441296439708,0.001084847069882146,0.26
7700,עפולה,2005,conviction,cumulative_deficit,168,126,False,,,,
9200,בית שאן,2007,arrest,cumulative_deficit,192,150,False,,,,
9200,בית שאן,2010,indictment filed,cumulative_deficit,192,150,True,0.056406976766938496,0.00958838514249951,0.0123115727521216,0.19
9200,בית שאן,2011,indictment filed,cumulative_deficit,192,150,True,0.23471442866491743,0.0918321288761135,0.06904326721321659,0.5
9200,בית שאן,2015,conviction,cumulative_deficit,192,150,True,0.007288606072259618,0.0034158536122348092,0.0009385901344846275,0.18
9700,הוד השרון,2017,arrest,cumulative_deficit,216,167,True,0.2810029497612825,0.07412552261294517,0.06817359938197856,0.44
9700,הוד השרון,2018,indictment filed,cumulative_deficit,216,167,True,0.24836872734166193,0.054941436171606184,0.061648200824326774,0.32
9700,הוד השרון,2021,conviction,cumulative_deficit,216,167,True,0.2593608194496392,0.05252554655098389,0.0008362489009615902,0.21
8500,רמלה,2006,arrest,cumulative_deficit,240,180,False,,,,
8500,רמלה,2006,indictment filed,cumulative_deficit,240,180,False,,,,
8500,רמלה,2010,conviction,cumulative_deficit,240,180,True,0.296128338849413,0.1904820196933555,0.06035172502978834,0.29
7800,פרדס חנה-כרכור,2016,arrest,cumulative_deficit,168,130,True,0.22041376066559584,0.09764789119774918,0.15708211404559907,0.63
7800,פרדס חנה-כרכור,2017,indictment filed,cumulative_deficit,168,130,True,0.2879292391761127,0.15046048868189082,0.19907448922048968,0.63
7800,פרדס חנה-כרכור,2019,conviction,cumulative_deficit,168,130,True,0.5529087347972008,0.42637039771912855,0.38352982666251534,0.63
3660,עמנואל,2016,conviction,cumulative_deficit,240,198,True,0.8336014898152133,0.6032039083824445,0.6402242842574435,0.83
7200,נס ציונה,2008,conviction,cumulative_deficit,192,149,False,,,,
8700,רעננה,2013,indictment filed,cumulative_deficit,216,159,True,0.23864049146723038,0.09780574965911397,0.0076152757933425205,0.14
8700,רעננה,2015,conviction,cumulative_deficit,216,159,True,0.31118143703991213,0.1525611198879303,0.029100709478380296,0.19
2800,קריית שמונה,2008,conviction,cumulative_deficit,216,165,False,,,,
