target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,expenditures_change,264,189,True,0.9874281674947682,0.9633128266952731,0.9317343913434856,1.0
1034,קריית מלאכי,2013.0,conviction,expenditures_change,264,189,True,0.7378155476609547,0.7243528049511663,0.183262440592688,0.83
2630,קריית גת,2009.0,conviction,expenditures_change,264,187,True,0.1563686555840789,0.13702060771684443,1.1050858056171586e-05,0.09
2650,רמת השרון,2003.0,conviction,expenditures_change,264,196,False,,,,
2650,רמת השרון,2013.0,indictment filed,expenditures_change,264,196,True,0.8141535791777444,0.8422754467888034,0.3683327203604334,0.74
2650,רמת השרון,2014.0,conviction,expenditures_change,264,196,True,0.7628882635714542,0.7798436856114422,0.24817162652747743,0.74
3000,ירושלים,2010.0,arrest,expenditures_change,264,187,True,0.6521986220367608,0.6445846089773408,0.008794924048662832,0.39
3000,ירושלים,2012.0,indictment filed,expenditures_change,264,187,True,0.985968815216141,0.9854806236787909,0.8946476566887128,1.0
3000,ירושלים,2014.0,conviction,expenditures_change,264,187,True,0.8869135604495382,0.8822712456153513,0.6670722958363837,0.94
6200,בת ים,2009.0,arrest,expenditures_change,264,188,True,0.8478527427631284,0.8435005305119649,0.2061228236101107,0.59
6200,בת ים,2013.0,indictment filed,expenditures_change,264,188,True,0.3140386112032764,0.3147452962120187,0.0015507941192085073,0.41
6200,בת ים,2014.0,conviction,expenditures_change,264,188,True,0.8787126072602967,0.8811747321426443,0.6199081099214918,0.87
6500,חדרה,2005.0,conviction,expenditures_change,264,189,True,0.43299926950348266,0.38879867472712915,0.0002902111749433627,0.23
6700,טבריה,2007.0,arrest,expenditures_change,264,188,True,0.7554736199489704,0.755488995670851,0.03986445550365464,0.51
6700,טבריה,2010.0,indictment filed,expenditures_change,264,188,True,0.41286979146293024,0.4201061622750504,0.0013140101744913352,0.32
6700,טבריה,2011.0,indictment filed,expenditures_change,264,188,True,0.6167710498130221,0.6211299997124371,0.06905426721300471,0.43
6700,טבריה,2015.0,conviction,expenditures_change,264,188,True,0.02967178179345843,0.03373464910117966,6.561178386766938e-07,0.07
6900,כפר סבא,2017.0,arrest,expenditures_change,264,191,False,,,,
6900,כפר סבא,2018.0,indictment filed,expenditures_change,264,191,False,,,,
6900,כפר סבא,2021.0,conviction,expenditures_change,264,191,False,,,,
7000,לוד,2006.0,arrest,expenditures_change,264,187,True,0.9196233668743434,0.9166331078174287,0.6019109276950882,0.91
7000,לוד,2006.0,indictment filed,expenditures_change,264,187,True,0.9196233668743434,0.9166331078174287,0.6019109276950882,0.87
7000,לוד,2010.0,conviction,expenditures_change,264,187,True,0.9632830182463126,0.962154143435036,0.8534497849496046,0.81
7100,אשקלון,2016.0,arrest,expenditures_change,264,187,True,,,,1.0
7100,אשקלון,2017.0,indictment filed,expenditures_change,264,187,False,,,,
7100,אשקלון,2019.0,conviction,expenditures_change,264,187,False,,,,
8000,צפת,2016.0,conviction,expenditures_change,264,194,True,,,,1.0
8400,רחובות,2008.0,conviction,expenditures_change,264,192,True,0.769533441919473,0.6791701290152892,0.10587782352197819,0.48
8600,רמת גן,2013.0,indictment filed,expenditures_change,264,188,True,0.7714091293830602,0.7592533064146371,0.2763668065204864,0.76
8600,רמת גן,2015.0,conviction,expenditures_change,264,188,True,0.9296921801124843,0.929115248443559,0.7828884785392793,0.88
9100,נהרייה,2008.0,conviction,expenditures_change,264,189,True,0.6736915222463432,0.6913340919115607,0.08187457034880091,0.61
