target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,expenditures_change,192,137,True,0.3235528517393764,0.33080863357437806,0.0034338043275602354,0.21
31,אופקים,2013,conviction,expenditures_change,192,137,True,0.2984121682462331,0.30048176209733785,0.0051792656089928064,0.24
1031,שדרות,2009,conviction,expenditures_change,192,136,True,0.2830884770565072,0.27950688933790596,0.00015890438034488156,0.08
587,סביון,2003,conviction,expenditures_change,264,197,False,,,,
587,סביון,2013,indictment filed,expenditures_change,264,197,True,0.22684031093786652,0.2247950970302941,0.003566849971581238,0.25
587,סביון,2014,conviction,expenditures_change,264,197,True,0.7941912136756205,0.7906415978943951,0.2362749688517336,0.67
70,אשדוד,2010,arrest,expenditures_change,264,187,True,0.7527585031170707,0.7391831252775378,0.06735583205321898,0.57
70,אשדוד,2012,indictment filed,expenditures_change,264,187,True,0.9899034669431752,0.9892391144888114,0.928519367291794,1.0
70,אשדוד,2014,conviction,expenditures_change,264,187,True,0.6151986992034912,0.590529741501157,0.13785555729388213,0.39
9600,קריית ים,2009,arrest,expenditures_change,216,153,True,0.3556020755233036,0.3590799889953479,2.7528383489851753e-05,0.16
9600,קריית ים,2013,indictment filed,expenditures_change,216,153,True,0.8413992303538027,0.8313242442557518,0.6301683477240199,0.91
9600,קריית ים,2014,conviction,expenditures_change,216,153,True,0.06531162674138614,0.0569882185391401,0.001980523966206883,0.27
7700,עפולה,2005,conviction,expenditures_change,168,119,True,0.7630492760092543,0.7794934148579014,0.2447280013239313,0.5
9200,בית שאן,2007,arrest,expenditures_change,192,139,True,0.9384171338015038,0.9601361396800892,0.7095543237456206,1.0
9200,בית שאן,2010,indictment filed,expenditures_change,192,139,True,0.4472105022350108,0.4361870654735399,0.008387685602106188,0.33
9200,בית שאן,2011,indictment filed,expenditures_change,192,139,True,0.8655769958693921,0.851485471389561,0.6339835896977486,0.86
9200,בית שאן,2015,conviction,expenditures_change,192,139,True,0.27138624584826043,0.2723792046426737,0.01885558259102673,0.27
9700,הוד השרון,2017,arrest,expenditures_change,216,158,False,,,,
9700,הוד השרון,2018,indictment filed,expenditures_change,216,158,False,,,,
9700,הוד השרון,2021,conviction,expenditures_change,216,158,False,,,,
8500,רמלה,2006,arrest,expenditures_change,240,170,True,0.9361926253472254,0.9368003553957556,0.7124239520536741,1.0
8500,רמלה,2006,indictment filed,expenditures_change,240,170,True,0.9361926253472254,0.9368003553957556,0.7124239520536741,1.0
8500,רמלה,2010,conviction,expenditures_change,240,170,True,0.882865692883362,0.8851832298351504,0.5729022271635976,0.86
7800,פרדס חנה-כרכור,2016,arrest,expenditures_change,168,123,True,,,,1.0
7800,פרדס חנה-כרכור,2017,indictment filed,expenditures_change,168,123,False,,,,
7800,פרדס חנה-כרכור,2019,conviction,expenditures_change,168,123,False,,,,
3660,עמנואל,2016,conviction,expenditures_change,240,178,True,,,,1.0
7200,נס ציונה,2008,conviction,expenditures_change,192,140,True,0.8919235057338939,0.840544915198047,0.5440120351030687,1.0
8700,רעננה,2013,indictment filed,expenditures_change,216,155,True,0.4903170185744309,0.486217925689154,0.03390359496211974,0.35
8700,רעננה,2015,conviction,expenditures_change,216,155,True,0.6075406587333232,0.6033796744457345,0.0736474383005589,0.46
2800,קריית שמונה,2008,conviction,expenditures_change,216,155,True,0.3971591659979531,0.39623251010664695,0.0008207464789896033,0.09
