target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,expenditures_change,192,192,True,0.047250861456695735,0.03992774696423996,0.017059013976589748,0.45
31,אופקים,2013,conviction,expenditures_change,192,192,True,0.03842058341226532,0.030907206178801497,0.014815639119702746,0.45
1031,שדרות,2009,conviction,expenditures_change,192,192,True,0.9298668554542784,0.9242704599532197,0.8614963802485115,0.87
587,סביון,2003,conviction,expenditures_change,264,264,True,0.8674166191388528,0.8660546448129118,0.4874528932853588,0.74
587,סביון,2014,conviction,expenditures_change,264,264,True,0.8286237267228831,0.8271798867685536,0.6401861603479744,1.0
587,סביון,2013,indictment filed,expenditures_change,264,264,True,0.5859978749875312,0.5838393548538903,0.31040830707479183,1.0
70,אשדוד,2010,arrest,expenditures_change,264,264,True,0.8839803290583654,0.8769102968262151,0.7327876560639142,0.68
70,אשדוד,2014,conviction,expenditures_change,264,264,True,0.5652278253777173,0.5380544009375602,0.40580239284970643,0.76
70,אשדוד,2012,indictment filed,expenditures_change,264,264,True,0.8559164458184271,0.8463213446989889,0.7538264986264245,1.0
9600,קריית ים,2009,arrest,expenditures_change,216,216,True,0.0595162570779234,0.028844602773130324,0.010805023015271911,0.28
9600,קריית ים,2014,conviction,expenditures_change,216,216,True,0.004057738939870595,0.0013973479576205403,0.023519637696993164,0.32
9600,קריית ים,2013,indictment filed,expenditures_change,216,216,True,0.050610308666394536,0.02901996489063762,0.07644794060926277,0.67
7700,עפולה,2005,conviction,expenditures_change,168,168,True,0.8697164925407371,0.8526277288808617,0.7908967868788943,0.85
9200,בית שאן,2007,arrest,expenditures_change,192,192,True,0.44050938279995666,0.4047134735464224,0.043544817034057715,0.3
9200,בית שאן,2015,conviction,expenditures_change,192,192,True,0.011314290574616704,0.01017541630249179,0.02135343918222756,0.17
9200,בית שאן,2010,indictment filed,expenditures_change,192,192,True,0.06756151172829132,0.05797045083769477,0.002067766358060907,0.24
9200,בית שאן,2011,indictment filed,expenditures_change,192,192,True,0.14947976571210653,0.12982580475232536,0.02175887826537024,0.53
9700,הוד השרון,2017,arrest,expenditures_change,216,216,True,0.8945997044859746,0.8902110369751133,0.6529199686736515,0.9
9700,הוד השרון,2021,conviction,expenditures_change,216,216,True,0.9573381364233128,0.9552568320967345,0.6529199686736538,0.83
9700,הוד השרון,2018,indictment filed,expenditures_change,216,216,True,0.9082256597101638,0.9042159850090696,0.6529199686736494,0.92
8500,רמלה,2006,arrest,expenditures_change,240,240,True,0.9995325353014513,0.9994818283250873,0.9990358394391656,1.0
8500,רמלה,2010,conviction,expenditures_change,240,240,True,0.9801413684611746,0.9785575005435017,0.9702201164253934,1.0
8500,רמלה,2006,indictment filed,expenditures_change,240,240,True,0.9995325353014513,0.9994818283250873,0.9990358394391656,1.0
7800,פרדס חנה-כרכור,2016,arrest,expenditures_change,168,168,True,0.13498956323520553,0.10493346256523216,0.027144007532909117,0.41
7800,פרדס חנה-כרכור,2019,conviction,expenditures_change,168,168,True,0.3329526422228901,0.28981517513276944,0.027144007532908954,0.51
7800,פרדס חנה-כרכור,2017,indictment filed,expenditures_change,168,168,True,0.18588001478219796,0.1501001597560571,0.027144007532909548,0.44
3660,עמנואל,2016,conviction,expenditures_change,240,240,True,0.46273757611696453,0.431466752790181,0.25476471057131395,0.85
7200,נס ציונה,2008,conviction,expenditures_change,192,192,True,0.7241436581083914,0.7159916263714003,0.4388829511336173,0.95
8700,רעננה,2015,conviction,expenditures_change,216,216,True,0.22782508262825182,0.21498625928692247,0.09423907048184911,0.48
8700,רעננה,2013,indictment filed,expenditures_change,216,216,True,0.20445125328071598,0.19258265499259059,0.04484548570147647,0.55
2800,קריית שמונה,2008,conviction,expenditures_change,216,216,True,0.31998410474699596,0.28385124846579596,0.05723249625992792,0.58
