target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,female_in_migration,264,255,True,0.4784743721078992,0.2731916978311274,0.19552915227333345,0.94
1034,קריית מלאכי,2013.0,conviction,female_in_migration,264,255,True,0.4745946875920358,0.27137142960596566,0.23179929431667984,0.86
2630,קריית גת,2009.0,conviction,female_in_migration,264,253,True,0.14211908818612887,0.011503143428644462,0.008207252867386182,0.26
2650,רמת השרון,2003.0,conviction,female_in_migration,264,262,False,,,,
2650,רמת השרון,2013.0,indictment filed,female_in_migration,264,262,True,0.7480370302974881,0.40940805680299497,0.21252332077434205,0.75
2650,רמת השרון,2014.0,conviction,female_in_migration,264,262,True,0.7563776192869837,0.4225556325461324,0.19492824264360314,0.75
3000,ירושלים,2010.0,arrest,female_in_migration,264,253,True,0.8498933853908506,0.42236300372352964,0.24364143043389092,0.72
3000,ירושלים,2012.0,indictment filed,female_in_migration,264,253,True,0.816980248093378,0.3101439153347524,0.14324495334321935,0.72
3000,ירושלים,2014.0,conviction,female_in_migration,264,253,True,0.8031555851950049,0.27498972214830586,0.10752345335756436,0.5
6200,בת ים,2009.0,arrest,female_in_migration,264,254,True,0.08722816324651417,7.63304862816863e-12,1.8439048651285413e-06,0.11
6200,בת ים,2013.0,indictment filed,female_in_migration,264,254,True,0.08478684203219482,4.0768863510487975e-12,4.249994191526425e-06,0.09
6200,בת ים,2014.0,conviction,female_in_migration,264,254,True,0.09833607896582977,3.5437085760223515e-11,6.411582407971937e-06,0.1
6500,חדרה,2005.0,conviction,female_in_migration,264,256,True,0.1914295386632859,0.03166013008527822,0.007903273877770471,0.42
6700,טבריה,2007.0,arrest,female_in_migration,264,254,True,0.9185419503679942,0.7999021221814608,0.4010541343614926,0.91
6700,טבריה,2010.0,indictment filed,female_in_migration,264,254,True,0.9421314888784603,0.8996165427218915,0.7376168832644074,1.0
6700,טבריה,2011.0,indictment filed,female_in_migration,264,254,True,0.8802900732444996,0.7700621338432494,0.5299285015717546,0.89
6700,טבריה,2015.0,conviction,female_in_migration,264,254,True,0.7108325395157286,0.45193071705953747,0.33433554241312613,0.93
6900,כפר סבא,2017.0,arrest,female_in_migration,264,256,True,0.171980172079277,0.0021213575474051203,0.004024364877003958,0.27
6900,כפר סבא,2018.0,indictment filed,female_in_migration,264,256,True,0.12640580176410265,0.0005522073397975754,0.0021447303102434525,0.3
6900,כפר סבא,2021.0,conviction,female_in_migration,264,256,True,0.29587074484125797,0.018490698548937562,0.0010156533485397828,0.23
7000,לוד,2006.0,arrest,female_in_migration,264,253,True,0.6143044610317127,0.37477790661340915,0.05948029541204255,0.67
7000,לוד,2006.0,indictment filed,female_in_migration,264,253,True,0.6143044610317127,0.37477790661340915,0.05948029541204255,0.76
7000,לוד,2010.0,conviction,female_in_migration,264,253,True,0.6272820329998743,0.3977869047413113,0.16796062070036563,0.65
7100,אשקלון,2016.0,arrest,female_in_migration,264,254,True,0.11248988651656046,0.0054544280154291995,0.021359617914968942,0.25
7100,אשקלון,2017.0,indictment filed,female_in_migration,264,254,True,0.1524395564521068,0.012282643595501078,0.026728072583461413,0.27
7100,אשקלון,2019.0,conviction,female_in_migration,264,254,True,0.2433204465887001,0.0409118320060626,0.02674875202960934,0.31
8000,צפת,2016.0,conviction,female_in_migration,264,256,True,0.9307981045910576,0.8286856810124877,0.8350723278826305,0.65
8400,רחובות,2008.0,conviction,female_in_migration,264,258,True,0.5830823126781801,0.3173813028813018,0.19843563302927236,0.7
8600,רמת גן,2013.0,indictment filed,female_in_migration,264,253,True,0.011642969616134563,3.098167597501011e-12,1.764019168738854e-06,0.11
8600,רמת גן,2015.0,conviction,female_in_migration,264,253,True,0.006998467602613795,6.3775574300278e-14,8.080098416163738e-07,0.07
9100,נהרייה,2008.0,conviction,female_in_migration,264,256,True,0.4209173902733492,0.1320768099118878,0.033480605219188046,0.55
