target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,female_in_migration,264,264,True,0.5062450925079793,0.27971128029035425,0.23829589056414238,0.94
1034,קריית מלאכי,2013.0,conviction,female_in_migration,264,264,True,0.4993254068384524,0.2761554428929485,0.2709815265795376,0.95
2630,קריית גת,2009.0,conviction,female_in_migration,264,264,True,0.13168470767382726,0.009703735775345706,0.008959360932368127,0.33
2650,רמת השרון,2003.0,conviction,female_in_migration,264,264,True,0.16341320017226535,4.071626885985382e-05,7.246307664448573e-05,0.17
2650,רמת השרון,2014.0,conviction,female_in_migration,264,264,True,0.8185096333459214,0.506272894768959,0.28001110935914975,0.76
2650,רמת השרון,2013.0,indictment filed,female_in_migration,264,264,True,0.8443724835084568,0.5707165732598823,0.38579217164945745,0.75
3000,ירושלים,2010.0,arrest,female_in_migration,264,264,True,0.8053216293111942,0.36526996374651344,0.1600266144745785,0.72
3000,ירושלים,2014.0,conviction,female_in_migration,264,264,True,0.7714832335422173,0.2522048778404045,0.07550361591957262,0.43
3000,ירושלים,2012.0,indictment filed,female_in_migration,264,264,True,0.7794894289283081,0.27903235862971293,0.09831772996845561,0.59
6200,בת ים,2009.0,arrest,female_in_migration,264,264,True,0.08014916473923978,1.1601999328679093e-12,3.3365148066130705e-06,0.08
6200,בת ים,2014.0,conviction,female_in_migration,264,264,True,0.09132989536336797,8.345654072374689e-12,8.507878896545349e-06,0.09
6200,בת ים,2013.0,indictment filed,female_in_migration,264,264,True,0.07844707926728553,8.425533925164e-13,5.999264765155301e-06,0.05
6500,חדרה,2005.0,conviction,female_in_migration,264,264,True,0.18240275180000357,0.034969445805600304,0.010420491378064297,0.4
6700,טבריה,2007.0,arrest,female_in_migration,264,264,True,0.9192395740355717,0.82648597765429,0.4078273896101031,1.0
6700,טבריה,2015.0,conviction,female_in_migration,264,264,True,0.7137294658071794,0.45837108288598805,0.33531396343341524,0.89
6700,טבריה,2010.0,indictment filed,female_in_migration,264,264,True,0.9200046062148768,0.8291792094892938,0.6370516675531666,1.0
6700,טבריה,2011.0,indictment filed,female_in_migration,264,264,True,0.8609794700022761,0.7073705977492808,0.45976695720241756,0.89
6900,כפר סבא,2017.0,arrest,female_in_migration,264,264,True,0.18257509923404497,0.002430870340167516,0.004622056307578613,0.29
6900,כפר סבא,2021.0,conviction,female_in_migration,264,264,True,0.2999241993692303,0.018801101318137572,0.0011261507461769605,0.23
6900,כפר סבא,2018.0,indictment filed,female_in_migration,264,264,True,0.1332025279065965,0.0006226971637141972,0.0024083221058779367,0.27
7000,לוד,2006.0,arrest,female_in_migration,264,264,True,0.42887022275392817,0.1644223977315944,0.01156356674893699,0.28
7000,לוד,2010.0,conviction,female_in_migration,264,264,True,0.48567491870292523,0.2256768055691573,0.06810000501736689,0.6
7000,לוד,2006.0,indictment filed,female_in_migration,264,264,True,0.42887022275392817,0.1644223977315944,0.01156356674893699,0.39
7100,אשקלון,2016.0,arrest,female_in_migration,264,264,True,0.10440988517117905,0.004119690687990273,0.02102957385301471,0.33
7100,אשקלון,2019.0,conviction,female_in_migration,264,264,True,0.23245770327710868,0.03481553842058046,0.026023899192989596,0.3
7100,אשקלון,2017.0,indictment filed,female_in_migration,264,264,True,0.14276413128928758,0.00967132845608174,0.026080150859643905,0.33
8000,צפת,2016.0,conviction,female_in_migration,264,264,True,0.8894478280229252,0.7876846571293874,0.738805607607006,0.59
8400,רחובות,2008.0,conviction,female_in_migration,264,264,True,0.5371104109621749,0.31649846339005494,0.16826332890506365,0.74
8600,רמת גן,2015.0,conviction,female_in_migration,264,264,True,0.005569493313941555,1.0584419797751414e-14,7.979894336908236e-07,0.09
8600,רמת גן,2013.0,indictment filed,female_in_migration,264,264,True,0.00902664372733866,4.29275540911874e-13,1.7532220495070556e-06,0.11
9100,נהרייה,2008.0,conviction,female_in_migration,264,264,True,0.33869740499139245,0.05761049315102041,0.01907917155041333,0.47
