target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,female_in_migration,192,186,True,0.30379412208210127,0.09439144057428542,0.14810959413619845,0.72
31,אופקים,2013,conviction,female_in_migration,192,186,True,0.2733646924413373,0.07813757844697043,0.16104312144783153,0.91
1031,שדרות,2009,conviction,female_in_migration,192,184,True,0.7136625428487614,0.5759505584954985,0.5636972608737132,1.0
587,סביון,2003,conviction,female_in_migration,264,263,False,,,,
587,סביון,2013,indictment filed,female_in_migration,264,263,True,0.9178724311479718,0.8652029194719857,0.7606852533953514,0.89
587,סביון,2014,conviction,female_in_migration,264,263,True,0.8679425548626385,0.7441864701199188,0.608350724367914,0.89
70,אשדוד,2010,arrest,female_in_migration,264,253,True,0.27162939073821435,1.538621240869078e-07,1.3236441430648385e-06,0.08
70,אשדוד,2012,indictment filed,female_in_migration,264,253,True,0.2977291028286804,7.247665153511712e-07,1.5972518371708464e-06,0.06
70,אשדוד,2014,conviction,female_in_migration,264,253,True,0.3536128093560509,1.1444659532825762e-05,8.277422748906383e-06,0.11
9600,קריית ים,2009,arrest,female_in_migration,216,208,True,0.9494627505332103,0.9561836648068216,0.9065676598699435,0.89
9600,קריית ים,2013,indictment filed,female_in_migration,216,208,True,0.839980777497647,0.7493386128202362,0.7388374038316189,0.91
9600,קריית ים,2014,conviction,female_in_migration,216,208,True,0.8799779138545407,0.8165943319151603,0.7707693376101161,0.91
7700,עפולה,2005,conviction,female_in_migration,168,162,True,0.0005051554134087219,7.01116928321343e-06,8.697278099764621e-05,0.11
9200,בית שאן,2007,arrest,female_in_migration,192,187,True,0.49410904117265597,0.29141710985120917,0.22027769326536312,0.65
9200,בית שאן,2010,indictment filed,female_in_migration,192,187,True,0.3195854064718603,0.11499108493192745,0.167165050255768,0.6
9200,בית שאן,2011,indictment filed,female_in_migration,192,187,True,0.26290386813484007,0.0757662874648033,0.16386618537022254,0.73
9200,בית שאן,2015,conviction,female_in_migration,192,187,True,0.34163334822187397,0.12914992497557579,0.13426378127884903,0.65
9700,הוד השרון,2017,arrest,female_in_migration,216,212,True,0.2517038770447475,0.06860694185426228,0.18002467822399343,0.54
9700,הוד השרון,2018,indictment filed,female_in_migration,216,212,True,0.2659286962096894,0.0755809364921324,0.11732540423014871,0.39
9700,הוד השרון,2021,conviction,female_in_migration,216,212,True,0.4124075381611271,0.18096530318423967,0.004334906652118188,0.17
8500,רמלה,2006,arrest,female_in_migration,240,230,True,0.8151821817703324,0.4253541807215533,0.2738008568977948,0.71
8500,רמלה,2006,indictment filed,female_in_migration,240,230,True,0.8151821817703324,0.4253541807215533,0.2738008568977948,0.72
8500,רמלה,2010,conviction,female_in_migration,240,230,True,0.8323473673072969,0.4704924532873508,0.5010132493984456,0.7
7800,פרדס חנה-כרכור,2016,arrest,female_in_migration,168,165,True,0.7689995814017414,0.7489891309941312,0.8430693018636489,1.0
7800,פרדס חנה-כרכור,2017,indictment filed,female_in_migration,168,165,True,0.6527965964827465,0.6043365485917489,0.7299885033300655,1.0
7800,פרדס חנה-כרכור,2019,conviction,female_in_migration,168,165,True,0.6310248230507022,0.5645994557129033,0.5193798020083382,0.59
3660,עמנואל,2016,conviction,female_in_migration,240,234,True,0.5520456674916899,0.21176155277745795,0.18566274926737672,0.65
7200,נס ציונה,2008,conviction,female_in_migration,192,186,True,0.4363847155868723,0.3821282070829599,0.21894399972601217,0.38
8700,רעננה,2013,indictment filed,female_in_migration,216,209,True,0.21329775069721002,0.03796323694623103,0.07828564680087119,0.59
8700,רעננה,2015,conviction,female_in_migration,216,209,True,0.32071074129524685,0.10144033203676327,0.2103348773666762,0.57
2800,קריית שמונה,2008,conviction,female_in_migration,216,210,True,0.5912109116816757,0.36062061937979006,0.16034777982996798,0.53
