target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,female_out_migration,264,264,True,0.32005068986485663,0.030213142816473543,0.001226401515698849,0.17
1034,קריית מלאכי,2013.0,conviction,female_out_migration,264,264,True,0.35878060186498606,0.04565690301849486,0.0021304441333800887,0.25
2630,קריית גת,2009.0,conviction,female_out_migration,264,264,True,0.16451072748105613,0.0005671518572015014,0.00026482033380901675,0.09
2650,רמת השרון,2003.0,conviction,female_out_migration,264,264,True,0.7151586768575204,0.1362220595412859,0.055867154650411914,0.57
2650,רמת השרון,2014.0,conviction,female_out_migration,264,264,True,0.9088203848058889,0.6390636579859292,0.6201245022537126,0.79
2650,רמת השרון,2013.0,indictment filed,female_out_migration,264,264,True,0.9464683911178021,0.7829448071060983,0.7562684361941231,0.89
3000,ירושלים,2010.0,arrest,female_out_migration,264,264,True,0.4805425063193024,0.000975266916390244,3.133393534506112e-05,0.11
3000,ירושלים,2014.0,conviction,female_out_migration,264,264,True,0.4498845070222698,0.0003153378857037145,1.0994386188866173e-05,0.13
3000,ירושלים,2012.0,indictment filed,female_out_migration,264,264,True,0.5303048693846609,0.003732838677520673,6.812540222876173e-05,0.17
6200,בת ים,2009.0,arrest,female_out_migration,264,264,True,0.10057251839694664,6.48888037938056e-11,1.3432843137309503e-06,0.12
6200,בת ים,2014.0,conviction,female_out_migration,264,264,True,0.37926391333806675,0.0006949312783759567,1.9079976920773536e-05,0.12
6200,בת ים,2013.0,indictment filed,female_out_migration,264,264,True,0.351992890794412,0.0003241506127633801,1.850799297639144e-05,0.16
6500,חדרה,2005.0,conviction,female_out_migration,264,264,True,0.697962393875335,0.27333542016567686,0.13779725202427612,0.7
6700,טבריה,2007.0,arrest,female_out_migration,264,264,True,0.38567500029387436,0.04207953484335999,0.03761749577356874,0.25
6700,טבריה,2015.0,conviction,female_out_migration,264,264,True,0.4688785635570939,0.08686517724585312,0.07261401253098049,0.28
6700,טבריה,2010.0,indictment filed,female_out_migration,264,264,True,0.29567121907562116,0.014372704993671846,0.012867769492661184,0.33
6700,טבריה,2011.0,indictment filed,female_out_migration,264,264,True,0.3384683914210158,0.025329152206955134,0.021037787350521794,0.16
6900,כפר סבא,2017.0,arrest,female_out_migration,264,264,True,0.6567988422410769,0.010227497130307411,0.009026713959231221,0.36
6900,כפר סבא,2021.0,conviction,female_out_migration,264,264,True,0.9639439459443474,0.7949498694475335,0.528499096882251,0.81
6900,כפר סבא,2018.0,indictment filed,female_out_migration,264,264,True,0.7139998405401173,0.03445206563285332,0.019804141120565288,0.41
7000,לוד,2006.0,arrest,female_out_migration,264,264,True,0.1996246110983371,5.999872689799614e-06,6.881377671569059e-06,0.11
7000,לוד,2010.0,conviction,female_out_migration,264,264,True,0.1067816218986387,8.385001499102854e-09,7.027076387672479e-07,0.05
7000,לוד,2006.0,indictment filed,female_out_migration,264,264,True,0.1996246110983371,5.999872689799614e-06,6.881377671569059e-06,0.06
7100,אשקלון,2016.0,arrest,female_out_migration,264,264,True,0.08410686949246238,1.7927216996496817e-06,0.0004374113933584464,0.2
7100,אשקלון,2019.0,conviction,female_out_migration,264,264,True,0.12374289249745395,2.322183939446519e-05,0.00031695198421745455,0.15
7100,אשקלון,2017.0,indictment filed,female_out_migration,264,264,True,0.07943457103547694,1.2404883404867842e-06,0.0002953947195605699,0.13
8000,צפת,2016.0,conviction,female_out_migration,264,264,True,0.375658521315847,0.0477118981772082,0.0663727060441657,0.88
8400,רחובות,2008.0,conviction,female_out_migration,264,264,True,0.7164734982768937,0.07059583605855035,0.0009637843402620367,0.26
8600,רמת גן,2015.0,conviction,female_out_migration,264,264,True,0.4007945532185768,0.00036753309772541675,0.00010313136891785778,0.2
8600,רמת גן,2013.0,indictment filed,female_out_migration,264,264,True,0.4526175600642486,0.0014922859704468998,0.000335626867998887,0.27
9100,נהרייה,2008.0,conviction,female_out_migration,264,264,True,0.7923158184238307,0.3386836611124442,0.26650923280362504,0.9
