target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,female_out_migration,192,186,True,0.2962287926218213,0.00046600713278928803,0.0009502097503996144,0.07
31,אופקים,2013,conviction,female_out_migration,192,186,True,0.33361428488311284,0.0012282157554582478,0.0009297437465449576,0.09
1031,שדרות,2009,conviction,female_out_migration,192,184,True,0.2755431211979278,0.0003129510977054323,0.0004234526256922917,0.14
587,סביון,2003,conviction,female_out_migration,264,263,False,,,,
587,סביון,2013,indictment filed,female_out_migration,264,263,True,0.7005988146692411,0.13644782491816104,0.11368728970670489,0.49
587,סביון,2014,conviction,female_out_migration,264,263,True,0.7532553100592836,0.22724022719638673,0.20390396675245642,0.58
70,אשדוד,2010,arrest,female_out_migration,264,253,True,0.6265897759803822,0.0010313054936395352,8.82259668776234e-05,0.23
70,אשדוד,2012,indictment filed,female_out_migration,264,253,True,0.6348887923561362,0.001379021570139485,0.00018422735626803628,0.21
70,אשדוד,2014,conviction,female_out_migration,264,253,True,0.7144120146496087,0.014198757271967625,0.002599258217272531,0.26
9600,קריית ים,2009,arrest,female_out_migration,216,208,True,0.5453039952897965,0.021062047951017994,0.0018075119332605055,0.1
9600,קריית ים,2013,indictment filed,female_out_migration,216,208,True,0.9603513659576253,0.7166271361114539,0.5341572754934276,0.71
9600,קריית ים,2014,conviction,female_out_migration,216,208,True,0.8940576369172903,0.4868840414266543,0.16210434723407333,0.49
7700,עפולה,2005,conviction,female_out_migration,168,162,True,0.9222369355428034,0.5728852893446887,0.8079154075747006,1.0
9200,בית שאן,2007,arrest,female_out_migration,192,187,True,0.6190972432070192,0.06514539654552938,0.0008655112307214784,0.32
9200,בית שאן,2010,indictment filed,female_out_migration,192,187,True,0.4635841446389094,0.011053460245143297,4.2409252863945975e-05,0.09
9200,בית שאן,2011,indictment filed,female_out_migration,192,187,True,0.44393956106530685,0.00864958617757057,3.0877323717741025e-05,0.11
9200,בית שאן,2015,conviction,female_out_migration,192,187,True,0.35855357322405723,0.002393297165878667,7.447533524061251e-05,0.17
9700,הוד השרון,2017,arrest,female_out_migration,216,212,True,0.5093267888565962,0.00026095507634454185,0.009721724718823797,0.5
9700,הוד השרון,2018,indictment filed,female_out_migration,216,212,True,0.5500288671244717,0.00099412098982392,0.020479728597523852,0.48
9700,הוד השרון,2021,conviction,female_out_migration,216,212,True,0.7733761948785782,0.11634247563096954,0.06363585432058975,0.32
8500,רמלה,2006,arrest,female_out_migration,240,230,True,0.9939929700747718,0.9632206442944069,0.9616466432883494,1.0
8500,רמלה,2006,indictment filed,female_out_migration,240,230,True,0.9939929700747718,0.9632206442944069,0.9616466432883494,1.0
8500,רמלה,2010,conviction,female_out_migration,240,230,True,0.8652791099282107,0.29795942210548776,0.10463117482657257,0.65
7800,פרדס חנה-כרכור,2016,arrest,female_out_migration,168,165,True,0.46512673689987927,0.024714388816045766,0.07399499186055812,0.53
7800,פרדס חנה-כרכור,2017,indictment filed,female_out_migration,168,165,True,0.49410385777234,0.03730988500988286,0.12982440049222954,0.54
7800,פרדס חנה-כרכור,2019,conviction,female_out_migration,168,165,True,0.6138453462780942,0.12494316470023567,0.25644007069612834,0.74
3660,עמנואל,2016,conviction,female_out_migration,240,239,True,0.09799445537290344,0.007789601453452251,0.025699575854216266,0.43
7200,נס ציונה,2008,conviction,female_out_migration,192,188,True,0.9121247491444493,0.6576427437039847,0.8143919401173367,0.88
8700,רעננה,2013,indictment filed,female_out_migration,216,209,True,0.5667167611683794,0.022457815736510924,0.022745346230439775,0.27
8700,רעננה,2015,conviction,female_out_migration,216,209,True,0.36027227514291316,0.00015253996971812065,0.002056110046842737,0.25
2800,קריית שמונה,2008,conviction,female_out_migration,216,210,True,0.9592390559881157,0.8533940531407596,0.6778420106051896,1.0
