target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,in_migration_age_15_29,264,255,True,0.4826382450244021,0.22225993849459885,0.2030299919185181,0.58
1034,קריית מלאכי,2013.0,conviction,in_migration_age_15_29,264,255,True,0.4917498315768668,0.23221200527992208,0.24309248054260535,0.77
2630,קריית גת,2009.0,conviction,in_migration_age_15_29,264,253,True,0.30798858214928554,0.06609139661809825,0.04506728738259519,0.67
2650,רמת השרון,2003.0,conviction,in_migration_age_15_29,264,262,False,,,,
2650,רמת השרון,2013.0,indictment filed,in_migration_age_15_29,264,262,True,0.37306306869253014,0.0028775487853965557,0.0007627868307066774,0.17
2650,רמת השרון,2014.0,conviction,in_migration_age_15_29,264,262,True,0.4428252594314295,0.010153367792833651,0.0010077380232744882,0.15
3000,ירושלים,2010.0,arrest,in_migration_age_15_29,264,253,True,0.9394153257361915,0.6623355750085567,0.5289785413664494,1.0
3000,ירושלים,2012.0,indictment filed,in_migration_age_15_29,264,253,True,0.9079230621423815,0.5024491516225666,0.3065665336615647,0.93
3000,ירושלים,2014.0,conviction,in_migration_age_15_29,264,253,True,0.8476230321946544,0.26388020241816623,0.088885525487368,0.45
6200,בת ים,2009.0,arrest,in_migration_age_15_29,264,254,True,0.00905613998932187,4.016895762123433e-13,2.8169164158155183e-05,0.15
6200,בת ים,2013.0,indictment filed,in_migration_age_15_29,264,254,True,0.010793973064179176,9.888089757185171e-13,3.356464089876259e-05,0.15
6200,בת ים,2014.0,conviction,in_migration_age_15_29,264,254,True,0.013341704899517106,4.841021277568224e-12,3.436962032642566e-05,0.17
6500,חדרה,2005.0,conviction,in_migration_age_15_29,264,256,True,0.3945766028903803,0.1641532498667853,0.06672530281146864,0.38
6700,טבריה,2007.0,arrest,in_migration_age_15_29,264,254,True,0.9240629566614218,0.7809397209331936,0.4432649679693552,0.88
6700,טבריה,2010.0,indictment filed,in_migration_age_15_29,264,254,True,0.9653373169502164,0.8898552809487635,0.8455730990394862,1.0
6700,טבריה,2011.0,indictment filed,in_migration_age_15_29,264,254,True,0.9755076215544125,0.9169096220031103,0.8969463059041902,1.0
6700,טבריה,2015.0,conviction,in_migration_age_15_29,264,254,True,0.9776618703503459,0.9297325233926883,0.9303436731823269,0.88
6900,כפר סבא,2017.0,arrest,in_migration_age_15_29,264,257,True,0.03411309379862022,8.041088872584012e-11,1.6356683431104702e-05,0.21
6900,כפר סבא,2018.0,indictment filed,in_migration_age_15_29,264,257,True,0.04779466999350555,1.4697259370535284e-09,3.859620386543949e-05,0.2
6900,כפר סבא,2021.0,conviction,in_migration_age_15_29,264,257,True,0.2587254699339225,0.0007439280915706688,2.9461878482327892e-05,0.12
7000,לוד,2006.0,arrest,in_migration_age_15_29,264,253,True,0.5360836736830819,0.3521675281603933,0.11776272340904671,0.73
7000,לוד,2006.0,indictment filed,in_migration_age_15_29,264,253,True,0.5360836736830819,0.3521675281603933,0.11776272340904671,0.69
7000,לוד,2010.0,conviction,in_migration_age_15_29,264,253,True,0.8211059262654897,0.7336069135841845,0.6605486365131141,0.96
7100,אשקלון,2016.0,arrest,in_migration_age_15_29,264,254,True,0.667002078427873,0.3972433507432679,0.4027226620444566,0.44
7100,אשקלון,2017.0,indictment filed,in_migration_age_15_29,264,254,True,0.7170533524415675,0.4755845812741989,0.44943591902017754,0.7
7100,אשקלון,2019.0,conviction,in_migration_age_15_29,264,254,True,0.8142708855233957,0.6434090289381836,0.5438162802114732,0.56
8000,צפת,2016.0,conviction,in_migration_age_15_29,264,257,True,0.7390222184276138,0.4503458753267684,0.37219597889969047,0.36
8400,רחובות,2008.0,conviction,in_migration_age_15_29,264,258,True,0.05985429958483596,3.402259362180174e-05,7.528899287077364e-05,0.18
8600,רמת גן,2013.0,indictment filed,in_migration_age_15_29,264,254,True,0.012752345575338928,1.4511867603724572e-09,2.7813270481964205e-05,0.15
8600,רמת גן,2015.0,conviction,in_migration_age_15_29,264,254,True,0.002876159329288357,1.8968240609908826e-13,2.312826965206656e-06,0.09
9100,נהרייה,2008.0,conviction,in_migration_age_15_29,264,256,True,0.0055541209597271685,3.800669453630197e-09,8.798908612752513e-06,0.1
