target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,in_migration_age_15_29,264,264,True,0.5039854311436291,0.22424709988252378,0.2377567787488088,0.71
1034,קריית מלאכי,2013.0,conviction,in_migration_age_15_29,264,264,True,0.5105727788527024,0.2330749537587647,0.2757202760475256,0.88
2630,קריית גת,2009.0,conviction,in_migration_age_15_29,264,264,True,0.3017300451663023,0.06327314521028506,0.050960611159952,0.65
2650,רמת השרון,2003.0,conviction,in_migration_age_15_29,264,264,True,0.924305386638796,0.7440926727501379,0.6827284596414903,1.0
2650,רמת השרון,2014.0,conviction,in_migration_age_15_29,264,264,True,0.42976514091757567,0.0061654827590472555,0.000702775548234045,0.13
2650,רמת השרון,2013.0,indictment filed,in_migration_age_15_29,264,264,True,0.3833742657095913,0.0024246339664182946,0.0008805738771533932,0.13
3000,ירושלים,2010.0,arrest,in_migration_age_15_29,264,264,True,0.8943755996938405,0.6220769490347089,0.2952323707528247,0.8
3000,ירושלים,2014.0,conviction,in_migration_age_15_29,264,264,True,0.8171721000798473,0.25317855849171034,0.0513264743979086,0.44
3000,ירושלים,2012.0,indictment filed,in_migration_age_15_29,264,264,True,0.8703938192868672,0.4726468733730361,0.17111411304315102,0.7
6200,בת ים,2009.0,arrest,in_migration_age_15_29,264,264,True,0.007571495652945243,8.583372840421397e-14,3.787374141036223e-05,0.21
6200,בת ים,2014.0,conviction,in_migration_age_15_29,264,264,True,0.01174610787552849,1.874139871166073e-12,4.03336587798016e-05,0.15
6200,בת ים,2013.0,indictment filed,in_migration_age_15_29,264,264,True,0.009391351893385136,3.4848681347515445e-13,4.03512007453615e-05,0.2
6500,חדרה,2005.0,conviction,in_migration_age_15_29,264,264,True,0.4049906957581525,0.13517200460974083,0.08657578023612725,0.37
6700,טבריה,2007.0,arrest,in_migration_age_15_29,264,264,True,0.9151953639807082,0.7900164085848747,0.38315029508834286,0.81
6700,טבריה,2015.0,conviction,in_migration_age_15_29,264,264,True,0.9723626004675694,0.9218484100176447,0.9131465743402196,0.94
6700,טבריה,2010.0,indictment filed,in_migration_age_15_29,264,264,True,0.9727362756275238,0.9321111926291299,0.874938409476024,1.0
6700,טבריה,2011.0,indictment filed,in_migration_age_15_29,264,264,True,0.9821452713094896,0.9555697642376597,0.9232486155195851,1.0
6900,כפר סבא,2017.0,arrest,in_migration_age_15_29,264,264,True,0.0317480916339776,2.0481989632636606e-11,1.0240404620564727e-05,0.29
6900,כפר סבא,2021.0,conviction,in_migration_age_15_29,264,264,True,0.2533042700085366,0.0005348735725870159,2.2301146436086217e-05,0.24
6900,כפר סבא,2018.0,indictment filed,in_migration_age_15_29,264,264,True,0.04495624319268032,4.699414559556811e-10,2.5917032868812343e-05,0.15
7000,לוד,2006.0,arrest,in_migration_age_15_29,264,264,True,0.3857930696820564,0.19283000198711867,0.052935859412181846,0.58
7000,לוד,2010.0,conviction,in_migration_age_15_29,264,264,True,0.6785592736430486,0.5332867353495532,0.44715676141870686,0.8
7000,לוד,2006.0,indictment filed,in_migration_age_15_29,264,264,True,0.3857930696820564,0.19283000198711867,0.052935859412181846,0.51
7100,אשקלון,2016.0,arrest,in_migration_age_15_29,264,264,True,0.6568006418582611,0.37860507049603787,0.39765060294891497,0.5
7100,אשקלון,2019.0,conviction,in_migration_age_15_29,264,264,True,0.8055232149699524,0.6254418761512227,0.5320953455770323,0.67
7100,אשקלון,2017.0,indictment filed,in_migration_age_15_29,264,264,True,0.7070112799229811,0.45620567069383944,0.442018709813789,0.6
8000,צפת,2016.0,conviction,in_migration_age_15_29,264,264,True,0.6917095178396648,0.4044491185643335,0.2866394702291796,0.3
8400,רחובות,2008.0,conviction,in_migration_age_15_29,264,264,True,0.05666464089586108,1.0992713145677952e-05,7.647691595948578e-05,0.2
8600,רמת גן,2015.0,conviction,in_migration_age_15_29,264,264,True,0.002802425329785809,1.1775860370683035e-13,3.1213018025616083e-06,0.08
8600,רמת גן,2013.0,indictment filed,in_migration_age_15_29,264,264,True,0.011885473801039229,7.994408711617202e-10,3.664840441174297e-05,0.16
9100,נהרייה,2008.0,conviction,in_migration_age_15_29,264,264,True,0.002318803139326318,5.175256092254424e-11,6.138755654827463e-06,0.14
