target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,in_migration_age_15_29,192,186,True,0.34446495181617476,0.08283143228933786,0.14900626562926825,0.46
31,אופקים,2013,conviction,in_migration_age_15_29,192,186,True,0.2999700501249318,0.05897449115362225,0.14271054958654197,0.53
1031,שדרות,2009,conviction,in_migration_age_15_29,192,184,True,0.013813064793389566,3.7001475531662665e-05,0.000516175859147505,0.09
587,סביון,2003,conviction,in_migration_age_15_29,264,263,False,,,,
587,סביון,2013,indictment filed,in_migration_age_15_29,264,263,True,0.5046551771965311,0.030693830393004554,0.02206004423140385,0.27
587,סביון,2014,conviction,in_migration_age_15_29,264,263,True,0.5757453457537973,0.06879702058496781,0.031332479480712536,0.45
70,אשדוד,2010,arrest,in_migration_age_15_29,264,253,True,0.5964808268609637,0.00060769311972452,0.0004908292664643673,0.19
70,אשדוד,2012,indictment filed,in_migration_age_15_29,264,253,True,0.5877414411130295,0.00044137690192951984,0.00020062752070266072,0.16
70,אשדוד,2014,conviction,in_migration_age_15_29,264,253,True,0.6122852726591378,0.001033491300577434,0.0002513274118067564,0.19
9600,קריית ים,2009,arrest,in_migration_age_15_29,216,208,True,0.827750698589348,0.6392395459878552,0.5354610966202715,0.93
9600,קריית ים,2013,indictment filed,in_migration_age_15_29,216,208,True,0.8744929155785204,0.7264726321996244,0.6385562148120963,0.8
9600,קריית ים,2014,conviction,in_migration_age_15_29,216,208,True,0.866428448652354,0.6984924520958475,0.5666023713656587,0.89
7700,עפולה,2005,conviction,in_migration_age_15_29,168,162,True,0.0002153337812762597,1.6449305062757885e-07,0.00014426092785233352,0.12
9200,בית שאן,2007,arrest,in_migration_age_15_29,192,187,True,0.947320488788376,0.7270263586171771,0.8596411728254708,1.0
9200,בית שאן,2010,indictment filed,in_migration_age_15_29,192,187,True,0.9655129742185031,0.9763835379348575,0.900231763292055,1.0
9200,בית שאן,2011,indictment filed,in_migration_age_15_29,192,187,True,0.8851958387970362,0.816199103990651,0.7039245348573323,0.87
9200,בית שאן,2015,conviction,in_migration_age_15_29,192,187,True,0.9017899233745714,0.7010030080445291,0.73394367505063,0.9
9700,הוד השרון,2017,arrest,in_migration_age_15_29,216,212,True,0.3669272757773858,0.023728285791918727,0.12513262202332617,0.55
9700,הוד השרון,2018,indictment filed,in_migration_age_15_29,216,212,True,0.35321086486926034,0.019502910261406242,0.0843731584862053,0.44
9700,הוד השרון,2021,conviction,in_migration_age_15_29,216,212,True,0.588451821747492,0.17297966362904982,0.010087980163600777,0.26
8500,רמלה,2006,arrest,in_migration_age_15_29,240,230,True,0.7984872234874307,0.4085465413283874,0.4672901854517396,0.65
8500,רמלה,2006,indictment filed,in_migration_age_15_29,240,230,True,0.7984872234874307,0.4085465413283874,0.4672901854517396,0.7
8500,רמלה,2010,conviction,in_migration_age_15_29,240,230,True,0.9412423107932699,0.8118939483241935,0.857172187775951,0.81
7800,פרדס חנה-כרכור,2016,arrest,in_migration_age_15_29,168,165,True,0.34407172483423376,0.17098461066479248,0.41137148947107627,0.79
7800,פרדס חנה-כרכור,2017,indictment filed,in_migration_age_15_29,168,165,True,0.31649469280949116,0.14335572752749676,0.36506582401668264,0.73
7800,פרדס חנה-כרכור,2019,conviction,in_migration_age_15_29,168,165,True,0.4393953748710451,0.2567285777710202,0.29585173848523433,0.59
3660,עמנואל,2016,conviction,in_migration_age_15_29,240,235,True,0.5373748276278296,0.16453112426843736,0.13073401875082238,0.43
7200,נס ציונה,2008,conviction,in_migration_age_15_29,192,186,True,0.18553237927165772,0.06374781350390149,0.041502063785721854,0.35
8700,רעננה,2013,indictment filed,in_migration_age_15_29,216,209,True,0.30041897497064524,0.0034327151028538685,0.017121667382043904,0.42
8700,רעננה,2015,conviction,in_migration_age_15_29,216,209,True,0.3370759906725227,0.006846365003102378,0.049492116302681244,0.6
2800,קריית שמונה,2008,conviction,in_migration_age_15_29,216,210,True,0.6210895091747906,0.1644710516272951,0.22249786476462435,0.66
