target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,loan_repayment_expenditures,264,217,True,0.6337498818191726,0.4699927560738215,0.2449779809671849,0.73
1034,קריית מלאכי,2013.0,conviction,loan_repayment_expenditures,264,217,True,0.7109017952064357,0.5735154453965701,0.3482631163313441,0.84
2630,קריית גת,2009.0,conviction,loan_repayment_expenditures,264,217,False,,,,
2650,רמת השרון,2003.0,conviction,loan_repayment_expenditures,264,177,False,,,,
2650,רמת השרון,2013.0,indictment filed,loan_repayment_expenditures,264,177,False,,,,
2650,רמת השרון,2014.0,conviction,loan_repayment_expenditures,264,177,False,,,,
3000,ירושלים,2010.0,arrest,loan_repayment_expenditures,264,220,True,0.7568737959809668,0.6104678442707054,0.2641978954122513,0.78
3000,ירושלים,2012.0,indictment filed,loan_repayment_expenditures,264,220,True,0.772180880880633,0.6338165880735926,0.26926785249451296,0.62
3000,ירושלים,2014.0,conviction,loan_repayment_expenditures,264,220,True,0.5672143331704256,0.3463002581551592,0.01373897756820716,0.45
6200,בת ים,2009.0,arrest,loan_repayment_expenditures,264,222,False,,,,
6200,בת ים,2013.0,indictment filed,loan_repayment_expenditures,264,222,True,0.5637281797828972,0.4493082135048012,0.05270997366363007,0.5
6200,בת ים,2014.0,conviction,loan_repayment_expenditures,264,222,True,0.5258583002149674,0.39629570995763364,0.038724801322197765,0.57
6500,חדרה,2005.0,conviction,loan_repayment_expenditures,264,217,True,0.36248683299822926,0.09647682235720764,0.019197792926165465,0.4
6700,טבריה,2007.0,arrest,loan_repayment_expenditures,264,216,False,,,,
6700,טבריה,2010.0,indictment filed,loan_repayment_expenditures,264,216,True,0.4470228051472238,0.43225491376103053,0.05816701620224613,0.45
6700,טבריה,2011.0,indictment filed,loan_repayment_expenditures,264,216,True,0.16219496939583838,0.1196902456499691,0.0029404096750511527,0.37
6700,טבריה,2015.0,conviction,loan_repayment_expenditures,264,216,True,0.061260145105483776,0.029058988025008513,0.0002956316871394173,0.28
6900,כפר סבא,2017.0,arrest,loan_repayment_expenditures,264,216,True,0.48864582286137304,0.28529196628715847,0.012023573907046847,0.18
6900,כפר סבא,2018.0,indictment filed,loan_repayment_expenditures,264,216,True,0.6408803063654637,0.46053670897631294,0.0697097454268993,0.47
6900,כפר סבא,2021.0,conviction,loan_repayment_expenditures,264,216,True,0.8689288887582429,0.8430529396721732,0.31649022812791594,0.58
7000,לוד,2006.0,arrest,loan_repayment_expenditures,264,217,False,,,,
7000,לוד,2006.0,indictment filed,loan_repayment_expenditures,264,217,False,,,,
7000,לוד,2010.0,conviction,loan_repayment_expenditures,264,217,True,0.025955731272603273,0.0006897209115073646,0.00022892035241750308,0.2
7100,אשקלון,2016.0,arrest,loan_repayment_expenditures,264,219,True,0.03318403228963563,0.0002795325310273859,9.906120463400619e-07,0.11
7100,אשקלון,2017.0,indictment filed,loan_repayment_expenditures,264,219,True,0.22221831726944555,0.040333613574091286,8.381376410642011e-05,0.12
7100,אשקלון,2019.0,conviction,loan_repayment_expenditures,264,219,True,0.2875324633075703,0.07474597296968309,0.0002692253845829204,0.16
8000,צפת,2016.0,conviction,loan_repayment_expenditures,264,214,True,0.06065262549054298,0.00825374096592764,0.0007196946326273755,0.15
8400,רחובות,2008.0,conviction,loan_repayment_expenditures,264,215,False,,,,
8600,רמת גן,2013.0,indictment filed,loan_repayment_expenditures,264,219,True,0.05403715248373465,0.003553561015728591,3.11406993477448e-05,0.22
8600,רמת גן,2015.0,conviction,loan_repayment_expenditures,264,219,True,0.03867873200949808,0.0018245215771646448,0.00017415392842448697,0.15
9100,נהרייה,2008.0,conviction,loan_repayment_expenditures,264,217,False,,,,
