target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,male_in_migration,264,255,True,0.4920808289453549,0.28685152160400806,0.2193385849273981,1.0
1034,קריית מלאכי,2013.0,conviction,male_in_migration,264,255,True,0.49254434100152766,0.29064319949943224,0.2634179983629242,1.0
2630,קריית גת,2009.0,conviction,male_in_migration,264,253,True,0.1740541365201674,0.021061689171743492,0.011690655153947141,0.42
2650,רמת השרון,2003.0,conviction,male_in_migration,264,262,False,,,,
2650,רמת השרון,2013.0,indictment filed,male_in_migration,264,262,True,0.9709755549981183,0.9985859416505343,0.8881894290096484,0.92
2650,רמת השרון,2014.0,conviction,male_in_migration,264,262,True,0.9670530962452886,0.9823238880730548,0.8659573043626232,1.0
3000,ירושלים,2010.0,arrest,male_in_migration,264,253,True,0.8193995499791578,0.3248763417698478,0.13998419084046745,0.72
3000,ירושלים,2012.0,indictment filed,male_in_migration,264,253,True,0.783068599086222,0.2234619005632446,0.06822295007597842,0.63
3000,ירושלים,2014.0,conviction,male_in_migration,264,253,True,0.7043796385401833,0.09241323332144259,0.018814153976071918,0.43
6200,בת ים,2009.0,arrest,male_in_migration,264,254,True,0.15906572583030534,1.423182048677336e-08,9.90311164122159e-06,0.12
6200,בת ים,2013.0,indictment filed,male_in_migration,264,254,True,0.1483658030949002,4.624760090702723e-09,1.5756928443527523e-05,0.16
6200,בת ים,2014.0,conviction,male_in_migration,264,254,True,0.16487442106538425,1.9652939056267083e-08,2.8380306763780274e-05,0.13
6500,חדרה,2005.0,conviction,male_in_migration,264,256,True,0.19611495448409474,0.04770512897605092,0.01652843284756231,0.49
6700,טבריה,2007.0,arrest,male_in_migration,264,254,True,0.9217282891119699,0.8127542757929178,0.516807383633805,0.94
6700,טבריה,2010.0,indictment filed,male_in_migration,264,254,True,0.946193242293994,0.9065097811935916,0.7950119588799633,0.89
6700,טבריה,2011.0,indictment filed,male_in_migration,264,254,True,0.9017604231454437,0.8141062302487206,0.6620980002171777,0.89
6700,טבריה,2015.0,conviction,male_in_migration,264,254,True,0.7444765748415276,0.5144812338307776,0.4346867610614572,0.94
6900,כפר סבא,2017.0,arrest,male_in_migration,264,256,True,0.2184474482809978,0.004201019659230427,0.00568314233893951,0.26
6900,כפר סבא,2018.0,indictment filed,male_in_migration,264,256,True,0.15557356926187718,0.0008940939297080107,0.003209598422008297,0.25
6900,כפר סבא,2021.0,conviction,male_in_migration,264,256,True,0.31290591685211566,0.018409593864015306,0.0006504388943214061,0.23
7000,לוד,2006.0,arrest,male_in_migration,264,253,True,0.5922892601088889,0.394701586065602,0.1250019580368812,0.53
7000,לוד,2006.0,indictment filed,male_in_migration,264,253,True,0.5922892601088889,0.394701586065602,0.1250019580368812,0.64
7000,לוד,2010.0,conviction,male_in_migration,264,253,True,0.6855327549527961,0.5261062331758701,0.3270797174537491,0.9
7100,אשקלון,2016.0,arrest,male_in_migration,264,254,True,0.15056755332989138,0.0045823037285388415,0.021374718185846443,0.29
7100,אשקלון,2017.0,indictment filed,male_in_migration,264,254,True,0.1930205520763907,0.010279986549948023,0.028446159566187512,0.21
7100,אשקלון,2019.0,conviction,male_in_migration,264,254,True,0.3175443359136619,0.04850176275249804,0.037760596822563185,0.4
8000,צפת,2016.0,conviction,male_in_migration,264,254,True,0.9321210908284587,0.8143504961984575,0.8422662639046353,1.0
8400,רחובות,2008.0,conviction,male_in_migration,264,258,True,0.5757297620582358,0.306934093431832,0.17565018984105935,0.68
8600,רמת גן,2013.0,indictment filed,male_in_migration,264,253,True,0.00343490009446599,4.218258073777486e-15,2.0313320014047325e-07,0.15
8600,רמת גן,2015.0,conviction,male_in_migration,264,253,True,0.0016824733817907825,1.9634111744336762e-17,1.1055264299296325e-07,0.15
9100,נהרייה,2008.0,conviction,male_in_migration,264,256,True,0.2399202654684272,0.030038245813682633,0.01006433291611203,0.48
