target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,male_in_migration,192,186,True,0.26586752841743827,0.07764488133249413,0.12950452622257388,0.74
31,אופקים,2013,conviction,male_in_migration,192,186,True,0.20258638813204596,0.04555556502400174,0.1168120181135516,0.61
1031,שדרות,2009,conviction,male_in_migration,192,184,True,0.7128716132979867,0.5799148277073817,0.567223319481135,0.86
587,סביון,2003,conviction,male_in_migration,264,263,False,,,,
587,סביון,2013,indictment filed,male_in_migration,264,263,True,0.9768641575043557,0.9958876254396334,0.9278509012766408,0.96
587,סביון,2014,conviction,male_in_migration,264,263,True,0.9251808264731557,0.8739169929235588,0.7523070163446056,1.0
70,אשדוד,2010,arrest,male_in_migration,264,253,True,0.3360087546940781,2.4272586907963625e-06,2.6664218962123823e-06,0.05
70,אשדוד,2012,indictment filed,male_in_migration,264,253,True,0.3660542399020347,1.0086995589067801e-05,3.268193645568042e-06,0.05
70,אשדוד,2014,conviction,male_in_migration,264,253,True,0.42954937199305243,0.00012372367835465016,2.9945268410215554e-05,0.22
9600,קריית ים,2009,arrest,male_in_migration,216,208,True,0.8545193003195725,0.790692407228191,0.7507788830398592,1.0
9600,קריית ים,2013,indictment filed,male_in_migration,216,208,True,0.7905921799889968,0.6723257605068691,0.6699420077759535,0.91
9600,קריית ים,2014,conviction,male_in_migration,216,208,True,0.8721704328060176,0.8074884274574428,0.7611710877163542,1.0
7700,עפולה,2005,conviction,male_in_migration,168,162,True,0.0016605893499187885,9.251022184212215e-05,0.0010892671915117985,0.12
9200,בית שאן,2007,arrest,male_in_migration,192,187,True,0.3383101104754681,0.1377442476832876,0.1350490876698876,0.56
9200,בית שאן,2010,indictment filed,male_in_migration,192,187,True,0.22067389902223541,0.05739476146036387,0.1117902469978807,0.5
9200,בית שאן,2011,indictment filed,male_in_migration,192,187,True,0.17910520475593592,0.037701327704769895,0.11562145081701201,0.53
9200,בית שאן,2015,conviction,male_in_migration,192,187,True,0.3063730154093001,0.11149455421345508,0.10973531633632584,0.62
9700,הוד השרון,2017,arrest,male_in_migration,216,212,True,0.2868362690403497,0.08608448015140216,0.20753028565423548,0.54
9700,הוד השרון,2018,indictment filed,male_in_migration,216,212,True,0.2642214771298781,0.06981546831866214,0.1252569511316729,0.36
9700,הוד השרון,2021,conviction,male_in_migration,216,212,True,0.44673424956030594,0.20724842435553464,0.003352328044292757,0.2
8500,רמלה,2006,arrest,male_in_migration,240,230,True,0.8510379621604555,0.5156829771037397,0.3927272040771772,0.77
8500,רמלה,2006,indictment filed,male_in_migration,240,230,True,0.8510379621604555,0.5156829771037397,0.3927272040771772,0.85
8500,רמלה,2010,conviction,male_in_migration,240,230,True,0.8945201290591456,0.6462578141434523,0.6642289268138422,0.73
7800,פרדס חנה-כרכור,2016,arrest,male_in_migration,168,165,True,0.5812563121391368,0.5325223290594723,0.7127283221427597,0.84
7800,פרדס חנה-כרכור,2017,indictment filed,male_in_migration,168,165,True,0.5150670780378692,0.44899472051558964,0.6233637451394647,0.84
7800,פרדס חנה-כרכור,2019,conviction,male_in_migration,168,165,True,0.5555729490987336,0.47915236591619814,0.4507169766301009,0.78
3660,עמנואל,2016,conviction,male_in_migration,240,232,True,0.7578469824092315,0.39929100601741185,0.3893682381176322,0.71
7200,נס ציונה,2008,conviction,male_in_migration,192,186,True,0.8808502711822446,0.9825728316843874,0.8038237920514446,1.0
8700,רעננה,2013,indictment filed,male_in_migration,216,209,True,0.27752564507375665,0.06750114758216429,0.1165442825121835,0.73
8700,רעננה,2015,conviction,male_in_migration,216,209,True,0.38035992333444224,0.14363229186913834,0.2623746982797449,0.48
2800,קריית שמונה,2008,conviction,male_in_migration,216,210,True,0.3512096628499448,0.1125505238623135,0.07010218043170703,0.41
