target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,operations_expenditures,264,264,True,0.4568872591748917,0.17045555992233025,0.1434884072286638,0.85
1034,קריית מלאכי,2013.0,conviction,operations_expenditures,264,264,True,0.5358029307744092,0.25607499420743896,0.24544532695557827,0.9
2630,קריית גת,2009.0,conviction,operations_expenditures,264,264,True,0.022541052840319365,4.449093701636321e-05,0.0007975375949817474,0.14
2650,רמת השרון,2003.0,conviction,operations_expenditures,264,264,True,0.571230629470932,0.10026282633387132,0.04179672286218695,0.36
2650,רמת השרון,2014.0,conviction,operations_expenditures,264,264,True,0.5521654453036591,0.09666856647576379,0.17368328715988754,0.41
2650,רמת השרון,2013.0,indictment filed,operations_expenditures,264,264,True,0.5245902720965006,0.07553201931206942,0.14533964592879936,0.3
3000,ירושלים,2010.0,arrest,operations_expenditures,264,264,True,4.518980701662007e-26,3.196314930989002e-46,6.513412918712689e-14,0.1
3000,ירושלים,2014.0,conviction,operations_expenditures,264,264,True,3.876858094496438e-33,1.998120622470713e-60,2.701659605895246e-14,0.1
3000,ירושלים,2012.0,indictment filed,operations_expenditures,264,264,True,4.479162124340429e-30,4.1307371603503385e-54,4.0729255306931246e-14,0.08
6200,בת ים,2009.0,arrest,operations_expenditures,264,264,True,0.5622601904882851,0.06723627831633638,0.02972213265478305,0.54
6200,בת ים,2014.0,conviction,operations_expenditures,264,264,True,0.7254785635826339,0.27355263386550427,0.31517156133879104,0.95
6200,בת ים,2013.0,indictment filed,operations_expenditures,264,264,True,0.718158201084431,0.2595951824548804,0.28285543558157916,0.88
6500,חדרה,2005.0,conviction,operations_expenditures,264,264,True,0.6027304888514402,0.337341310269511,0.2874214564825604,0.76
6700,טבריה,2007.0,arrest,operations_expenditures,264,264,True,0.4231910601814226,0.1586094068211587,0.1174387318134036,0.66
6700,טבריה,2015.0,conviction,operations_expenditures,264,264,True,0.26364991597136894,0.06582630742759088,0.1514167693598334,0.87
6700,טבריה,2010.0,indictment filed,operations_expenditures,264,264,True,0.2830624633724989,0.06422078344871396,0.06774722050687126,0.59
6700,טבריה,2011.0,indictment filed,operations_expenditures,264,264,True,0.25814310441918403,0.0535532156083062,0.07123261423570862,0.71
6900,כפר סבא,2017.0,arrest,operations_expenditures,264,264,True,0.0029409555946700913,9.106339199692299e-19,2.026144631801701e-06,0.1
6900,כפר סבא,2021.0,conviction,operations_expenditures,264,264,True,0.14273336387454152,2.5083736958419935e-05,1.2576836400450609e-06,0.09
6900,כפר סבא,2018.0,indictment filed,operations_expenditures,264,264,True,0.008315671465095832,8.289596043544827e-15,1.858941068317219e-06,0.12
7000,לוד,2006.0,arrest,operations_expenditures,264,264,True,0.2384042075975777,0.018783202317686896,0.0035301828651574585,0.27
7000,לוד,2010.0,conviction,operations_expenditures,264,264,True,0.05949634196806816,0.0003980289771473786,0.0009114257641553048,0.17
7000,לוד,2006.0,indictment filed,operations_expenditures,264,264,True,0.2384042075975777,0.018783202317686896,0.0035301828651574585,0.3
7100,אשקלון,2016.0,arrest,operations_expenditures,264,264,True,5.47701897292442e-12,4.803151483470983e-31,2.790945916137552e-09,0.07
7100,אשקלון,2019.0,conviction,operations_expenditures,264,264,True,2.0673528345170058e-10,9.285514048134899e-28,1.254433731208585e-10,0.11
7100,אשקלון,2017.0,indictment filed,operations_expenditures,264,264,True,6.750419029268229e-13,1.1801260496594222e-34,5.212192387009907e-10,0.12
8000,צפת,2016.0,conviction,operations_expenditures,264,264,True,0.36310730634887967,0.12165779252715157,0.24691536826137664,1.0
8400,רחובות,2008.0,conviction,operations_expenditures,264,264,True,0.0017083866770914234,1.0217444084600868e-17,3.421332339077833e-07,0.11
8600,רמת גן,2015.0,conviction,operations_expenditures,264,264,True,0.019890844713891326,1.5558976401326513e-10,1.29172455105829e-05,0.06
8600,רמת גן,2013.0,indictment filed,operations_expenditures,264,264,True,0.007959975756775466,1.4567322836824128e-13,2.3065088458341424e-06,0.08
9100,נהרייה,2008.0,conviction,operations_expenditures,264,264,True,0.00041918792177107213,3.03594148171287e-09,8.007730895085193e-05,0.04
