target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,operations_expenditures,192,192,True,0.6515606229600006,0.3901228170309594,0.4265483764001844,0.76
31,אופקים,2013,conviction,operations_expenditures,192,192,True,0.4494470624689707,0.1511464020243045,0.21763031635738098,0.85
1031,שדרות,2009,conviction,operations_expenditures,192,192,True,0.03931841843190522,0.00029088854592076763,0.0034834844604772993,0.17
587,סביון,2003,conviction,operations_expenditures,264,264,True,0.4742569609856534,0.05138791939579341,0.0039482909171399926,0.37
587,סביון,2014,conviction,operations_expenditures,264,264,True,0.6291178444584066,0.22931868236178338,0.2034526349742796,0.7
587,סביון,2013,indictment filed,operations_expenditures,264,264,True,0.6526784928288896,0.26674928478672094,0.24877092633124911,0.63
70,אשדוד,2010,arrest,operations_expenditures,264,264,True,0.3000343599083502,0.0004577660671190608,0.001441964013186767,0.33
70,אשדוד,2014,conviction,operations_expenditures,264,264,True,0.4466638786551712,0.011417145490492312,0.015333431870276575,0.41
70,אשדוד,2012,indictment filed,operations_expenditures,264,264,True,0.38539970962847614,0.003693443700867139,0.006516486148882905,0.41
9600,קריית ים,2009,arrest,operations_expenditures,216,216,True,0.3942131865805474,0.09271334336919537,0.14640328521677765,0.75
9600,קריית ים,2014,conviction,operations_expenditures,216,216,True,0.29086368181584726,0.04264797394360712,0.0968075534646165,0.75
9600,קריית ים,2013,indictment filed,operations_expenditures,216,216,True,0.33576649357166644,0.0634844003858802,0.12354988083547978,0.76
7700,עפולה,2005,conviction,operations_expenditures,168,168,True,0.012599979802570877,1.031394006188098e-05,0.0006842990111192404,0.09
9200,בית שאן,2007,arrest,operations_expenditures,192,192,True,0.2656951381826361,0.026392651023740936,0.03843148749479622,0.46
9200,בית שאן,2015,conviction,operations_expenditures,192,192,True,0.17364841745781434,0.00937853007612414,0.0753674590326176,0.79
9200,בית שאן,2010,indictment filed,operations_expenditures,192,192,True,0.21159606710646311,0.014900313459964799,0.04688195226806158,0.58
9200,בית שאן,2011,indictment filed,operations_expenditures,192,192,True,0.19738323432481755,0.012783055807798706,0.05402589259395705,0.62
9700,הוד השרון,2017,arrest,operations_expenditures,216,216,True,0.14807864439824406,1.7733074144325294e-06,0.0038523342937341436,0.2
9700,הוד השרון,2021,conviction,operations_expenditures,216,216,True,0.5484333653717941,0.050492500296870635,0.010745310451319203,0.4
9700,הוד השרון,2018,indictment filed,operations_expenditures,216,216,True,0.19626253739361518,2.0877424760036514e-05,0.00449653029373337,0.31
8500,רמלה,2006,arrest,operations_expenditures,240,240,True,0.8049571151905363,0.41673438956500297,0.10421265536654549,0.9
8500,רמלה,2010,conviction,operations_expenditures,240,240,True,0.63673610763392,0.12438960978439811,0.08976709079460357,0.63
8500,רמלה,2006,indictment filed,operations_expenditures,240,240,True,0.8049571151905363,0.41673438956500297,0.10421265536654549,0.87
7800,פרדס חנה-כרכור,2016,arrest,operations_expenditures,168,168,True,0.20845808931066379,0.009890739530286373,0.10844833266393243,0.55
7800,פרדס חנה-כרכור,2019,conviction,operations_expenditures,168,168,True,0.40681548350873054,0.07182516617411895,0.1600051067944943,0.59
7800,פרדס חנה-כרכור,2017,indictment filed,operations_expenditures,168,168,True,0.28037203613224126,0.02441601976228929,0.1590609415715087,0.46
3660,עמנואל,2016,conviction,operations_expenditures,240,240,True,0.10755295169292126,0.013128326523690876,0.09539294939661187,0.75
7200,נס ציונה,2008,conviction,operations_expenditures,192,192,True,0.01723336189915223,1.5050609711067985e-05,0.006770885999264273,0.18
8700,רעננה,2015,conviction,operations_expenditures,216,216,True,0.5063062835093921,0.027319574388898142,0.0708745695165031,0.78
8700,רעננה,2013,indictment filed,operations_expenditures,216,216,True,0.4741051424542644,0.017052337761944616,0.04822061394482679,0.76
2800,קריית שמונה,2008,conviction,operations_expenditures,216,216,True,0.06223560403356963,0.000338777951819059,0.003025907206301175,0.18
