target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,out_migration_age_15_29,264,255,True,0.16652808824993437,0.004000818893462078,0.0003801935712718245,0.2
1034,קריית מלאכי,2013.0,conviction,out_migration_age_15_29,264,255,True,0.15077982393149655,0.0026116820350712694,0.0002858149565662908,0.18
2630,קריית גת,2009.0,conviction,out_migration_age_15_29,264,253,True,0.022356606245675873,3.8783521335815054e-08,1.794648555562849e-05,0.08
2650,רמת השרון,2003.0,conviction,out_migration_age_15_29,264,262,False,,,,
2650,רמת השרון,2013.0,indictment filed,out_migration_age_15_29,264,262,True,0.3019980378865076,0.0023812667713499786,0.009099740285436485,0.22
2650,רמת השרון,2014.0,conviction,out_migration_age_15_29,264,262,True,0.3421197009316892,0.005219705809741618,0.016050200967291976,0.34
3000,ירושלים,2010.0,arrest,out_migration_age_15_29,264,253,True,0.47633532480517593,0.03746635189181931,0.07351444660036749,0.55
3000,ירושלים,2012.0,indictment filed,out_migration_age_15_29,264,253,True,0.6859864646394307,0.23805123424139357,0.24075607677587804,0.4
3000,ירושלים,2014.0,conviction,out_migration_age_15_29,264,253,True,0.6568576770798047,0.19520121415142794,0.14133395704695975,0.45
6200,בת ים,2009.0,arrest,out_migration_age_15_29,264,254,True,0.001896238639566206,1.197414496288195e-16,2.855639417048758e-06,0.11
6200,בת ים,2013.0,indictment filed,out_migration_age_15_29,264,254,True,0.021393688096754605,1.8202749159360792e-09,7.585647207001659e-06,0.09
6200,בת ים,2014.0,conviction,out_migration_age_15_29,264,254,True,0.0341763912745375,3.2936810162010084e-08,7.487543436987988e-06,0.08
6500,חדרה,2005.0,conviction,out_migration_age_15_29,264,256,True,0.022951016767798007,1.198655466608358e-07,0.00019376433563789348,0.12
6700,טבריה,2007.0,arrest,out_migration_age_15_29,264,254,True,0.0073391526058893385,4.5176753499473245e-08,0.0001814986742651269,0.22
6700,טבריה,2010.0,indictment filed,out_migration_age_15_29,264,254,True,0.01265549780429738,3.8446040415299593e-07,0.0004663602672677932,0.16
6700,טבריה,2011.0,indictment filed,out_migration_age_15_29,264,254,True,0.02050833468003227,2.5441980806184738e-06,0.0009951949174294978,0.32
6700,טבריה,2015.0,conviction,out_migration_age_15_29,264,254,True,0.04345597095795854,4.380440156478214e-05,0.0021388287919731357,0.13
6900,כפר סבא,2017.0,arrest,out_migration_age_15_29,264,257,True,0.17049869238349588,2.8783424408901463e-09,4.642230581395676e-07,0.03
6900,כפר סבא,2018.0,indictment filed,out_migration_age_15_29,264,257,True,0.21707059786857888,1.0785176352235552e-07,7.237581165854307e-07,0.13
6900,כפר סבא,2021.0,conviction,out_migration_age_15_29,264,257,True,0.4579935484791392,0.0016270582336117743,1.486480209544695e-07,0.05
7000,לוד,2006.0,arrest,out_migration_age_15_29,264,253,True,0.04170445110558149,2.454455960594355e-07,0.00018035622297149295,0.06
7000,לוד,2006.0,indictment filed,out_migration_age_15_29,264,253,True,0.04170445110558149,2.454455960594355e-07,0.00018035622297149295,0.04
7000,לוד,2010.0,conviction,out_migration_age_15_29,264,253,True,0.02429035935012096,1.2588202752970117e-08,0.00014623841721810298,0.1
7100,אשקלון,2016.0,arrest,out_migration_age_15_29,264,254,True,0.7603622554690598,0.4842628919461407,0.47076352918155995,0.64
7100,אשקלון,2017.0,indictment filed,out_migration_age_15_29,264,254,True,0.7525429473720276,0.46965165853661284,0.4108282478359758,0.65
7100,אשקלון,2019.0,conviction,out_migration_age_15_29,264,254,True,0.8031290059054029,0.5672772184109265,0.4145379987342991,0.72
8000,צפת,2016.0,conviction,out_migration_age_15_29,264,260,True,0.19535420950189758,0.007735794636869845,0.03813753317340864,0.72
8400,רחובות,2008.0,conviction,out_migration_age_15_29,264,258,True,0.07121639000135256,1.854679026128375e-15,2.702262564436412e-07,0.06
8600,רמת גן,2013.0,indictment filed,out_migration_age_15_29,264,254,True,0.7867820888156782,0.4377237350643194,0.40510907222516734,0.89
8600,רמת גן,2015.0,conviction,out_migration_age_15_29,264,254,True,0.85335573541662,0.5987319977434553,0.5071379797233204,0.94
9100,נהרייה,2008.0,conviction,out_migration_age_15_29,264,256,True,0.3967702419804908,0.02550305920823474,0.04023368851297862,0.48
