target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,out_migration_age_15_29,264,264,True,0.16641690978647264,0.002827545846670472,0.00046698920014920224,0.28
1034,קריית מלאכי,2013.0,conviction,out_migration_age_15_29,264,264,True,0.15026556241954267,0.001858358014793442,0.0003513937722112242,0.22
2630,קריית גת,2009.0,conviction,out_migration_age_15_29,264,264,True,0.020785030179562677,2.6844682701630306e-08,3.142879929244986e-05,0.11
2650,רמת השרון,2003.0,conviction,out_migration_age_15_29,264,264,True,0.05315254331139701,1.728878686254965e-09,1.993476546091647e-06,0.06
2650,רמת השרון,2014.0,conviction,out_migration_age_15_29,264,264,True,0.295006452619914,0.0014823500218305824,0.008232191674690399,0.23
2650,רמת השרון,2013.0,indictment filed,out_migration_age_15_29,264,264,True,0.2691726764886641,0.000723598760312495,0.005322846594752812,0.3
3000,ירושלים,2010.0,arrest,out_migration_age_15_29,264,264,True,0.45391625707999617,0.049171956564264256,0.07186757837857527,0.49
3000,ירושלים,2014.0,conviction,out_migration_age_15_29,264,264,True,0.633503020614809,0.22004812067200236,0.13222979727586592,0.41
3000,ירושלים,2012.0,indictment filed,out_migration_age_15_29,264,264,True,0.6563277603913213,0.267041183914472,0.21775264836078728,0.47
6200,בת ים,2009.0,arrest,out_migration_age_15_29,264,264,True,0.000932172448499676,3.0616889202005784e-18,2.69721642476296e-06,0.07
6200,בת ים,2014.0,conviction,out_migration_age_15_29,264,264,True,0.023145234611343032,5.360004449186632e-09,6.520438987310454e-06,0.14
6200,בת ים,2013.0,indictment filed,out_migration_age_15_29,264,264,True,0.013671246805942512,2.168855957805234e-10,6.572310820324893e-06,0.09
6500,חדרה,2005.0,conviction,out_migration_age_15_29,264,264,True,0.0258911750898314,8.924243386572889e-08,0.0003985249076922091,0.16
6700,טבריה,2007.0,arrest,out_migration_age_15_29,264,264,True,0.0031925967633188567,3.73299729247002e-09,0.00014862595678741584,0.21
6700,טבריה,2015.0,conviction,out_migration_age_15_29,264,264,True,0.028440726719912435,1.049430473172056e-05,0.001681920161840254,0.19
6700,טבריה,2010.0,indictment filed,out_migration_age_15_29,264,264,True,0.006019525748603306,4.707925183336827e-08,0.0003498355164239122,0.21
6700,טבריה,2011.0,indictment filed,out_migration_age_15_29,264,264,True,0.010552844803409522,3.984166670183001e-07,0.0007245536772237519,0.19
6900,כפר סבא,2017.0,arrest,out_migration_age_15_29,264,264,True,0.16363486228295646,9.242455847927124e-10,6.905377689493284e-07,0.05
6900,כפר סבא,2021.0,conviction,out_migration_age_15_29,264,264,True,0.4520346761598508,0.0013063725768772936,1.6410994233344707e-07,0.04
6900,כפר סבא,2018.0,indictment filed,out_migration_age_15_29,264,264,True,0.209530663023645,4.424995371457633e-08,1.0164504984991103e-06,0.11
7000,לוד,2006.0,arrest,out_migration_age_15_29,264,264,True,0.027758871682987688,3.153786376679482e-08,0.0001687159979925136,0.08
7000,לוד,2010.0,conviction,out_migration_age_15_29,264,264,True,0.018006447548246096,2.9285375386178367e-09,0.00013839817378957325,0.09
7000,לוד,2006.0,indictment filed,out_migration_age_15_29,264,264,True,0.027758871682987688,3.153786376679482e-08,0.0001687159979925136,0.08
7100,אשקלון,2016.0,arrest,out_migration_age_15_29,264,264,True,0.7772158500184979,0.5209148594905291,0.5143201318251565,0.75
7100,אשקלון,2019.0,conviction,out_migration_age_15_29,264,264,True,0.8151695990155627,0.5936347368988408,0.4541674618916679,0.74
7100,אשקלון,2017.0,indictment filed,out_migration_age_15_29,264,264,True,0.7684427929214548,0.5027423311326429,0.45387382096831796,0.77
8000,צפת,2016.0,conviction,out_migration_age_15_29,264,264,True,0.21968029574573616,0.010937866648095668,0.049628857635284435,0.73
8400,רחובות,2008.0,conviction,out_migration_age_15_29,264,264,True,0.07336311363906124,1.081989639328268e-16,1.105693074358405e-06,0.07
8600,רמת גן,2015.0,conviction,out_migration_age_15_29,264,264,True,0.8451976351590638,0.5576992586338128,0.505982878938962,0.94
8600,רמת גן,2013.0,indictment filed,out_migration_age_15_29,264,264,True,0.7793575572852763,0.40140624025395155,0.4134619957676351,0.88
9100,נהרייה,2008.0,conviction,out_migration_age_15_29,264,264,True,0.40187585090561706,0.018064776979878582,0.05004912691071329,0.46
