target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,out_migration_age_15_29,192,186,True,0.2260531423208515,0.0005355295702395645,0.0056171847255247955,0.27
31,אופקים,2013,conviction,out_migration_age_15_29,192,186,True,0.23942580281927778,0.0007282972703873641,0.005630717030641198,0.27
1031,שדרות,2009,conviction,out_migration_age_15_29,192,184,True,0.9904875537901355,0.9734764271681926,0.9786281290495792,1.0
587,סביון,2003,conviction,out_migration_age_15_29,264,263,False,,,,
587,סביון,2013,indictment filed,out_migration_age_15_29,264,263,True,0.8998850400241862,0.7612061572463529,0.7398553340380557,0.79
587,סביון,2014,conviction,out_migration_age_15_29,264,263,True,0.9449146688251521,0.8844356456537599,0.8565544919915049,0.89
70,אשדוד,2010,arrest,out_migration_age_15_29,264,253,True,0.17454592611356815,6.919610815094117e-07,0.0010443899851077824,0.26
70,אשדוד,2012,indictment filed,out_migration_age_15_29,264,253,True,0.2042273665977131,3.4784664289055113e-06,0.0007939312424577028,0.25
70,אשדוד,2014,conviction,out_migration_age_15_29,264,253,True,0.2974521949832042,0.0001506948772861854,0.0011280908441959326,0.28
9600,קריית ים,2009,arrest,out_migration_age_15_29,216,208,True,0.09058709579758435,1.3712189666884442e-07,0.0010077981682249384,0.05
9600,קריית ים,2013,indictment filed,out_migration_age_15_29,216,208,True,0.31898658367136795,0.0022722955636592756,0.006189472798108842,0.27
9600,קריית ים,2014,conviction,out_migration_age_15_29,216,208,True,0.37270157846236185,0.006133924277210602,0.007726323272771567,0.33
7700,עפולה,2005,conviction,out_migration_age_15_29,168,162,True,0.9063026589058174,0.5658936667509835,0.8690531504412824,1.0
9200,בית שאן,2007,arrest,out_migration_age_15_29,192,187,True,0.4532184622867148,0.021757037622711587,0.0498520844572592,0.36
9200,בית שאן,2010,indictment filed,out_migration_age_15_29,192,187,True,0.326408911534977,0.00434451084589705,0.022596294347078154,0.32
9200,בית שאן,2011,indictment filed,out_migration_age_15_29,192,187,True,0.2892257611754406,0.0022890468403983346,0.015128219725222406,0.47
9200,בית שאן,2015,conviction,out_migration_age_15_29,192,187,True,0.2405550583843633,0.000920899527389579,0.003260349519563959,0.22
9700,הוד השרון,2017,arrest,out_migration_age_15_29,216,212,True,0.5524146615425106,0.007676898343750884,0.038679475628961596,0.42
9700,הוד השרון,2018,indictment filed,out_migration_age_15_29,216,212,True,0.5604786503697038,0.009438230983637831,0.036828940208089904,0.42
9700,הוד השרון,2021,conviction,out_migration_age_15_29,216,212,True,0.7299007560788628,0.12899716053868604,0.02056141906170621,0.45
8500,רמלה,2006,arrest,out_migration_age_15_29,240,230,True,0.8974509576351044,0.6729622904012642,0.7513405534826799,0.82
8500,רמלה,2006,indictment filed,out_migration_age_15_29,240,230,True,0.8974509576351044,0.6729622904012642,0.7513405534826799,0.84
8500,רמלה,2010,conviction,out_migration_age_15_29,240,230,True,0.7165903381013147,0.23412131743513165,0.3296343400789439,0.55
7800,פרדס חנה-כרכור,2016,arrest,out_migration_age_15_29,168,165,True,0.4728001584682501,0.09964475276984214,0.20380111561198047,0.62
7800,פרדס חנה-כרכור,2017,indictment filed,out_migration_age_15_29,168,165,True,0.5791886244468969,0.21032596098520542,0.29207582693428674,0.78
7800,פרדס חנה-כרכור,2019,conviction,out_migration_age_15_29,168,165,True,0.7126574072499083,0.4090896848931951,0.4239578637214319,0.62
3660,עמנואל,2016,conviction,out_migration_age_15_29,240,238,True,0.10271962524578948,0.010195774509284718,0.05535738047245422,0.41
7200,נס ציונה,2008,conviction,out_migration_age_15_29,192,188,True,0.38007959384537005,0.13625624276008136,0.2497186868093336,0.48
8700,רעננה,2013,indictment filed,out_migration_age_15_29,216,209,True,0.8547260833442826,0.5238367906915198,0.48144312386434984,0.9
8700,רעננה,2015,conviction,out_migration_age_15_29,216,209,True,0.7521395522838783,0.23173860621874223,0.2357299542047146,0.74
2800,קריית שמונה,2008,conviction,out_migration_age_15_29,216,210,True,0.7804811260916155,0.1197511363993616,0.24651362611065614,0.36
