target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,out_migration_age_15_29,192,192,True,0.20817549506843042,0.00026287661607498367,0.005398579665657121,0.18
31,אופקים,2013,conviction,out_migration_age_15_29,192,192,True,0.22139849265382813,0.0003860356756005873,0.005444364650913944,0.38
1031,שדרות,2009,conviction,out_migration_age_15_29,192,192,True,0.9968158756796103,0.9913470868345106,0.9933374114139186,1.0
587,סביון,2003,conviction,out_migration_age_15_29,264,264,True,0.9054399671144695,0.7316220047312091,0.6694514056657581,0.8
587,סביון,2014,conviction,out_migration_age_15_29,264,264,True,0.9664176663042116,0.902965051056871,0.911219026930747,0.92
587,סביון,2013,indictment filed,out_migration_age_15_29,264,264,True,0.923594430869046,0.7812065453669393,0.7980236550082181,0.92
70,אשדוד,2010,arrest,out_migration_age_15_29,264,264,True,0.15536020983277438,2.911489790823329e-07,0.0010317305067948466,0.28
70,אשדוד,2014,conviction,out_migration_age_15_29,264,264,True,0.27393640003939085,8.484451628937088e-05,0.0010971787623009232,0.28
70,אשדוד,2012,indictment filed,out_migration_age_15_29,264,264,True,0.18487252890874012,1.7089832527418623e-06,0.0007942355133544185,0.23
9600,קריית ים,2009,arrest,out_migration_age_15_29,216,216,True,0.07923396488992382,3.278706898768474e-08,0.0007545451310497101,0.07
9600,קריית ים,2014,conviction,out_migration_age_15_29,216,216,True,0.34210241406203024,0.0029499835700334256,0.00546714085499792,0.29
9600,קריית ים,2013,indictment filed,out_migration_age_15_29,216,216,True,0.2897022856871295,0.0009674005315282009,0.004331518534218839,0.26
7700,עפולה,2005,conviction,out_migration_age_15_29,168,168,True,0.7565305393316,0.4910288113752087,0.6635793223816657,1.0
9200,בית שאן,2007,arrest,out_migration_age_15_29,192,192,True,0.3842654679745078,0.019630807001994134,0.047193837102971065,0.29
9200,בית שאן,2015,conviction,out_migration_age_15_29,192,192,True,0.2252646032761221,0.0009791621596375887,0.004163465058318009,0.29
9200,בית שאן,2010,indictment filed,out_migration_age_15_29,192,192,True,0.28689824134061853,0.004218405890701876,0.023542644621015088,0.38
9200,בית שאן,2011,indictment filed,out_migration_age_15_29,192,192,True,0.25764280911417964,0.0022884013955976213,0.016574330837760793,0.41
9700,הוד השרון,2017,arrest,out_migration_age_15_29,216,216,True,0.5335349681149846,0.008313758329666967,0.03720980923519322,0.52
9700,הוד השרון,2021,conviction,out_migration_age_15_29,216,216,True,0.72092244914883,0.13181807962783895,0.01853882165158088,0.31
9700,הוד השרון,2018,indictment filed,out_migration_age_15_29,216,216,True,0.5439707753637153,0.010138233780947952,0.0352388156526144,0.44
8500,רמלה,2006,arrest,out_migration_age_15_29,240,240,True,0.9132087693209441,0.726138704688937,0.8006349349645335,0.91
8500,רמלה,2010,conviction,out_migration_age_15_29,240,240,True,0.7347978110128149,0.27575422571914754,0.38645663104141026,0.57
8500,רמלה,2006,indictment filed,out_migration_age_15_29,240,240,True,0.9132087693209441,0.726138704688937,0.8006349349645335,0.9
7800,פרדס חנה-כרכור,2016,arrest,out_migration_age_15_29,168,168,True,0.5314235314291089,0.1328210056525561,0.27551416840294896,0.51
7800,פרדס חנה-כרכור,2019,conviction,out_migration_age_15_29,168,168,True,0.7558310903327528,0.45707386187572874,0.5055535972579178,0.79
7800,פרדס חנה-כרכור,2017,indictment filed,out_migration_age_15_29,168,168,True,0.6353348416839156,0.25632146381014115,0.3747957919356362,0.77
3660,עמנואל,2016,conviction,out_migration_age_15_29,240,240,True,0.10476665555105724,0.009990659947789103,0.05766451882333545,0.54
7200,נס ציונה,2008,conviction,out_migration_age_15_29,192,192,True,0.37200894563920683,0.12220555068937132,0.27003880383117435,0.51
8700,רעננה,2015,conviction,out_migration_age_15_29,216,216,True,0.7727995793801405,0.2412405513804096,0.2936735126900998,0.79
8700,רעננה,2013,indictment filed,out_migration_age_15_29,216,216,True,0.8793115445919941,0.5388291015923397,0.5771775444067505,1.0
2800,קריית שמונה,2008,conviction,out_migration_age_15_29,216,216,True,0.6810744652283989,0.08949705248257155,0.13936540923496898,0.48
