target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,special_budget_expenditures,264,225,0.22387629986730448,0.07996081447448035,,0.79
1034,קריית מלאכי,2013.0,conviction,special_budget_expenditures,264,225,0.2259566722407563,0.0861738482882925,,0.74
2630,קריית גת,2009.0,conviction,special_budget_expenditures,264,228,0.003000920926514617,2.4526088680625843e-05,,0.12
2650,רמת השרון,2003.0,conviction,special_budget_expenditures,264,210,0.09938489895416414,0.012378754937952395,,0.08
2650,רמת השרון,2013.0,indictment filed,special_budget_expenditures,264,210,0.49926474874585614,0.2699805293016917,,0.17
2650,רמת השרון,2014.0,conviction,special_budget_expenditures,264,210,0.4850199437314655,0.24769127313713052,,0.3
3000,ירושלים,2010.0,arrest,special_budget_expenditures,264,230,1.7560804649198163e-09,1.939746139568244e-15,,0.09
3000,ירושלים,2012.0,indictment filed,special_budget_expenditures,264,230,2.9645177775558042e-12,2.2913045602004447e-20,,0.13
3000,ירושלים,2014.0,conviction,special_budget_expenditures,264,230,4.614711984921131e-14,3.0262659944288492e-24,,0.1
6200,בת ים,2009.0,arrest,special_budget_expenditures,264,227,0.46357354546073737,0.35217446202546243,,0.74
6200,בת ים,2013.0,indictment filed,special_budget_expenditures,264,227,0.8012524032594461,0.6017687131351686,,1.0
6200,בת ים,2014.0,conviction,special_budget_expenditures,264,227,0.8919408512946261,0.737527890760854,,1.0
6500,חדרה,2005.0,conviction,special_budget_expenditures,264,225,0.0067202436876407975,0.00028384296668773666,,0.19
6700,טבריה,2007.0,arrest,special_budget_expenditures,264,225,0.5135947720525806,0.29454111512449455,,0.82
6700,טבריה,2010.0,indictment filed,special_budget_expenditures,264,225,0.31910551517772834,0.1297646143768387,,0.64
6700,טבריה,2011.0,indictment filed,special_budget_expenditures,264,225,0.2783391280320172,0.10634710282965375,,0.64
6700,טבריה,2015.0,conviction,special_budget_expenditures,264,225,0.01242154578781558,0.000742023189344197,,0.66
6900,כפר סבא,2017.0,arrest,special_budget_expenditures,264,223,0.10327522996081394,0.0007732842852974903,,0.25
6900,כפר סבא,2018.0,indictment filed,special_budget_expenditures,264,223,0.11017110596369323,0.0010302070784812306,,0.3
6900,כפר סבא,2021.0,conviction,special_budget_expenditures,264,223,0.2107770059426367,0.012083985291980397,,0.25
7000,לוד,2006.0,arrest,special_budget_expenditures,264,228,0.23530129558872745,0.09725331454370993,,0.44
7000,לוד,2006.0,indictment filed,special_budget_expenditures,264,228,0.23530129558872745,0.09725331454370993,,0.37
7000,לוד,2010.0,conviction,special_budget_expenditures,264,228,0.2205828903246592,0.10419934409010381,,0.36
7100,אשקלון,2016.0,arrest,special_budget_expenditures,264,229,0.0007840378292590977,1.5921386178034143e-05,,0.24
7100,אשקלון,2017.0,indictment filed,special_budget_expenditures,264,229,0.0003434594924426176,3.3681206063400604e-06,,0.14
7100,אשקלון,2019.0,conviction,special_budget_expenditures,264,229,0.0009490612622117502,3.0020601340821444e-06,,0.09
8000,צפת,2016.0,conviction,special_budget_expenditures,264,211,0.4025926376592157,0.16728336547269387,,0.9
8400,רחובות,2008.0,conviction,special_budget_expenditures,264,221,0.003992307811932116,5.642560041366738e-06,,0.07
8600,רמת גן,2013.0,indictment filed,special_budget_expenditures,264,229,0.0013401452708200884,3.9413902168963686e-07,,0.09
8600,רמת גן,2015.0,conviction,special_budget_expenditures,264,229,0.0007290084865162851,1.0088197802094823e-07,,0.07
9100,נהרייה,2008.0,conviction,special_budget_expenditures,264,225,0.5875001523971171,0.40089216218647594,,0.55
