target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data
31,אופקים,2012,arrest,start_drainage_pipes_km,192,36,False
31,אופקים,2013,conviction,start_drainage_pipes_km,192,36,False
1031,שדרות,2009,conviction,start_drainage_pipes_km,192,48,False
587,סביון,2003,conviction,start_drainage_pipes_km,264,26,False
587,סביון,2013,indictment filed,start_drainage_pipes_km,264,26,False
587,סביון,2014,conviction,start_drainage_pipes_km,264,26,False
70,אשדוד,2010,arrest,start_drainage_pipes_km,264,123,False
70,אשדוד,2012,indictment filed,start_drainage_pipes_km,264,123,False
70,אשדוד,2014,conviction,start_drainage_pipes_km,264,123,False
9600,קריית ים,2009,arrest,start_drainage_pipes_km,216,54,False
9600,קריית ים,2013,indictment filed,start_drainage_pipes_km,216,54,False
9600,קריית ים,2014,conviction,start_drainage_pipes_km,216,54,False
7700,עפולה,2005,conviction,start_drainage_pipes_km,168,46,False
9200,בית שאן,2007,arrest,start_drainage_pipes_km,192,43,False
9200,בית שאן,2010,indictment filed,start_drainage_pipes_km,192,43,False
9200,בית שאן,2011,indictment filed,start_drainage_pipes_km,192,43,False
9200,בית שאן,2015,conviction,start_drainage_pipes_km,192,43,False
9700,הוד השרון,2017,arrest,start_drainage_pipes_km,216,57,False
9700,הוד השרון,2018,indictment filed,start_drainage_pipes_km,216,57,False
9700,הוד השרון,2021,conviction,start_drainage_pipes_km,216,57,False
8500,רמלה,2006,arrest,start_drainage_pipes_km,240,74,False
8500,רמלה,2006,indictment filed,start_drainage_pipes_km,240,74,False
8500,רמלה,2010,conviction,start_drainage_pipes_km,240,74,False
7800,פרדס חנה-כרכור,2016,arrest,start_drainage_pipes_km,168,39,False
7800,פרדס חנה-כרכור,2017,indictment filed,start_drainage_pipes_km,168,39,False
7800,פרדס חנה-כרכור,2019,conviction,start_drainage_pipes_km,168,39,False
3660,עמנואל,2016,conviction,start_drainage_pipes_km,240,20,False
7200,נס ציונה,2008,conviction,start_drainage_pipes_km,192,52,False
8700,רעננה,2013,indictment filed,start_drainage_pipes_km,216,69,False
8700,רעננה,2015,conviction,start_drainage_pipes_km,216,69,False
2800,קריית שמונה,2008,conviction,start_drainage_pipes_km,216,44,False
