target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,start_roads_area_sqm,264,98,0.8344709227422913,0.8382452311479408,,0.81
1034,קריית מלאכי,2013.0,conviction,start_roads_area_sqm,264,98,0.7839459111574888,0.8382452311479398,,0.83
2630,קריית גת,2009.0,conviction,start_roads_area_sqm,264,134,0.7237405332312841,0.9559775268486854,,0.75
2650,רמת השרון,2003.0,conviction,start_roads_area_sqm,264,40,0.17721554788688576,0.7677214601803617,,0.09
2650,רמת השרון,2013.0,indictment filed,start_roads_area_sqm,264,40,0.10074184470169183,0.44218437418545997,,0.11
2650,רמת השרון,2014.0,conviction,start_roads_area_sqm,264,40,0.16030285475388942,0.5881166680099641,,0.1
3000,ירושלים,2010.0,arrest,start_roads_area_sqm,264,198,0.70102681349034,0.6526816073193524,,0.8
3000,ירושלים,2012.0,indictment filed,start_roads_area_sqm,264,198,0.33208749398680426,0.2778192097626144,,0.26
3000,ירושלים,2014.0,conviction,start_roads_area_sqm,264,198,0.18065752811496202,0.10763813615945667,,0.33
6200,בת ים,2009.0,arrest,start_roads_area_sqm,264,127,0.05037234789774019,0.10421812814529588,,0.12
6200,בת ים,2013.0,indictment filed,start_roads_area_sqm,264,127,0.875572508825832,0.9348708905208412,,1.0
6200,בת ים,2014.0,conviction,start_roads_area_sqm,264,127,0.9218640334266545,0.9348708905208378,,0.91
6500,חדרה,2005.0,conviction,start_roads_area_sqm,264,131,0.9210632758999746,0.622231866664346,,0.94
6700,טבריה,2007.0,arrest,start_roads_area_sqm,264,125,0.09877693709544584,0.24950254423117998,,0.31
6700,טבריה,2010.0,indictment filed,start_roads_area_sqm,264,125,0.18019669617057124,0.2495025442311796,,0.36
6700,טבריה,2011.0,indictment filed,start_roads_area_sqm,264,125,0.16534580572144517,0.24950254423117948,,0.2
6700,טבריה,2015.0,conviction,start_roads_area_sqm,264,125,0.1744088863004668,0.35072261145230754,,0.62
6900,כפר סבא,2017.0,arrest,start_roads_area_sqm,264,126,0.29914513530865033,0.22580945416924728,,0.52
6900,כפר סבא,2018.0,indictment filed,start_roads_area_sqm,264,126,0.8392739972537041,0.9111128877837779,,0.73
6900,כפר סבא,2021.0,conviction,start_roads_area_sqm,264,126,,,,1.0
7000,לוד,2006.0,arrest,start_roads_area_sqm,264,137,0.5026434313008417,0.6804741525776559,,0.63
7000,לוד,2006.0,indictment filed,start_roads_area_sqm,264,137,0.5026434313008417,0.6804741525776559,,0.7
7000,לוד,2010.0,conviction,start_roads_area_sqm,264,137,0.5270082085273049,0.5673028950744383,,0.79
7100,אשקלון,2016.0,arrest,start_roads_area_sqm,264,154,1.0088489262330332e-08,6.872696037542373e-08,,0.14
7100,אשקלון,2017.0,indictment filed,start_roads_area_sqm,264,154,1.7007373593706442e-12,1.0356758696186544e-11,,0.1
7100,אשקלון,2019.0,conviction,start_roads_area_sqm,264,154,8.599823236016716e-05,0.0001870947488432393,,0.06
8000,צפת,2016.0,conviction,start_roads_area_sqm,264,66,0.2847478604647187,0.44922969578412264,,0.18
8400,רחובות,2008.0,conviction,start_roads_area_sqm,264,112,0.8080228468090823,0.9746950281102215,,0.89
8600,רמת גן,2013.0,indictment filed,start_roads_area_sqm,264,154,0.26444719863315835,0.23101340073220175,,0.49
8600,רמת גן,2015.0,conviction,start_roads_area_sqm,264,154,0.02300508628925998,0.018904821079428345,,0.11
9100,נהרייה,2008.0,conviction,start_roads_area_sqm,264,122,0.4618826197428414,0.32586628709682497,,0.41
