target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,start_roads_area_sqm,192,144,False,,,,
31,אופקים,2013,conviction,start_roads_area_sqm,192,144,False,,,,
1031,שדרות,2009,conviction,start_roads_area_sqm,192,192,True,0.2617580506845973,0.24859597707899508,0.014905218425163692,0.18
587,סביון,2003,conviction,start_roads_area_sqm,264,168,False,,,,
587,סביון,2014,conviction,start_roads_area_sqm,264,168,False,,,,
587,סביון,2013,indictment filed,start_roads_area_sqm,264,168,False,,,,
70,אשדוד,2010,arrest,start_roads_area_sqm,264,264,True,0.09962918749685679,0.04839221787281867,0.0010040992003214986,0.38
70,אשדוד,2014,conviction,start_roads_area_sqm,264,264,True,0.022699309171971205,0.006164256162475384,3.159890637347955e-05,0.1
70,אשדוד,2012,indictment filed,start_roads_area_sqm,264,264,True,0.04994745740745831,0.018580048186591126,1.4569701316796614e-05,0.08
9600,קריית ים,2009,arrest,start_roads_area_sqm,216,216,True,0.489409226251325,0.479944638498513,0.24381451077091662,0.58
9600,קריית ים,2014,conviction,start_roads_area_sqm,216,216,True,0.2595808962524939,0.24872940773804475,0.2624131221826538,0.68
9600,קריית ים,2013,indictment filed,start_roads_area_sqm,216,216,True,0.45438127798411543,0.44327166816617203,0.41056368401705123,0.67
7700,עפולה,2005,conviction,start_roads_area_sqm,168,168,True,0.07551073536403313,0.07862546590517815,0.0010631088071449053,0.09
9200,בית שאן,2007,arrest,start_roads_area_sqm,192,144,False,,,,
9200,בית שאן,2015,conviction,start_roads_area_sqm,192,144,False,,,,
9200,בית שאן,2010,indictment filed,start_roads_area_sqm,192,144,False,,,,
9200,בית שאן,2011,indictment filed,start_roads_area_sqm,192,144,False,,,,
9700,הוד השרון,2017,arrest,start_roads_area_sqm,216,192,False,,,,
9700,הוד השרון,2021,conviction,start_roads_area_sqm,216,192,False,,,,
9700,הוד השרון,2018,indictment filed,start_roads_area_sqm,216,192,False,,,,
8500,רמלה,2006,arrest,start_roads_area_sqm,240,240,True,0.8541925647867131,0.8502881502162596,0.7351986088330438,1.0
8500,רמלה,2010,conviction,start_roads_area_sqm,240,240,True,0.5648861318938163,0.553810432597701,0.14367409499154088,0.51
8500,רמלה,2006,indictment filed,start_roads_area_sqm,240,240,True,0.8541925647867131,0.8502881502162596,0.7351986088330438,1.0
7800,פרדס חנה-כרכור,2016,arrest,start_roads_area_sqm,168,168,True,0.7279977653942582,0.7140636270270824,0.510797138401418,1.0
7800,פרדס חנה-כרכור,2019,conviction,start_roads_area_sqm,168,168,True,0.7903628846229579,0.7801599466202485,0.4059697131464054,0.58
7800,פרדס חנה-כרכור,2017,indictment filed,start_roads_area_sqm,168,168,True,0.7148758373216259,0.7003209722754804,0.4975710067814926,0.77
3660,עמנואל,2016,conviction,start_roads_area_sqm,240,192,False,,,,
7200,נס ציונה,2008,conviction,start_roads_area_sqm,192,168,False,,,,
8700,רעננה,2015,conviction,start_roads_area_sqm,216,192,False,,,,
8700,רעננה,2013,indictment filed,start_roads_area_sqm,216,192,False,,,,
2800,קריית שמונה,2008,conviction,start_roads_area_sqm,216,168,False,,,,
