target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,start_roads_length_km,192,144,False,,,,
31,אופקים,2013,conviction,start_roads_length_km,192,144,False,,,,
1031,שדרות,2009,conviction,start_roads_length_km,192,192,True,0.43388341070503833,0.4111094759106583,0.04320316223957226,0.71
587,סביון,2003,conviction,start_roads_length_km,264,168,False,,,,
587,סביון,2014,conviction,start_roads_length_km,264,168,False,,,,
587,סביון,2013,indictment filed,start_roads_length_km,264,168,False,,,,
70,אשדוד,2010,arrest,start_roads_length_km,264,264,True,0.37048760868934905,0.28990291395073253,0.05643398002537575,0.69
70,אשדוד,2014,conviction,start_roads_length_km,264,264,True,0.27298263983858667,0.19518334763309803,0.016031677297219663,0.68
70,אשדוד,2012,indictment filed,start_roads_length_km,264,264,True,0.24476354785410245,0.1692597923261429,0.004805494702647188,0.51
9600,קריית ים,2009,arrest,start_roads_length_km,216,216,True,0.44859609210715257,0.4242183144780962,0.29033093756138634,0.42
9600,קריית ים,2014,conviction,start_roads_length_km,216,216,True,0.21898421565646534,0.19638733787885643,0.29347414710865277,0.47
9600,קריית ים,2013,indictment filed,start_roads_length_km,216,216,True,0.3722878876681278,0.34735740492013956,0.4019403355032162,0.63
7700,עפולה,2005,conviction,start_roads_length_km,168,168,True,0.29004524617616345,0.2723276527742474,0.09140980832810552,0.53
9200,בית שאן,2007,arrest,start_roads_length_km,192,144,False,,,,
9200,בית שאן,2015,conviction,start_roads_length_km,192,144,False,,,,
9200,בית שאן,2010,indictment filed,start_roads_length_km,192,144,False,,,,
9200,בית שאן,2011,indictment filed,start_roads_length_km,192,144,False,,,,
9700,הוד השרון,2017,arrest,start_roads_length_km,216,192,False,,,,
9700,הוד השרון,2021,conviction,start_roads_length_km,216,192,False,,,,
9700,הוד השרון,2018,indictment filed,start_roads_length_km,216,192,False,,,,
8500,רמלה,2006,arrest,start_roads_length_km,240,240,True,0.9046889003488698,0.8980938450915767,0.8386671054966987,1.0
8500,רמלה,2010,conviction,start_roads_length_km,240,240,True,0.27991244949951155,0.25059621524646297,0.0047947102312711634,0.26
8500,רמלה,2006,indictment filed,start_roads_length_km,240,240,True,0.9046889003488698,0.8980938450915767,0.8386671054966987,1.0
7800,פרדס חנה-כרכור,2016,arrest,start_roads_length_km,168,168,True,0.5758751596286089,0.5523125338176952,0.2794217834059331,0.74
7800,פרדס חנה-כרכור,2019,conviction,start_roads_length_km,168,168,True,0.9680747365808035,0.9662235526363825,0.8975907928824799,0.86
7800,פרדס חנה-כרכור,2017,indictment filed,start_roads_length_km,168,168,True,0.6007850211428813,0.5783436720488515,0.2312293667094377,0.44
3660,עמנואל,2016,conviction,start_roads_length_km,240,192,False,,,,
7200,נס ציונה,2008,conviction,start_roads_length_km,192,168,False,,,,
8700,רעננה,2015,conviction,start_roads_length_km,216,192,False,,,,
8700,רעננה,2013,indictment filed,start_roads_length_km,216,192,False,,,,
2800,קריית שמונה,2008,conviction,start_roads_length_km,216,168,False,,,,
