target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,start_sewage_pipes_km,264,77,0.9263413111003137,0.6762773725005429,,0.79
1034,קריית מלאכי,2013.0,conviction,start_sewage_pipes_km,264,77,0.9220443124585841,0.5806329080344658,,0.76
2630,קריית גת,2009.0,conviction,start_sewage_pipes_km,264,96,0.5787544221058409,0.9427170121978206,,0.48
2650,רמת השרון,2003.0,conviction,start_sewage_pipes_km,264,39,0.9765198559313347,0.616001720177459,,0.61
2650,רמת השרון,2013.0,indictment filed,start_sewage_pipes_km,264,39,0.08910666414283824,0.12750841483729847,,0.1
2650,רמת השרון,2014.0,conviction,start_sewage_pipes_km,264,39,0.01903904709877781,0.018461434740976675,,0.08
3000,ירושלים,2010.0,arrest,start_sewage_pipes_km,264,194,0.22256808367426714,0.22504980159990856,,0.28
3000,ירושלים,2012.0,indictment filed,start_sewage_pipes_km,264,194,0.9646462206091516,0.9266751825290147,,1.0
3000,ירושלים,2014.0,conviction,start_sewage_pipes_km,264,194,0.38986813155476274,0.4731312203358212,,0.23
6200,בת ים,2009.0,arrest,start_sewage_pipes_km,264,97,0.2963389667115415,0.0760669461923496,,0.36
6200,בת ים,2013.0,indictment filed,start_sewage_pipes_km,264,97,0.17654726791375538,0.053227762140816086,,0.32
6200,בת ים,2014.0,conviction,start_sewage_pipes_km,264,97,0.22012762916398554,0.053227762140816655,,0.26
6500,חדרה,2005.0,conviction,start_sewage_pipes_km,264,118,0.27464857154071176,0.3769126930721607,,0.28
6700,טבריה,2007.0,arrest,start_sewage_pipes_km,264,111,0.508180951309664,0.41865524928575704,,0.21
6700,טבריה,2010.0,indictment filed,start_sewage_pipes_km,264,111,0.6522262541964252,0.4186552492857559,,0.69
6700,טבריה,2011.0,indictment filed,start_sewage_pipes_km,264,111,0.5547831408519768,0.41865524928575637,,0.31
6700,טבריה,2015.0,conviction,start_sewage_pipes_km,264,111,0.07827776134877061,0.14327272812442265,,0.19
6900,כפר סבא,2017.0,arrest,start_sewage_pipes_km,264,117,0.3345770442688335,0.3443456355265718,,0.42
6900,כפר סבא,2018.0,indictment filed,start_sewage_pipes_km,264,117,0.3152183586939019,0.2912910189631749,,0.24
6900,כפר סבא,2021.0,conviction,start_sewage_pipes_km,264,117,,,,1.0
7000,לוד,2006.0,arrest,start_sewage_pipes_km,264,113,0.6473191845022872,0.19375292989938916,,0.53
7000,לוד,2006.0,indictment filed,start_sewage_pipes_km,264,113,0.6473191845022872,0.19375292989938916,,0.4
7000,לוד,2010.0,conviction,start_sewage_pipes_km,264,113,0.6383004180567512,0.2513952624841001,,0.51
7100,אשקלון,2016.0,arrest,start_sewage_pipes_km,264,129,7.309762160461756e-05,0.00010427307658947497,,0.11
7100,אשקלון,2017.0,indictment filed,start_sewage_pipes_km,264,129,1.4355775920512007e-06,2.652503580259659e-06,,0.13
7100,אשקלון,2019.0,conviction,start_sewage_pipes_km,264,129,0.7771183218506954,0.7482287766482435,,0.79
8000,צפת,2016.0,conviction,start_sewage_pipes_km,264,71,0.44815288951117227,0.423749730817082,,0.26
8400,רחובות,2008.0,conviction,start_sewage_pipes_km,264,110,0.8644835657265652,0.9440891007560933,,0.79
8600,רמת גן,2013.0,indictment filed,start_sewage_pipes_km,264,127,0.08726527512450766,0.11146420057459201,,0.17
8600,רמת גן,2015.0,conviction,start_sewage_pipes_km,264,127,0.6073618377192921,0.6855838809127768,,0.82
9100,נהרייה,2008.0,conviction,start_sewage_pipes_km,264,110,0.5541173152979715,0.3687573299737309,,0.23
