auth_id,auth_name,treatment_year,incident_type,column,before_after_diff
6,F,2001.0,conviction,metric1,10.0
6,F,2001.0,conviction,metric2,10.0
2,B,2001.0,conviction,metric1,3.0
2,B,2001.0,conviction,metric2,60.0
4,D,2001.0,conviction,metric1,5.0
4,D,2001.0,conviction,metric2,50.0
7,G,2001.0,arrest,metric1,4.0
7,G,2001.0,arrest,metric2,50.0
4,D,2001.0,arrest,metric1,5.0
4,D,2001.0,arrest,metric2,50.0
5,E,2001.0,arrest,metric1,11.0
5,E,2001.0,arrest,metric2,40.0
7,G,2001.0,conviction,metric1,2.0
7,G,2001.0,conviction,metric2,30.0
4,D,2001.0,conviction,metric1,5.0
4,D,2001.0,conviction,metric2,50.0
5,E,2001.0,conviction,metric1,11.0
5,E,2001.0,conviction,metric2,40.0
7,G,2003.0,conviction,metric1,2.0
7,G,2003.0,conviction,metric2,50.0
4,D,2003.0,conviction,metric1,1.0
4,D,2003.0,conviction,metric2,20.0
5,E,2003.0,conviction,metric1,3.0
5,E,2003.0,conviction,metric2,10.0
