target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,total_expenditures,264,264,True,0.5914880220266377,0.3375801623898459,0.33040250153041384,0.94
1034,קריית מלאכי,2013.0,conviction,total_expenditures,264,264,True,0.5846049507198732,0.33201664511233153,0.3430061952817802,0.82
2630,קריית גת,2009.0,conviction,total_expenditures,264,264,True,0.00025959320319678174,3.84592200152707e-12,1.1283118018746172e-06,0.09
2650,רמת השרון,2003.0,conviction,total_expenditures,264,264,True,0.009776285128249866,1.2673570859675041e-09,1.598869631527188e-05,0.16
2650,רמת השרון,2014.0,conviction,total_expenditures,264,264,True,0.023170292632474585,1.683956962090152e-07,0.0002045059768650601,0.2
2650,רמת השרון,2013.0,indictment filed,total_expenditures,264,264,True,0.019673344472500374,7.888148173510286e-08,0.00018958846748485812,0.16
3000,ירושלים,2010.0,arrest,total_expenditures,264,264,True,6.206941631507611e-07,5.713649088909151e-24,3.648677031300735e-08,0.08
3000,ירושלים,2014.0,conviction,total_expenditures,264,264,True,2.9586009551336304e-08,1.1570241872041266e-30,3.051023636914102e-08,0.11
3000,ירושלים,2012.0,indictment filed,total_expenditures,264,264,True,7.262578410733615e-08,2.6460839117991422e-28,3.0271791234216036e-08,0.08
6200,בת ים,2009.0,arrest,total_expenditures,264,264,True,0.22027959736529587,0.0001382682373642834,0.006241014980379349,0.33
6200,בת ים,2014.0,conviction,total_expenditures,264,264,True,0.3462676887264775,0.003953518856028472,0.029473873046138858,0.31
6200,בת ים,2013.0,indictment filed,total_expenditures,264,264,True,0.3439700913523318,0.0037750778197951727,0.03301597929343999,0.32
6500,חדרה,2005.0,conviction,total_expenditures,264,264,True,0.0033482009333960423,4.628649804205038e-11,6.637794529281407e-06,0.08
6700,טבריה,2007.0,arrest,total_expenditures,264,264,True,0.6615604713940638,0.44114573724080375,0.36884587307772576,0.88
6700,טבריה,2015.0,conviction,total_expenditures,264,264,True,0.7242370746139779,0.5536240516351185,0.6189041646025575,0.87
6700,טבריה,2010.0,indictment filed,total_expenditures,264,264,True,0.9618102689875119,0.9344414609071724,0.9319115019382148,1.0
6700,טבריה,2011.0,indictment filed,total_expenditures,264,264,True,0.9966533405274628,0.9943082600026848,0.9943814173924227,1.0
6900,כפר סבא,2017.0,arrest,total_expenditures,264,264,True,0.23352244215854806,0.0009297269528466158,0.01421422659179611,0.54
6900,כפר סבא,2021.0,conviction,total_expenditures,264,264,True,0.6350817096363844,0.17569388260075386,0.045565750839536,0.56
6900,כפר סבא,2018.0,indictment filed,total_expenditures,264,264,True,0.2907294514673244,0.0031533876326487976,0.015546691534151119,0.61
7000,לוד,2006.0,arrest,total_expenditures,264,264,True,0.5999802731818873,0.1630142850883015,0.058124616559929995,0.59
7000,לוד,2010.0,conviction,total_expenditures,264,264,True,0.4014385679040643,0.03691520277345769,0.01802107989091154,0.45
7000,לוד,2006.0,indictment filed,total_expenditures,264,264,True,0.5999802731818873,0.1630142850883015,0.058124616559929995,0.69
7100,אשקלון,2016.0,arrest,total_expenditures,264,264,True,1.030593222305043e-08,3.2354498225785036e-27,7.151248526988555e-09,0.08
7100,אשקלון,2019.0,conviction,total_expenditures,264,264,True,7.325553165431438e-07,4.327017417301091e-22,9.942562099563372e-09,0.09
7100,אשקלון,2017.0,indictment filed,total_expenditures,264,264,True,3.3270747114818443e-09,3.9252055073393393e-28,9.382439129427846e-09,0.09
8000,צפת,2016.0,conviction,total_expenditures,264,264,True,0.8754441555399984,0.798940846252528,0.8361325451153871,0.94
8400,רחובות,2008.0,conviction,total_expenditures,264,264,True,0.003371202486104461,1.4307517336664563e-14,1.2367733771178239e-05,0.09
8600,רמת גן,2015.0,conviction,total_expenditures,264,264,True,0.0015667349658764205,1.1478467951053983e-17,3.51946227790038e-06,0.06
8600,רמת גן,2013.0,indictment filed,total_expenditures,264,264,True,0.001550167197805831,1.5611805007918177e-17,5.559658661882232e-06,0.1
9100,נהרייה,2008.0,conviction,total_expenditures,264,264,True,0.17761900884409684,0.0034976181578206503,0.006059077086396118,0.37
