target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,total_expenditures,192,169,True,0.6253780885243785,0.3758738369859167,0.4330719628775269,0.89
31,אופקים,2013,conviction,total_expenditures,192,169,True,0.4882924731361037,0.21307097472842385,0.2891905894299718,0.84
1031,שדרות,2009,conviction,total_expenditures,192,168,False,,,,
587,סביון,2003,conviction,total_expenditures,264,241,False,,,,
587,סביון,2013,indictment filed,total_expenditures,264,241,True,0.49591919019873654,0.0987680610870373,0.14508443345250924,0.77
587,סביון,2014,conviction,total_expenditures,264,241,True,0.48873715185330724,0.08963319072886117,0.13217079308048835,0.78
70,אשדוד,2010,arrest,total_expenditures,264,231,True,0.8317372343457651,0.5350350376481628,0.543942085585247,0.75
70,אשדוד,2012,indictment filed,total_expenditures,264,231,True,0.8018362715912284,0.4649478790536292,0.4993683789287444,0.62
70,אשדוד,2014,conviction,total_expenditures,264,231,True,0.8172223112316146,0.4995857139291604,0.5449481641336416,0.63
9600,קריית ים,2009,arrest,total_expenditures,216,190,False,,,,
9600,קריית ים,2013,indictment filed,total_expenditures,216,190,True,0.6102595125683236,0.2831087976398063,0.2830978612639633,0.73
9600,קריית ים,2014,conviction,total_expenditures,216,190,True,0.5484368583203942,0.202678139251951,0.22397976272457487,0.83
7700,עפולה,2005,conviction,total_expenditures,168,148,True,0.37820617892236486,0.0405012966870495,0.0466997343100934,0.47
9200,בית שאן,2007,arrest,total_expenditures,192,171,False,,,,
9200,בית שאן,2010,indictment filed,total_expenditures,192,171,True,0.22849014106970555,0.008961885145161951,0.040325720896599325,0.6
9200,בית שאן,2011,indictment filed,total_expenditures,192,171,True,0.1811533246147335,0.0036851010057027634,0.0370053454289494,0.57
9200,בית שאן,2015,conviction,total_expenditures,192,171,True,0.0711448909138652,6.206514329181267e-05,0.012024537740631185,0.25
9700,הוד השרון,2017,arrest,total_expenditures,216,194,True,0.3635899540637334,0.008424786435185634,0.0933333534110359,0.88
9700,הוד השרון,2018,indictment filed,total_expenditures,216,194,True,0.3907433866930914,0.012463119081371918,0.081045742652559,0.91
9700,הוד השרון,2021,conviction,total_expenditures,216,194,True,0.6655549416114768,0.20276234230332127,0.12056342954468136,0.75
8500,רמלה,2006,arrest,total_expenditures,240,210,False,,,,
8500,רמלה,2006,indictment filed,total_expenditures,240,210,False,,,,
8500,רמלה,2010,conviction,total_expenditures,240,210,True,0.8112571200994424,0.4547189618929952,0.5203985962570674,0.47
7800,פרדס חנה-כרכור,2016,arrest,total_expenditures,168,151,True,0.8208406360417251,0.7112819341577957,0.7588061189933963,1.0
7800,פרדס חנה-כרכור,2017,indictment filed,total_expenditures,168,151,True,0.7649710007833888,0.5960244163978384,0.7079652517810797,1.0
7800,פרדס חנה-כרכור,2019,conviction,total_expenditures,168,151,True,0.8319243814140719,0.6842008591922757,0.7500659502886492,1.0
3660,עמנואל,2016,conviction,total_expenditures,240,218,True,0.1114679832149936,0.027587468072809738,0.08639962527407918,0.23
7200,נס ציונה,2008,conviction,total_expenditures,192,172,False,,,,
8700,רעננה,2013,indictment filed,total_expenditures,216,191,True,0.05820757833303711,9.332435503034112e-08,0.001414523103881008,0.2
8700,רעננה,2015,conviction,total_expenditures,216,191,True,0.08675912212125217,1.4731917957330252e-06,0.0026520984038167295,0.15
2800,קריית שמונה,2008,conviction,total_expenditures,216,192,False,,,,
