target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,total_expenditures,192,192,True,0.5931260673446928,0.34355869173928943,0.4456376887912167,0.89
31,אופקים,2013,conviction,total_expenditures,192,192,True,0.4578790760410357,0.1912292176289694,0.30980300200164523,0.78
1031,שדרות,2009,conviction,total_expenditures,192,192,True,0.656751931959055,0.3118436894041131,0.3333164645488754,1.0
587,סביון,2003,conviction,total_expenditures,264,264,True,0.7815984150592623,0.4769146192605448,0.3761096045984006,0.78
587,סביון,2014,conviction,total_expenditures,264,264,True,0.4842628796505378,0.0767688241486461,0.13834231607246944,0.73
587,סביון,2013,indictment filed,total_expenditures,264,264,True,0.4933927843402488,0.08428341683480643,0.15184656908360447,0.69
70,אשדוד,2010,arrest,total_expenditures,264,264,True,0.8085325344556532,0.48525079838629226,0.538899505930394,0.78
70,אשדוד,2014,conviction,total_expenditures,264,264,True,0.7965155525253416,0.45707687970516697,0.5410792290751905,0.57
70,אשדוד,2012,indictment filed,total_expenditures,264,264,True,0.7802193944460475,0.4227174852255957,0.500496059537334,0.56
9600,קריית ים,2009,arrest,total_expenditures,216,216,True,0.4007849799350125,0.05092474262767885,0.08825215291224443,0.79
9600,קריית ים,2014,conviction,total_expenditures,216,216,True,0.49254753254954087,0.13072551870177643,0.22626901468099592,0.81
9600,קריית ים,2013,indictment filed,total_expenditures,216,216,True,0.5486402224434059,0.18502114063211242,0.2764302347289414,0.77
7700,עפולה,2005,conviction,total_expenditures,168,168,True,0.3701011794264907,0.04357936867559262,0.055449297142312316,0.57
9200,בית שאן,2007,arrest,total_expenditures,192,192,True,0.4306002289680748,0.0720528528719041,0.11611163723267846,0.64
9200,בית שאן,2015,conviction,total_expenditures,192,192,True,0.06222108271545701,3.0147882352437982e-05,0.016344210376225802,0.2
9200,בית שאן,2010,indictment filed,total_expenditures,192,192,True,0.21239336718971147,0.0053257685840380695,0.05463486518860339,0.6
9200,בית שאן,2011,indictment filed,total_expenditures,192,192,True,0.16688698945949482,0.0021271722057677415,0.049039172419816424,0.58
9700,הוד השרון,2017,arrest,total_expenditures,216,216,True,0.31243455558580485,0.005952734887792713,0.08014383323595262,0.88
9700,הוד השרון,2021,conviction,total_expenditures,216,216,True,0.6288876736824642,0.18085984139649597,0.10336310919594596,0.79
9700,הוד השרון,2018,indictment filed,total_expenditures,216,216,True,0.34065477113369813,0.009098378819728631,0.06982029330280368,0.84
8500,רמלה,2006,arrest,total_expenditures,240,240,True,0.9189276861949502,0.7491345781906196,0.7770665216387863,0.59
8500,רמלה,2010,conviction,total_expenditures,240,240,True,0.7928729851179368,0.4176222528332828,0.5223068184851238,0.52
8500,רמלה,2006,indictment filed,total_expenditures,240,240,True,0.9189276861949502,0.7491345781906196,0.7770665216387863,0.59
7800,פרדס חנה-כרכור,2016,arrest,total_expenditures,168,168,True,0.8327429960563082,0.661391548539255,0.7910600241559893,1.0
7800,פרדס חנה-כרכור,2019,conviction,total_expenditures,168,168,True,0.8324168345380919,0.6480107367518471,0.7674255342131957,1.0
7800,פרדס חנה-כרכור,2017,indictment filed,total_expenditures,168,168,True,0.7721671189058971,0.5524383477296003,0.7355254108665565,1.0
3660,עמנואל,2016,conviction,total_expenditures,240,240,True,0.08654721606326637,0.018862735844896825,0.08615081958904135,0.33
7200,נס ציונה,2008,conviction,total_expenditures,192,192,True,0.33936132991299306,0.09455636349885649,0.19795822326112616,0.76
8700,רעננה,2015,conviction,total_expenditures,216,216,True,0.054248601180542456,1.6832295889658122e-07,0.002451541862879835,0.24
8700,רעננה,2013,indictment filed,total_expenditures,216,216,True,0.03387295204658993,7.574290269606958e-09,0.0013895269753916577,0.19
2800,קריית שמונה,2008,conviction,total_expenditures,216,216,True,0.13908337548404437,0.00010504386633408373,0.0045632862863370345,0.31
