target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
31,אופקים,2012,arrest,total_in_migration,192,192,True,0.2444423348981675,0.06850076139641464,0.12356027470114596,0.65
31,אופקים,2013,conviction,total_in_migration,192,192,True,0.2029020853597194,0.04766149064786297,0.12449500466761841,0.68
1031,שדרות,2009,conviction,total_in_migration,192,192,True,0.6824729897877782,0.5272020860713771,0.5286986131880141,0.88
587,סביון,2003,conviction,total_in_migration,264,264,True,0.9829671514113523,0.957239660047735,0.94582348442746,1.0
587,סביון,2014,conviction,total_in_migration,264,264,True,0.9126276851772486,0.7824881162283203,0.7135370039719435,1.0
587,סביון,2013,indictment filed,total_in_migration,264,264,True,0.9649648595381533,0.9119906385755463,0.8884064590870443,0.91
70,אשדוד,2010,arrest,total_in_migration,264,264,True,0.3234222272685874,3.807996504659126e-07,1.900654741073952e-06,0.08
70,אשדוד,2014,conviction,total_in_migration,264,264,True,0.40415356978235784,2.0881690661586586e-05,1.698899874470815e-05,0.23
70,אשדוד,2012,indictment filed,total_in_migration,264,264,True,0.34738343080063894,1.4413438850896046e-06,2.4577051978823914e-06,0.12
9600,קריית ים,2009,arrest,total_in_migration,216,216,True,0.8738827162260363,0.7692183118934552,0.7769739677730649,1.0
9600,קריית ים,2014,conviction,total_in_migration,216,216,True,0.856435626318871,0.7387327999537356,0.7344405289532481,1.0
9600,קריית ים,2013,indictment filed,total_in_migration,216,216,True,0.7939003338621864,0.6312970586171045,0.6753246206608565,0.73
7700,עפולה,2005,conviction,total_in_migration,168,168,True,0.0012668933759172718,3.289299772002104e-05,0.00032879238144458464,0.15
9200,בית שאן,2007,arrest,total_in_migration,192,192,True,0.4323762332851864,0.18170342547650936,0.16993213268347776,0.49
9200,בית שאן,2015,conviction,total_in_migration,192,192,True,0.326123999476553,0.09826907267823673,0.12636526521368624,0.59
9200,בית שאן,2010,indictment filed,total_in_migration,192,192,True,0.27597651347188756,0.06686073367017725,0.137592186627256,0.64
9200,בית שאן,2011,indictment filed,total_in_migration,192,192,True,0.22387113350112586,0.04206544084325842,0.139085345849358,0.73
9700,הוד השרון,2017,arrest,total_in_migration,216,216,True,0.28569581848036935,0.07657705236289904,0.2036616332398592,0.6
9700,הוד השרון,2021,conviction,total_in_migration,216,216,True,0.43798721465920176,0.19070605970874305,0.0037896120326340044,0.25
9700,הוד השרון,2018,indictment filed,total_in_migration,216,216,True,0.27957502930893113,0.07190081192767793,0.1275735468083832,0.38
8500,רמלה,2006,arrest,total_in_migration,240,240,True,0.8372308381454797,0.4614384149251647,0.3295767503355473,0.81
8500,רמלה,2010,conviction,total_in_migration,240,240,True,0.8638275771036606,0.53877164011633,0.5746870475194401,0.75
8500,רמלה,2006,indictment filed,total_in_migration,240,240,True,0.8372308381454797,0.4614384149251647,0.3295767503355473,0.75
7800,פרדס חנה-כרכור,2016,arrest,total_in_migration,168,168,True,0.6798761375268282,0.6175443600346473,0.7806117998046128,1.0
7800,פרדס חנה-כרכור,2019,conviction,total_in_migration,168,168,True,0.5918758925593752,0.5035627948744966,0.4812514038389786,0.78
7800,פרדס חנה-כרכור,2017,indictment filed,total_in_migration,168,168,True,0.5851800170930956,0.5042977258285143,0.6767462105748903,0.82
3660,עמנואל,2016,conviction,total_in_migration,240,240,True,0.5446696012644296,0.2436479289460162,0.1680480882662427,0.81
7200,נס ציונה,2008,conviction,total_in_migration,192,192,True,0.8981609559956985,0.8545346060770119,0.8549175836274261,0.78
8700,רעננה,2015,conviction,total_in_migration,216,216,True,0.39719656024403915,0.14190082891501288,0.2787985177005563,0.58
8700,רעננה,2013,indictment filed,total_in_migration,216,216,True,0.29138428833236574,0.06489337983197865,0.1256351233823421,0.66
2800,קריית שמונה,2008,conviction,total_in_migration,216,216,True,0.4201343543544086,0.10128471718832778,0.07474888898124835,0.4
