control_id,control_name,target_id,k,is_nn
26,ראש פינה,1034,3,False
28,מזכרת בתיה,1034,3,False
29,יסוד המעלה,1034,3,False
31,אופקים,1034,3,True
41,אליכין,1034,3,False
43,מטולה,1034,3,False
46,יבנאל,1034,3,False
47,כפר תבור,1034,3,False
65,מגדל,1034,3,False
70,אשדוד,1034,3,False
99,מצפה רמון,1034,3,False
122,רמת ישי,1034,3,False
154,תל מונד,1034,3,False
166,גן יבנה,1034,3,False
168,כפר יונה,1034,3,False
171,פרדסייה,1034,3,False
182,אבן יהודה,1034,3,False
195,קדימה-צורן,1034,3,False
229,גני תקווה,1034,3,False
240,יקנעם עילית,1034,3,False
246,נתיבות,1034,3,True
267,כפר שמריהו,1034,3,False
466,בית דגן,1034,3,False
469,קריית עקרון,1034,3,False
565,אזור,1034,3,False
587,סביון,1034,3,False
666,עומר,1034,3,False
681,גבעת שמואל,1034,3,False
812,שלומי,1034,3,False
831,ירוחם,1034,3,False
874,מגדל העמק,1034,3,False
922,רכסים,1034,3,False
1015,מבשרת ציון,1034,3,False
1020,אור עקיבא,1034,3,False
1031,שדרות,1034,3,True
1061,נצרת עילית/נוף הגליל,1034,3,False
1063,מעלות-תרשיחא,1034,3,False
1066,"בני עי""ש",1034,3,False
1137,קריית יערים,1034,3,False
1139,כרמיאל,1034,3,False
1200,מודיעין-מכבים-רעות,1034,3,False
1224,כוכב יאיר,1034,3,False
1247,חריש,1034,3,False
1263,כפר ורדים,1034,3,False
1268,מיתר,1034,3,False
1271,להבים,1034,3,False
1304,שוהם,1034,3,False
1309,אלעד,1034,3,False
2034,חצור הגלילית,1034,3,False
2100,טירת כרמל,1034,3,False
2200,דימונה,1034,3,False
2300,קריית טבעון,1034,3,False
2400,אור יהודה,1034,3,False
2500,נשר,1034,3,False
2530,באר יעקב,1034,3,False
2550,גדרה,1034,3,False
2560,ערד,1034,3,False
2600,אילת,1034,3,False
2610,בית שמש,1034,3,False
2620,קריית אונו,1034,3,False
2640,ראש העין,1034,3,False
2660,יבנה,1034,3,False
2800,קריית שמונה,1034,3,False
3557,קדומים,1034,3,False
3560,אלקנה,1034,3,False
3570,אריאל,1034,3,False
3574,בית אל,1034,3,False
3608,מעלה אפרים,1034,3,False
3611,קריית ארבע,1034,3,False
3616,מעלה אדומים,1034,3,False
3640,קרני שומרון,1034,3,False
3650,אפרת,1034,3,False
3652,בית אריה,1034,3,False
3660,עמנואל,1034,3,False
3730,גבעת זאב,1034,3,False
3750,אלפי מנשה,1034,3,False
3760,אורנית,1034,3,False
3769,הר אדר,1034,3,False
3780,ביתר עילית,1034,3,False
3797,מודיעין עילית,1034,3,False
4000,חיפה,1034,3,False
4100,קצרין,1034,3,False
5000,תל אביב-יפו,1034,3,False
6100,בני ברק,1034,3,False
6300,גבעתיים,1034,3,False
6400,הרצלייה,1034,3,False
6600,חולון,1034,3,False
6800,קריית אתא,1034,3,False
7200,נס ציונה,1034,3,False
7400,נתניה,1034,3,False
7600,עכו,1034,3,False
7700,עפולה,1034,3,False
7800,פרדס חנה-כרכור,1034,3,False
7900,פתח תקווה,1034,3,False
8200,קריית מוצקין,1034,3,False
8300,ראשון לציון,1034,3,False
8500,רמלה,1034,3,False
8700,רעננה,1034,3,False
9000,באר שבע,1034,3,False
9200,בית שאן,1034,3,False
9300,זכרון יעקב,1034,3,False
9400,יהוד,1034,3,False
9500,קריית ביאליק,1034,3,False
9600,קריית ים,1034,3,False
9700,הוד השרון,1034,3,False
9800,בנימינה-גבעת עדה,1034,3,False
1034,קריית מלאכי,1034,3,False
26,ראש פינה,2630,3,False
28,מזכרת בתיה,2630,3,False
29,יסוד המעלה,2630,3,False
31,אופקים,2630,3,True
41,אליכין,2630,3,False
43,מטולה,2630,3,False
46,יבנאל,2630,3,False
47,כפר תבור,2630,3,False
65,מגדל,2630,3,False
70,אשדוד,2630,3,False
99,מצפה רמון,2630,3,False
122,רמת ישי,2630,3,False
154,תל מונד,2630,3,False
166,גן יבנה,2630,3,False
168,כפר יונה,2630,3,False
171,פרדסייה,2630,3,False
182,אבן יהודה,2630,3,False
195,קדימה-צורן,2630,3,False
229,גני תקווה,2630,3,False
240,יקנעם עילית,2630,3,False
246,נתיבות,2630,3,True
267,כפר שמריהו,2630,3,False
466,בית דגן,2630,3,False
469,קריית עקרון,2630,3,False
565,אזור,2630,3,False
587,סביון,2630,3,False
666,עומר,2630,3,False
681,גבעת שמואל,2630,3,False
812,שלומי,2630,3,False
831,ירוחם,2630,3,False
874,מגדל העמק,2630,3,False
922,רכסים,2630,3,False
1015,מבשרת ציון,2630,3,False
1020,אור עקיבא,2630,3,False
1031,שדרות,2630,3,True
1061,נצרת עילית/נוף הגליל,2630,3,False
1063,מעלות-תרשיחא,2630,3,False
1066,"בני עי""ש",2630,3,False
1137,קריית יערים,2630,3,False
1139,כרמיאל,2630,3,False
1200,מודיעין-מכבים-רעות,2630,3,False
1224,כוכב יאיר,2630,3,False
1247,חריש,2630,3,False
1263,כפר ורדים,2630,3,False
1268,מיתר,2630,3,False
1271,להבים,2630,3,False
1304,שוהם,2630,3,False
1309,אלעד,2630,3,False
2034,חצור הגלילית,2630,3,False
2100,טירת כרמל,2630,3,False
2200,דימונה,2630,3,False
2300,קריית טבעון,2630,3,False
2400,אור יהודה,2630,3,False
2500,נשר,2630,3,False
2530,באר יעקב,2630,3,False
2550,גדרה,2630,3,False
2560,ערד,2630,3,False
2600,אילת,2630,3,False
2610,בית שמש,2630,3,False
2620,קריית אונו,2630,3,False
2640,ראש העין,2630,3,False
2660,יבנה,2630,3,False
2800,קריית שמונה,2630,3,False
3557,קדומים,2630,3,False
3560,אלקנה,2630,3,False
3570,אריאל,2630,3,False
3574,בית אל,2630,3,False
3608,מעלה אפרים,2630,3,False
3611,קריית ארבע,2630,3,False
3616,מעלה אדומים,2630,3,False
3640,קרני שומרון,2630,3,False
3650,אפרת,2630,3,False
3652,בית אריה,2630,3,False
3660,עמנואל,2630,3,False
3730,גבעת זאב,2630,3,False
3750,אלפי מנשה,2630,3,False
3760,אורנית,2630,3,False
3769,הר אדר,2630,3,False
3780,ביתר עילית,2630,3,False
3797,מודיעין עילית,2630,3,False
4000,חיפה,2630,3,False
4100,קצרין,2630,3,False
5000,תל אביב-יפו,2630,3,False
6100,בני ברק,2630,3,False
6300,גבעתיים,2630,3,False
6400,הרצלייה,2630,3,False
6600,חולון,2630,3,False
6800,קריית אתא,2630,3,False
7200,נס ציונה,2630,3,False
7400,נתניה,2630,3,False
7600,עכו,2630,3,False
7700,עפולה,2630,3,False
7800,פרדס חנה-כרכור,2630,3,False
7900,פתח תקווה,2630,3,False
8200,קריית מוצקין,2630,3,False
8300,ראשון לציון,2630,3,False
8500,רמלה,2630,3,False
8700,רעננה,2630,3,False
9000,באר שבע,2630,3,False
9200,בית שאן,2630,3,False
9300,זכרון יעקב,2630,3,False
9400,יהוד,2630,3,False
9500,קריית ביאליק,2630,3,False
9600,קריית ים,2630,3,False
9700,הוד השרון,2630,3,False
9800,בנימינה-גבעת עדה,2630,3,False
2630,קריית גת,2630,3,False
26,ראש פינה,2650,3,False
28,מזכרת בתיה,2650,3,False
29,יסוד המעלה,2650,3,False
31,אופקים,2650,3,False
41,אליכין,2650,3,False
43,מטולה,2650,3,False
46,יבנאל,2650,3,False
47,כפר תבור,2650,3,False
65,מגדל,2650,3,False
70,אשדוד,2650,3,False
99,מצפה רמון,2650,3,False
122,רמת ישי,2650,3,False
154,תל מונד,2650,3,False
166,גן יבנה,2650,3,False
168,כפר יונה,2650,3,False
171,פרדסייה,2650,3,False
182,אבן יהודה,2650,3,True
195,קדימה-צורן,2650,3,False
229,גני תקווה,2650,3,False
240,יקנעם עילית,2650,3,False
246,נתיבות,2650,3,False
267,כפר שמריהו,2650,3,False
466,בית דגן,2650,3,False
469,קריית עקרון,2650,3,False
565,אזור,2650,3,False
587,סביון,2650,3,True
666,עומר,2650,3,True
681,גבעת שמואל,2650,3,False
812,שלומי,2650,3,False
831,ירוחם,2650,3,False
874,מגדל העמק,2650,3,False
922,רכסים,2650,3,False
1015,מבשרת ציון,2650,3,False
1020,אור עקיבא,2650,3,False
1031,שדרות,2650,3,False
1061,נצרת עילית/נוף הגליל,2650,3,False
1063,מעלות-תרשיחא,2650,3,False
1066,"בני עי""ש",2650,3,False
1137,קריית יערים,2650,3,False
1139,כרמיאל,2650,3,False
1200,מודיעין-מכבים-רעות,2650,3,False
1224,כוכב יאיר,2650,3,False
1247,חריש,2650,3,False
1263,כפר ורדים,2650,3,False
1268,מיתר,2650,3,False
1271,להבים,2650,3,False
1304,שוהם,2650,3,False
1309,אלעד,2650,3,False
2034,חצור הגלילית,2650,3,False
2100,טירת כרמל,2650,3,False
2200,דימונה,2650,3,False
2300,קריית טבעון,2650,3,False
2400,אור יהודה,2650,3,False
2500,נשר,2650,3,False
2530,באר יעקב,2650,3,False
2550,גדרה,2650,3,False
2560,ערד,2650,3,False
2600,אילת,2650,3,False
2610,בית שמש,2650,3,False
2620,קריית אונו,2650,3,False
2640,ראש העין,2650,3,False
2660,יבנה,2650,3,False
2800,קריית שמונה,2650,3,False
3557,קדומים,2650,3,False
3560,אלקנה,2650,3,False
3570,אריאל,2650,3,False
3574,בית אל,2650,3,False
3608,מעלה אפרים,2650,3,False
3611,קריית ארבע,2650,3,False
3616,מעלה אדומים,2650,3,False
3640,קרני שומרון,2650,3,False
3650,אפרת,2650,3,False
3652,בית אריה,2650,3,False
3660,עמנואל,2650,3,False
3730,גבעת זאב,2650,3,False
3750,אלפי מנשה,2650,3,False
3760,אורנית,2650,3,False
3769,הר אדר,2650,3,False
3780,ביתר עילית,2650,3,False
3797,מודיעין עילית,2650,3,False
4000,חיפה,2650,3,False
4100,קצרין,2650,3,False
5000,תל אביב-יפו,2650,3,False
6100,בני ברק,2650,3,False
6300,גבעתיים,2650,3,False
6400,הרצלייה,2650,3,False
6600,חולון,2650,3,False
6800,קריית אתא,2650,3,False
7200,נס ציונה,2650,3,False
7400,נתניה,2650,3,False
7600,עכו,2650,3,False
7700,עפולה,2650,3,False
7800,פרדס חנה-כרכור,2650,3,False
7900,פתח תקווה,2650,3,False
8200,קריית מוצקין,2650,3,False
8300,ראשון לציון,2650,3,False
8500,רמלה,2650,3,False
8700,רעננה,2650,3,False
9000,באר שבע,2650,3,False
9200,בית שאן,2650,3,False
9300,זכרון יעקב,2650,3,False
9400,יהוד,2650,3,False
9500,קריית ביאליק,2650,3,False
9600,קריית ים,2650,3,False
9700,הוד השרון,2650,3,False
9800,בנימינה-גבעת עדה,2650,3,False
2650,רמת השרון,2650,3,False
26,ראש פינה,3000,3,False
28,מזכרת בתיה,3000,3,False
29,יסוד המעלה,3000,3,False
31,אופקים,3000,3,False
